1,原田　才一郎,原田　才一郎.1,2,岩崎 正哉,岩崎 正哉.1,3,富田 恕生,富田 恕生.1,4,桑原 啓,桑原 啓.1,5,小林 文彦,小林 文彦.1,6,竹下 大樹,竹下 大樹.1
2.0,3.0,5.4,1.0,3.0,65.0,1.0,2.0,151.5,1.0,2.0,159.2,1.0,2.0,227.9,1.0,2.0,251.9
2.0,4.0,11.7,1.0,4.0,84.3,1.0,4.0,227.3,1.0,3.0,340.2,1.0,3.0,279.1,1.0,3.0,463.5
2.0,5.0,8.3,1.0,5.0,77.7,1.0,5.0,162.3,1.0,5.0,181.3,1.0,4.0,337.3,1.0,4.0,529.9
2.0,6.0,9.3,1.0,6.0,76.8,1.0,6.0,205.4,1.0,6.0,169.7,1.0,6.0,225.3,1.0,5.0,426.6
3.0,2.0,10.5,3.0,1.0,205.1,2.0,1.0,299.1,2.0,1.0,313.1,2.0,1.0,417.8,2.0,1.0,395.5
3.0,4.0,20.8,3.0,4.0,639.9,2.0,4.0,816.6,2.0,3.0,910.2,2.0,3.0,1001.0,2.0,3.0,930.0
3.0,5.0,15.1,3.0,5.0,449.4,2.0,5.0,505.6,2.0,5.0,585.7,2.0,4.0,1110.0,2.0,4.0,1211.0
3.0,6.0,16.3,3.0,6.0,527.3,2.0,6.0,603.0,2.0,6.0,477.9,2.0,6.0,667.8,2.0,5.0,839.0
4.0,2.0,26.3,4.0,1.0,316.4,4.0,1.0,683.8,3.0,1.0,779.5,3.0,1.0,584.9,3.0,1.0,1066.0
4.0,3.0,39.4,4.0,3.0,855.7,4.0,2.0,1171.0,3.0,2.0,1303.0,3.0,2.0,1246.0,3.0,2.0,1361.0
4.0,5.0,45.9,4.0,5.0,795.4,4.0,5.0,1122.0,3.0,5.0,1040.0,3.0,4.0,1708.0,3.0,4.0,2408.0
4.0,6.0,38.4,4.0,6.0,675.1,4.0,6.0,1177.0,3.0,6.0,1015.0,3.0,6.0,990.1,3.0,5.0,1856.0
5.0,2.0,22.5,5.0,1.0,322.3,5.0,1.0,395.8,5.0,1.0,233.0,4.0,1.0,479.5,4.0,1.0,965.6
5.0,3.0,34.6,5.0,3.0,636.1,5.0,2.0,699.4,5.0,2.0,383.8,4.0,2.0,785.2,4.0,2.0,1327.0
5.0,4.0,62.8,5.0,4.0,938.1,5.0,4.0,1028.0,5.0,3.0,683.8,4.0,3.0,1327.0,4.0,3.0,2143.0
5.0,6.0,34.0,5.0,6.0,569.3,5.0,6.0,643.7,5.0,6.0,260.6,4.0,6.0,542.0,4.0,5.0,1587.0
6.0,2.0,27.3,6.0,1.0,296.7,6.0,1.0,604.7,6.0,1.0,335.2,6.0,1.0,502.6,5.0,1.0,745.6
6.0,3.0,46.4,6.0,3.0,639.9,6.0,2.0,867.9,6.0,2.0,515.3,6.0,2.0,745.6,5.0,2.0,961.3
6.0,4.0,66.3,6.0,4.0,758.8,6.0,4.0,1369.0,6.0,3.0,942.3,6.0,3.0,1149.0,5.0,3.0,1636.0
6.0,5.0,52.0,6.0,5.0,599.6,6.0,5.0,985.6,6.0,5.0,413.8,6.0,4.0,957.0,5.0,4.0,1728.0
