1,村松 修二,村松 修二.1,2,岡田 憲行,岡田 憲行.1,3,谷村 一哉,谷村 一哉.1,4,牧山 敦也,牧山 敦也.1,5,関 裕也,関 裕也.1,6,高濱 芳久,高濱 芳久.1
2.0,3.0,6.1,1.0,3.0,51.2,1.0,2.0,27.3,1.0,2.0,95.2,1.0,2.0,336.0,1.0,2.0,1773.0
2.0,4.0,10.4,1.0,4.0,95.6,1.0,4.0,28.0,1.0,3.0,86.2,1.0,3.0,310.8,1.0,3.0,1566.0
2.0,5.0,26.2,1.0,5.0,182.7,1.0,5.0,48.0,1.0,5.0,107.5,1.0,4.0,339.3,1.0,4.0,1835.0
2.0,6.0,51.5,1.0,6.0,291.6,1.0,6.0,99.5,1.0,6.0,198.0,1.0,6.0,645.1,1.0,5.0,2900.0
3.0,2.0,6.0,3.0,1.0,116.6,2.0,1.0,82.2,2.0,1.0,213.2,2.0,1.0,623.3,2.0,1.0,2816.0
3.0,4.0,6.9,3.0,4.0,295.7,2.0,4.0,202.8,2.0,3.0,362.7,2.0,3.0,972.2,2.0,3.0,3564.0
3.0,5.0,15.2,3.0,5.0,453.5,2.0,5.0,303.9,2.0,5.0,394.7,2.0,4.0,1140.0,2.0,4.0,4050.0
3.0,6.0,33.4,3.0,6.0,790.3,2.0,6.0,490.6,2.0,6.0,590.5,2.0,6.0,1641.0,2.0,5.0,4889.0
4.0,2.0,16.2,4.0,1.0,339.6,4.0,1.0,94.7,3.0,1.0,175.5,3.0,1.0,465.6,3.0,1.0,1955.0
4.0,3.0,14.8,4.0,3.0,486.1,4.0,2.0,200.9,3.0,2.0,328.4,3.0,2.0,854.5,3.0,2.0,2988.0
4.0,5.0,35.1,4.0,5.0,771.6,4.0,5.0,221.5,3.0,5.0,344.4,3.0,4.0,980.6,3.0,4.0,3306.0
4.0,6.0,52.0,4.0,6.0,1215.0,4.0,6.0,338.8,3.0,6.0,575.6,3.0,6.0,1484.0,3.0,5.0,4199.0
5.0,2.0,55.6,5.0,1.0,611.6,5.0,1.0,217.8,5.0,1.0,146.2,4.0,1.0,366.2,4.0,1.0,2266.0
5.0,3.0,44.2,5.0,3.0,871.9,5.0,2.0,419.4,5.0,2.0,278.8,4.0,2.0,789.4,4.0,2.0,4720.0
5.0,4.0,64.0,5.0,4.0,1174.0,5.0,4.0,385.4,5.0,3.0,291.2,4.0,3.0,821.7,4.0,3.0,3422.0
5.0,6.0,113.5,5.0,6.0,2001.0,5.0,6.0,648.7,5.0,6.0,290.8,4.0,6.0,793.1,4.0,5.0,2737.0
6.0,2.0,213.6,6.0,1.0,1478.0,6.0,1.0,617.2,6.0,1.0,553.7,6.0,1.0,1669.0,5.0,1.0,3546.0
6.0,3.0,193.3,6.0,3.0,2043.0,6.0,2.0,1144.0,6.0,2.0,961.3,6.0,2.0,2312.0,5.0,2.0,5432.0
6.0,4.0,198.1,6.0,4.0,2274.0,6.0,4.0,994.8,6.0,3.0,924.9,6.0,3.0,2435.0,5.0,3.0,4656.0
6.0,5.0,290.7,6.0,5.0,2900.0,6.0,5.0,1281.0,6.0,5.0,687.2,6.0,4.0,1580.0,5.0,4.0,2782.0
