1,梅木 敬太,梅木 敬太.1,2,北村 寧々,北村 寧々.1,3,篠原 晟弥,篠原 晟弥.1,4,渥美 卓郎,渥美 卓郎.1,5,上平 真二,上平 真二.1,6,麻生 慎介,麻生 慎介.1
2.0,3.0,33.1,1.0,3.0,193.0,1.0,2.0,164.1,1.0,2.0,813.9,1.0,2.0,90.8,1.0,2.0,235.2
2.0,4.0,63.8,1.0,4.0,344.3,1.0,4.0,207.9,1.0,3.0,753.9,1.0,3.0,49.6,1.0,3.0,147.3
2.0,5.0,18.6,1.0,5.0,148.0,1.0,5.0,38.9,1.0,5.0,476.2,1.0,4.0,195.1,1.0,4.0,361.0
2.0,6.0,26.1,1.0,6.0,172.5,1.0,6.0,50.0,1.0,6.0,453.8,1.0,6.0,28.6,1.0,5.0,70.1
3.0,2.0,32.1,3.0,1.0,348.7,2.0,1.0,309.7,2.0,1.0,1147.0,2.0,1.0,182.7,2.0,1.0,451.5
3.0,4.0,50.1,3.0,4.0,911.2,2.0,4.0,548.4,2.0,3.0,1635.0,2.0,3.0,349.0,2.0,3.0,726.4
3.0,5.0,9.7,3.0,5.0,390.9,2.0,5.0,261.2,2.0,5.0,1056.0,2.0,4.0,668.1,2.0,4.0,1213.0
3.0,6.0,14.7,3.0,6.0,424.8,2.0,6.0,294.9,2.0,6.0,1032.0,2.0,6.0,157.4,2.0,5.0,358.4
4.0,2.0,128.3,4.0,1.0,975.7,4.0,1.0,431.9,3.0,1.0,911.2,3.0,1.0,78.2,3.0,1.0,210.0
4.0,3.0,112.8,4.0,3.0,1316.0,4.0,2.0,678.2,3.0,2.0,1372.0,3.0,2.0,221.8,3.0,2.0,575.7
4.0,5.0,73.1,4.0,5.0,989.2,4.0,5.0,276.7,3.0,5.0,664.4,3.0,4.0,301.1,3.0,4.0,668.1
4.0,6.0,83.7,4.0,6.0,1029.0,4.0,6.0,309.2,3.0,6.0,700.8,3.0,6.0,59.6,3.0,5.0,157.5
5.0,2.0,20.4,5.0,1.0,267.6,5.0,1.0,51.2,5.0,1.0,536.9,4.0,1.0,489.8,4.0,1.0,752.3
5.0,3.0,11.7,5.0,3.0,369.5,5.0,2.0,146.8,5.0,2.0,927.7,4.0,2.0,842.6,4.0,2.0,1598.0
5.0,4.0,53.9,5.0,4.0,713.3,5.0,4.0,184.2,5.0,3.0,716.2,4.0,3.0,639.4,4.0,3.0,1091.0
5.0,6.0,8.7,5.0,6.0,206.1,5.0,6.0,38.7,5.0,6.0,294.7,4.0,6.0,246.6,4.0,5.0,487.2
6.0,2.0,38.5,6.0,1.0,394.4,6.0,1.0,90.8,6.0,1.0,706.3,6.0,1.0,36.7,5.0,1.0,71.1
6.0,3.0,29.5,6.0,3.0,540.9,6.0,2.0,245.7,6.0,2.0,1230.0,6.0,2.0,106.7,5.0,2.0,212.2
6.0,4.0,97.5,6.0,4.0,1078.0,6.0,4.0,296.9,6.0,3.0,884.2,6.0,3.0,59.4,5.0,3.0,117.1
6.0,5.0,16.0,6.0,5.0,300.4,6.0,5.0,62.0,6.0,5.0,373.8,6.0,4.0,171.1,5.0,4.0,275.4
