1,下河 誉史,下河 誉史.1,2,小池 公生,小池 公生.1,3,江藤 敦宏,江藤 敦宏.1,4,檀 将太,檀 将太.1,5,竹井 貴史,竹井 貴史.1,6,岩崎 正哉,岩崎 正哉.1
2.0,3.0,38.1,1.0,3.0,84.9,1.0,2.0,298.1,1.0,2.0,154.2,1.0,2.0,24.2,1.0,2.0,268.4
2.0,4.0,38.0,1.0,4.0,80.2,1.0,4.0,426.1,1.0,3.0,321.8,1.0,3.0,78.4,1.0,3.0,719.7
2.0,5.0,11.7,1.0,5.0,26.6,1.0,5.0,233.1,1.0,5.0,72.8,1.0,4.0,43.5,1.0,4.0,418.3
2.0,6.0,24.0,1.0,6.0,48.2,1.0,6.0,421.8,1.0,6.0,117.8,1.0,6.0,16.7,1.0,5.0,120.7
3.0,2.0,49.8,3.0,1.0,243.2,2.0,1.0,385.9,2.0,1.0,228.4,2.0,1.0,49.1,2.0,1.0,345.8
3.0,4.0,76.1,3.0,4.0,531.5,2.0,4.0,776.4,2.0,3.0,615.2,2.0,3.0,206.2,2.0,3.0,1174.0
3.0,5.0,44.3,3.0,5.0,313.3,2.0,5.0,455.2,2.0,5.0,179.5,2.0,4.0,146.1,2.0,4.0,940.7
3.0,6.0,93.7,3.0,6.0,426.9,2.0,6.0,707.4,2.0,6.0,272.1,2.0,6.0,55.0,2.0,5.0,261.8
4.0,2.0,46.8,4.0,1.0,230.2,4.0,1.0,566.1,3.0,1.0,532.8,3.0,1.0,212.2,3.0,1.0,1421.0
4.0,3.0,85.7,4.0,3.0,526.0,4.0,2.0,794.1,3.0,2.0,812.6,3.0,2.0,368.0,3.0,2.0,1637.0
4.0,5.0,31.6,4.0,5.0,235.0,4.0,5.0,574.7,3.0,5.0,456.1,3.0,4.0,383.6,3.0,4.0,1711.0
4.0,6.0,55.2,4.0,6.0,348.2,4.0,6.0,1001.0,3.0,6.0,873.7,3.0,6.0,285.7,3.0,5.0,1119.0
5.0,2.0,12.1,5.0,1.0,52.3,5.0,1.0,298.7,5.0,1.0,55.6,4.0,1.0,52.9,4.0,1.0,575.4
5.0,3.0,39.9,5.0,3.0,222.0,5.0,2.0,461.7,5.0,2.0,102.6,4.0,2.0,109.8,4.0,2.0,996.6
5.0,4.0,28.2,5.0,4.0,178.8,5.0,4.0,570.3,5.0,3.0,276.8,4.0,3.0,280.7,4.0,3.0,1444.0
5.0,6.0,12.7,5.0,6.0,83.0,5.0,6.0,435.5,5.0,6.0,49.0,4.0,6.0,48.2,4.0,5.0,280.4
6.0,2.0,59.2,6.0,1.0,184.4,6.0,1.0,1023.0,6.0,1.0,159.2,6.0,1.0,24.7,5.0,1.0,105.6
6.0,3.0,188.7,6.0,3.0,568.9,6.0,2.0,1044.0,6.0,2.0,277.3,6.0,2.0,43.8,5.0,2.0,175.4
6.0,4.0,110.2,6.0,4.0,431.8,6.0,4.0,1310.0,6.0,3.0,674.7,6.0,3.0,146.6,5.0,3.0,546.3
6.0,5.0,36.6,6.0,5.0,146.7,6.0,5.0,821.4,6.0,5.0,102.4,6.0,4.0,61.7,5.0,4.0,209.3
