1,羽野 諒,羽野 諒.1,2,森清 友翔,森清 友翔.1,3,富永 大一,富永 大一.1,4,仲谷 颯仁,仲谷 颯仁.1,5,青木　幸太郎,青木　幸太郎.1,6,森 晋太郎,森 晋太郎.1
2.0,3.0,65.8,1.0,3.0,375.1,1.0,2.0,212.7,1.0,2.0,43.9,1.0,2.0,252.9,1.0,2.0,2088.0
2.0,4.0,42.1,1.0,4.0,266.2,1.0,4.0,38.7,1.0,3.0,18.8,1.0,3.0,130.7,1.0,3.0,1710.0
2.0,5.0,98.2,1.0,5.0,506.2,1.0,5.0,60.5,1.0,5.0,10.5,1.0,4.0,61.1,1.0,4.0,836.3
2.0,6.0,252.3,1.0,6.0,973.5,1.0,6.0,193.2,1.0,6.0,35.5,1.0,6.0,160.3,1.0,5.0,1791.0
3.0,2.0,52.8,3.0,1.0,624.2,2.0,1.0,457.3,2.0,1.0,149.5,2.0,1.0,678.8,2.0,1.0,3364.0
3.0,4.0,13.8,3.0,4.0,634.7,2.0,4.0,393.7,2.0,3.0,256.1,2.0,3.0,1009.0,2.0,3.0,3027.0
3.0,5.0,25.8,3.0,5.0,1129.0,2.0,5.0,666.8,2.0,5.0,162.7,2.0,4.0,565.9,2.0,4.0,2727.0
3.0,6.0,107.6,3.0,6.0,1834.0,2.0,6.0,895.7,2.0,6.0,285.8,2.0,6.0,928.7,2.0,5.0,3604.0
4.0,2.0,36.1,4.0,1.0,359.5,4.0,1.0,39.6,3.0,1.0,30.0,3.0,1.0,213.3,3.0,1.0,2481.0
4.0,3.0,13.6,4.0,3.0,603.1,4.0,2.0,202.5,3.0,2.0,147.9,3.0,2.0,822.7,3.0,2.0,3027.0
4.0,5.0,12.2,4.0,5.0,678.8,4.0,5.0,42.9,3.0,5.0,29.6,3.0,4.0,145.1,3.0,4.0,1576.0
4.0,6.0,50.9,4.0,6.0,1178.0,4.0,6.0,119.5,3.0,6.0,84.4,3.0,6.0,435.0,3.0,5.0,2259.0
5.0,2.0,123.5,5.0,1.0,964.2,5.0,1.0,113.4,5.0,1.0,11.5,4.0,1.0,42.7,4.0,1.0,756.9
5.0,3.0,49.2,5.0,3.0,1357.0,5.0,2.0,395.2,5.0,2.0,59.1,4.0,2.0,163.3,4.0,2.0,1536.0
5.0,4.0,29.6,5.0,4.0,970.3,5.0,4.0,79.4,5.0,3.0,25.8,4.0,3.0,88.0,4.0,3.0,1113.0
5.0,6.0,111.5,5.0,6.0,1857.0,5.0,6.0,221.1,5.0,6.0,18.1,4.0,6.0,61.8,4.0,5.0,561.7
6.0,2.0,542.5,6.0,1.0,2441.0,6.0,1.0,616.6,6.0,1.0,95.5,6.0,1.0,378.4,5.0,1.0,1568.0
6.0,3.0,374.7,6.0,3.0,3186.0,6.0,2.0,1316.0,6.0,2.0,197.6,6.0,2.0,1012.0,5.0,2.0,2803.0
6.0,4.0,204.9,6.0,4.0,2383.0,6.0,4.0,419.9,6.0,3.0,162.5,6.0,3.0,572.3,5.0,3.0,1940.0
6.0,5.0,290.2,6.0,5.0,2777.0,6.0,5.0,530.2,6.0,5.0,67.2,6.0,4.0,250.0,5.0,4.0,704.0
