1,森 悠稀,森 悠稀.1,2,齋藤 勇,齋藤 勇.1,3,魚谷 香織,魚谷 香織.1,4,吉田 彩乃,吉田 彩乃.1,5,竹田 広樹,竹田 広樹.1,6,松崎　祐太郎,松崎　祐太郎.1
2.0,3.0,16.5,1.0,3.0,68.8,1.0,2.0,40.7,1.0,2.0,432.2,1.0,2.0,721.2,1.0,2.0,49.7
2.0,4.0,59.2,1.0,4.0,203.1,1.0,4.0,51.2,1.0,3.0,333.9,1.0,3.0,514.3,1.0,3.0,29.9
2.0,5.0,109.4,1.0,5.0,232.6,1.0,5.0,82.2,1.0,5.0,669.7,1.0,4.0,870.7,1.0,4.0,101.4
2.0,6.0,22.5,1.0,6.0,72.6,1.0,6.0,15.1,1.0,6.0,269.6,1.0,6.0,433.8,1.0,5.0,123.5
3.0,2.0,11.7,3.0,1.0,107.9,2.0,1.0,93.8,2.0,1.0,586.0,2.0,1.0,1296.0,2.0,1.0,111.6
3.0,4.0,17.1,3.0,4.0,383.3,2.0,4.0,184.9,2.0,3.0,937.6,2.0,3.0,1904.0,2.0,3.0,128.1
3.0,5.0,31.8,3.0,5.0,467.0,2.0,5.0,228.2,2.0,5.0,1819.0,2.0,4.0,2539.0,2.0,4.0,290.2
3.0,6.0,5.4,3.0,6.0,123.3,2.0,6.0,68.6,2.0,6.0,864.5,2.0,6.0,1354.0,2.0,5.0,318.2
4.0,2.0,95.7,4.0,1.0,478.0,4.0,1.0,124.3,3.0,1.0,393.2,3.0,1.0,597.5,3.0,1.0,42.1
4.0,3.0,58.3,4.0,3.0,655.3,4.0,2.0,198.5,3.0,2.0,983.0,3.0,2.0,1562.0,3.0,2.0,89.4
4.0,5.0,160.8,4.0,5.0,1160.0,4.0,5.0,178.9,3.0,5.0,1033.0,3.0,4.0,959.8,3.0,4.0,154.6
4.0,6.0,63.5,4.0,6.0,474.3,4.0,6.0,75.9,3.0,6.0,350.2,3.0,6.0,520.9,3.0,5.0,192.2
5.0,2.0,195.9,5.0,1.0,594.6,5.0,1.0,213.8,5.0,1.0,1098.0,4.0,1.0,1369.0,4.0,1.0,298.0
5.0,3.0,143.9,5.0,3.0,1024.0,5.0,2.0,266.1,5.0,2.0,1792.0,4.0,2.0,2390.0,4.0,2.0,541.7
5.0,4.0,245.2,5.0,4.0,1934.0,5.0,4.0,220.4,5.0,3.0,1118.0,4.0,3.0,983.0,4.0,3.0,306.2
5.0,6.0,155.0,5.0,6.0,916.5,5.0,6.0,138.8,5.0,6.0,952.3,4.0,6.0,1256.0,4.0,5.0,696.5
6.0,2.0,22.2,6.0,1.0,143.5,6.0,1.0,26.1,6.0,1.0,341.4,6.0,1.0,444.8,5.0,1.0,270.8
6.0,3.0,10.5,6.0,3.0,173.3,6.0,2.0,64.7,6.0,2.0,786.4,6.0,2.0,1149.0,5.0,2.0,479.9
6.0,4.0,37.4,6.0,4.0,536.9,6.0,4.0,76.7,6.0,3.0,373.9,6.0,3.0,527.6,5.0,3.0,298.0
6.0,5.0,66.3,6.0,5.0,459.9,6.0,5.0,125.6,6.0,5.0,776.4,6.0,4.0,1296.0,5.0,4.0,583.2
