1,岡崎 恭裕,岡崎 恭裕.1,2,溝口　海義也,溝口　海義也.1,3,石川 真二,石川 真二.1,4,鶴田 勇雄,鶴田 勇雄.1,5,宮脇 遼太,宮脇 遼太.1,6,篠原 飛翔,篠原 飛翔.1
2.0,3.0,7.4,1.0,3.0,46.4,1.0,2.0,24.9,1.0,2.0,101.0,1.0,2.0,239.3,1.0,2.0,1036.0
2.0,4.0,12.5,1.0,4.0,60.3,1.0,4.0,29.6,1.0,3.0,84.8,1.0,3.0,214.6,1.0,3.0,953.8
2.0,5.0,33.7,1.0,5.0,124.8,1.0,5.0,57.1,1.0,5.0,126.0,1.0,4.0,277.1,1.0,4.0,683.3
2.0,6.0,49.6,1.0,6.0,145.3,1.0,6.0,99.5,1.0,6.0,120.5,1.0,6.0,328.0,1.0,5.0,1565.0
3.0,2.0,5.9,3.0,1.0,72.8,2.0,1.0,56.1,2.0,1.0,155.8,2.0,1.0,429.9,2.0,1.0,1513.0
3.0,4.0,8.0,3.0,4.0,130.1,2.0,4.0,112.5,2.0,3.0,229.4,2.0,3.0,505.3,2.0,3.0,1883.0
3.0,5.0,22.1,3.0,5.0,222.7,2.0,5.0,206.0,2.0,5.0,272.5,2.0,4.0,626.3,2.0,4.0,1080.0
3.0,6.0,37.9,3.0,6.0,271.7,2.0,6.0,332.9,2.0,6.0,272.7,2.0,6.0,647.1,2.0,5.0,1998.0
4.0,2.0,20.6,4.0,1.0,114.2,4.0,1.0,91.7,3.0,1.0,137.7,3.0,1.0,309.2,3.0,1.0,1365.0
4.0,3.0,17.7,4.0,3.0,162.0,4.0,2.0,157.9,3.0,2.0,234.8,3.0,2.0,514.1,3.0,2.0,1907.0
4.0,5.0,44.3,4.0,5.0,188.7,4.0,5.0,227.3,3.0,5.0,247.1,3.0,4.0,524.7,3.0,4.0,1322.0
4.0,6.0,53.5,4.0,6.0,177.9,4.0,6.0,277.5,3.0,6.0,289.7,3.0,6.0,608.7,3.0,5.0,2069.0
5.0,2.0,76.5,5.0,1.0,300.1,5.0,1.0,188.9,5.0,1.0,163.1,4.0,1.0,405.8,4.0,1.0,619.7
5.0,3.0,63.1,5.0,3.0,380.5,5.0,2.0,361.9,5.0,2.0,290.7,4.0,2.0,677.8,4.0,2.0,872.8
5.0,4.0,94.1,5.0,4.0,405.0,5.0,4.0,371.8,5.0,3.0,237.9,4.0,3.0,522.9,4.0,3.0,1023.0
5.0,6.0,144.2,5.0,6.0,478.4,5.0,6.0,537.7,5.0,6.0,186.8,4.0,6.0,436.7,4.0,5.0,961.6
6.0,2.0,157.2,6.0,1.0,488.4,6.0,1.0,387.0,6.0,1.0,110.1,6.0,1.0,527.6,5.0,1.0,1753.0
6.0,3.0,150.2,6.0,3.0,679.4,6.0,2.0,750.8,6.0,2.0,168.1,6.0,2.0,801.1,5.0,2.0,1753.0
6.0,4.0,152.8,6.0,4.0,484.4,6.0,4.0,589.7,6.0,3.0,197.2,6.0,3.0,769.5,5.0,3.0,1824.0
6.0,5.0,235.1,6.0,5.0,667.0,6.0,5.0,793.5,6.0,5.0,186.5,6.0,4.0,590.9,5.0,4.0,1090.0
