1,久田 敏之,久田 敏之.1,2,眞鳥 康太,眞鳥 康太.1,3,浜野 孝志,浜野 孝志.1,4,岡部 大輝,岡部 大輝.1,5,梶野 学志,梶野 学志.1,6,横田 貴満,横田 貴満.1
2.0,3.0,10.7,1.0,3.0,70.0,1.0,2.0,139.0,1.0,2.0,223.7,1.0,2.0,105.8,1.0,2.0,725.3
2.0,4.0,9.9,1.0,4.0,77.7,1.0,4.0,152.4,1.0,3.0,339.7,1.0,3.0,147.2,1.0,3.0,995.8
2.0,5.0,8.5,1.0,5.0,55.6,1.0,5.0,106.4,1.0,5.0,159.5,1.0,4.0,156.0,1.0,4.0,1164.0
2.0,6.0,25.9,1.0,6.0,119.1,1.0,6.0,239.3,1.0,6.0,284.7,1.0,6.0,123.7,1.0,5.0,560.1
3.0,2.0,14.2,3.0,1.0,221.7,2.0,1.0,290.1,2.0,1.0,444.4,2.0,1.0,226.0,2.0,1.0,1135.0
3.0,4.0,13.4,3.0,4.0,427.6,2.0,4.0,341.6,2.0,3.0,1019.0,2.0,3.0,550.7,2.0,3.0,2423.0
3.0,5.0,11.2,3.0,5.0,303.8,2.0,5.0,283.4,2.0,5.0,576.4,2.0,4.0,527.6,2.0,4.0,2256.0
3.0,6.0,31.8,3.0,6.0,533.2,2.0,6.0,590.5,2.0,6.0,794.0,2.0,6.0,469.7,2.0,5.0,1735.0
4.0,2.0,17.2,4.0,1.0,301.6,4.0,1.0,433.0,3.0,1.0,722.9,3.0,1.0,355.5,3.0,1.0,1695.0
4.0,3.0,22.9,4.0,3.0,652.9,4.0,2.0,746.0,3.0,2.0,1243.0,3.0,2.0,731.8,3.0,2.0,2617.0
4.0,5.0,16.6,4.0,5.0,406.9,4.0,5.0,510.3,3.0,5.0,903.7,3.0,4.0,832.4,3.0,4.0,2934.0
4.0,6.0,34.9,4.0,6.0,693.1,4.0,6.0,899.9,3.0,6.0,1377.0,3.0,6.0,795.9,3.0,5.0,2051.0
5.0,2.0,14.7,5.0,1.0,179.5,5.0,1.0,251.8,5.0,1.0,213.7,4.0,1.0,293.6,4.0,1.0,1677.0
5.0,3.0,19.7,5.0,3.0,427.0,5.0,2.0,488.6,5.0,2.0,430.1,4.0,2.0,554.4,4.0,2.0,2536.0
5.0,4.0,22.3,5.0,4.0,381.7,5.0,4.0,497.5,5.0,3.0,620.1,4.0,3.0,798.8,4.0,3.0,3145.0
5.0,6.0,25.4,5.0,6.0,413.8,5.0,6.0,600.8,5.0,6.0,324.0,4.0,6.0,443.8,4.0,5.0,1964.0
6.0,2.0,68.2,6.0,1.0,523.0,6.0,1.0,867.7,6.0,1.0,670.3,6.0,1.0,285.7,5.0,1.0,658.2
6.0,3.0,82.8,6.0,3.0,1105.0,6.0,2.0,1319.0,6.0,2.0,1046.0,6.0,2.0,581.0,5.0,2.0,1699.0
6.0,4.0,86.7,6.0,4.0,1143.0,6.0,4.0,1539.0,6.0,3.0,1627.0,6.0,3.0,666.9,5.0,3.0,1721.0
6.0,5.0,64.1,6.0,5.0,719.0,6.0,5.0,1130.0,6.0,5.0,719.7,6.0,4.0,678.7,5.0,4.0,1749.0
