1,鳥飼 眞,鳥飼 眞.1,2,竹井 貴史,竹井 貴史.1,3,山田 丈,山田 丈.1,4,羽野 諒,羽野 諒.1,5,中島 真二,中島 真二.1,6,小池 公生,小池 公生.1
2.0,3.0,7.3,1.0,3.0,7.4,1.0,2.0,52.2,1.0,2.0,122.1,1.0,2.0,339.5,1.0,2.0,595.8
2.0,4.0,10.4,1.0,4.0,9.5,1.0,4.0,96.9,1.0,3.0,237.0,1.0,3.0,592.0,1.0,3.0,1286.0
2.0,5.0,24.0,1.0,5.0,22.7,1.0,5.0,135.8,1.0,5.0,249.8,1.0,4.0,581.0,1.0,4.0,2072.0
2.0,6.0,30.3,1.0,6.0,24.7,1.0,6.0,137.4,1.0,6.0,293.5,1.0,6.0,689.0,1.0,5.0,2118.0
3.0,2.0,16.4,3.0,1.0,21.5,2.0,1.0,52.5,2.0,1.0,125.0,2.0,1.0,359.0,2.0,1.0,610.0
3.0,4.0,35.3,3.0,4.0,32.5,2.0,4.0,66.8,2.0,3.0,182.7,2.0,3.0,450.9,2.0,3.0,763.7
3.0,5.0,57.3,3.0,5.0,55.0,2.0,5.0,94.8,2.0,5.0,226.5,2.0,4.0,471.2,2.0,4.0,975.1
3.0,6.0,68.8,3.0,6.0,61.9,2.0,6.0,101.7,2.0,6.0,233.8,2.0,6.0,685.6,2.0,5.0,1657.0
4.0,2.0,37.8,4.0,1.0,33.5,4.0,1.0,178.0,3.0,1.0,381.3,3.0,1.0,917.9,3.0,1.0,1728.0
4.0,3.0,77.7,4.0,3.0,53.6,4.0,2.0,127.8,3.0,2.0,262.8,3.0,2.0,595.8,3.0,2.0,978.5
4.0,5.0,105.5,4.0,5.0,73.7,4.0,5.0,214.4,3.0,5.0,541.9,3.0,4.0,912.0,3.0,4.0,2291.0
4.0,6.0,129.3,4.0,6.0,93.9,4.0,6.0,282.9,3.0,6.0,593.3,3.0,6.0,1452.0,3.0,5.0,3808.0
5.0,2.0,91.3,5.0,1.0,96.1,5.0,1.0,378.7,5.0,1.0,369.3,4.0,1.0,697.5,4.0,1.0,2254.0
5.0,3.0,169.4,5.0,3.0,133.8,5.0,2.0,236.6,5.0,2.0,282.1,4.0,2.0,552.5,4.0,2.0,1281.0
5.0,4.0,204.8,5.0,4.0,129.2,5.0,4.0,382.9,5.0,3.0,518.0,4.0,3.0,875.2,4.0,3.0,2905.0
5.0,6.0,266.1,5.0,6.0,208.9,5.0,6.0,532.7,5.0,6.0,529.7,4.0,6.0,1006.0,4.0,5.0,2790.0
6.0,2.0,131.5,6.0,1.0,139.3,6.0,1.0,505.9,6.0,1.0,666.2,6.0,1.0,1445.0,5.0,1.0,2633.0
6.0,3.0,218.4,6.0,3.0,202.8,6.0,2.0,330.7,6.0,2.0,464.2,6.0,2.0,1286.0,5.0,2.0,2291.0
6.0,4.0,275.7,6.0,4.0,243.3,6.0,4.0,706.3,6.0,3.0,872.5,6.0,3.0,2027.0,5.0,3.0,4270.0
6.0,5.0,354.4,6.0,5.0,348.3,6.0,5.0,924.0,6.0,5.0,732.0,6.0,4.0,1806.0,5.0,4.0,2998.0
