1,牧原 崇,牧原 崇.1,2,出本 正博,出本 正博.1,3,三川 昂暁,三川 昂暁.1,4,乙津 康志,乙津 康志.1,5,渡邉 英児,渡邉 英児.1,6,江夏 満,江夏 満.1
2.0,3.0,80.2,1.0,3.0,396.0,1.0,2.0,151.9,1.0,2.0,275.5,1.0,2.0,476.6,1.0,2.0,296.2
2.0,4.0,111.9,1.0,4.0,435.2,1.0,4.0,25.2,1.0,3.0,82.6,1.0,3.0,137.1,1.0,3.0,71.1
2.0,5.0,163.4,1.0,5.0,598.3,1.0,5.0,27.4,1.0,5.0,89.0,1.0,4.0,222.9,1.0,4.0,134.8
2.0,6.0,125.3,1.0,6.0,486.1,1.0,6.0,19.5,1.0,6.0,59.5,1.0,6.0,124.7,1.0,5.0,110.5
3.0,2.0,56.8,3.0,1.0,493.4,2.0,1.0,311.0,2.0,1.0,543.4,2.0,1.0,905.8,2.0,1.0,650.0
3.0,4.0,10.2,3.0,4.0,1211.0,2.0,4.0,431.4,2.0,3.0,801.8,2.0,3.0,1000.0,2.0,3.0,808.5
3.0,5.0,14.0,3.0,5.0,1331.0,2.0,5.0,418.5,2.0,5.0,903.7,2.0,4.0,1027.0,2.0,4.0,1029.0
3.0,6.0,8.3,3.0,6.0,858.1,2.0,6.0,345.6,2.0,6.0,611.4,2.0,6.0,764.2,2.0,5.0,983.2
4.0,2.0,95.9,4.0,1.0,867.6,4.0,1.0,53.3,3.0,1.0,106.9,3.0,1.0,179.9,3.0,1.0,89.8
4.0,3.0,18.9,4.0,3.0,1387.0,4.0,2.0,337.9,3.0,2.0,585.7,3.0,2.0,768.7,3.0,2.0,460.3
4.0,5.0,33.2,4.0,5.0,1185.0,4.0,5.0,64.6,3.0,5.0,154.0,3.0,4.0,298.2,3.0,4.0,153.3
4.0,6.0,20.0,4.0,6.0,907.9,4.0,6.0,42.2,3.0,6.0,99.1,3.0,6.0,148.1,3.0,5.0,115.3
5.0,2.0,148.2,5.0,1.0,1428.0,5.0,1.0,68.0,5.0,1.0,126.9,4.0,1.0,279.1,4.0,1.0,204.5
5.0,3.0,37.1,5.0,3.0,1482.0,5.0,2.0,403.4,5.0,2.0,490.9,4.0,2.0,813.5,4.0,2.0,918.5
5.0,4.0,58.7,5.0,4.0,1845.0,5.0,4.0,89.4,5.0,3.0,179.9,4.0,3.0,340.5,4.0,3.0,226.3
5.0,6.0,35.5,5.0,6.0,1291.0,5.0,6.0,51.8,5.0,6.0,84.9,4.0,6.0,189.2,4.0,5.0,241.5
6.0,2.0,128.9,6.0,1.0,1046.0,6.0,1.0,44.2,6.0,1.0,89.3,6.0,1.0,160.4,5.0,1.0,168.8
6.0,3.0,17.7,6.0,3.0,1326.0,6.0,2.0,313.3,6.0,2.0,422.1,6.0,2.0,679.3,5.0,2.0,723.3
6.0,4.0,30.1,6.0,4.0,1449.0,6.0,4.0,65.3,6.0,3.0,125.7,6.0,3.0,157.9,5.0,3.0,149.6
6.0,5.0,36.2,6.0,5.0,1449.0,6.0,5.0,55.2,6.0,5.0,100.3,6.0,4.0,220.5,5.0,4.0,246.7
