1,守屋 美穂,守屋 美穂.1,2,松山 将吾,松山 将吾.1,3,伏田 裕隆,伏田 裕隆.1,4,中島 昂章,中島 昂章.1,5,坂井 滉哉,坂井 滉哉.1,6,阿波 勝哉,阿波 勝哉.1
2.0,3.0,11.5,1.0,3.0,49.4,1.0,2.0,93.5,1.0,2.0,53.7,1.0,2.0,290.0,1.0,2.0,473.8
2.0,4.0,5.6,1.0,4.0,24.4,1.0,4.0,88.0,1.0,3.0,123.8,1.0,3.0,502.8,1.0,3.0,829.6
2.0,5.0,22.5,1.0,5.0,71.3,1.0,5.0,162.7,1.0,5.0,72.3,1.0,4.0,275.7,1.0,4.0,685.1
2.0,6.0,18.8,1.0,6.0,77.3,1.0,6.0,147.9,1.0,6.0,107.8,1.0,6.0,394.4,1.0,5.0,1244.0
3.0,2.0,20.1,3.0,1.0,127.9,2.0,1.0,138.5,2.0,1.0,84.1,2.0,1.0,387.4,2.0,1.0,512.0
3.0,4.0,21.9,3.0,4.0,110.0,2.0,4.0,118.5,2.0,3.0,188.4,2.0,3.0,628.2,2.0,3.0,822.7
3.0,5.0,65.6,3.0,5.0,188.8,2.0,5.0,192.9,2.0,5.0,143.1,2.0,4.0,394.0,2.0,4.0,724.2
3.0,6.0,50.0,3.0,6.0,220.8,2.0,6.0,169.9,2.0,6.0,179.5,2.0,6.0,477.8,2.0,5.0,1240.0
4.0,2.0,9.2,4.0,1.0,57.9,4.0,1.0,88.2,3.0,1.0,136.9,3.0,1.0,654.3,3.0,1.0,952.2
4.0,3.0,25.2,4.0,3.0,105.6,4.0,2.0,91.8,3.0,2.0,157.4,3.0,2.0,626.2,3.0,2.0,910.3
4.0,5.0,21.1,4.0,5.0,97.0,4.0,5.0,80.9,3.0,5.0,137.6,3.0,4.0,528.5,3.0,4.0,1198.0
4.0,6.0,30.7,4.0,6.0,128.3,4.0,6.0,92.7,3.0,6.0,158.4,3.0,6.0,586.0,3.0,5.0,1579.0
5.0,2.0,77.4,5.0,1.0,255.0,5.0,1.0,235.6,5.0,1.0,107.3,4.0,1.0,315.3,4.0,1.0,1008.0
5.0,3.0,135.4,5.0,3.0,346.4,5.0,2.0,232.5,5.0,2.0,142.4,4.0,2.0,364.1,4.0,2.0,998.1
5.0,4.0,77.1,5.0,4.0,240.2,5.0,4.0,162.5,5.0,3.0,192.4,4.0,3.0,535.0,4.0,3.0,1163.0
5.0,6.0,126.1,5.0,6.0,371.7,5.0,6.0,191.6,5.0,6.0,143.0,4.0,6.0,377.4,4.0,5.0,1342.0
6.0,2.0,77.8,6.0,1.0,320.7,6.0,1.0,276.3,6.0,1.0,287.2,6.0,1.0,665.4,5.0,1.0,1518.0
6.0,3.0,147.3,6.0,3.0,578.3,6.0,2.0,295.9,6.0,2.0,324.2,6.0,2.0,749.0,5.0,2.0,1548.0
6.0,4.0,85.7,6.0,4.0,383.2,6.0,4.0,226.4,6.0,3.0,379.2,6.0,3.0,908.2,5.0,3.0,1812.0
6.0,5.0,213.8,6.0,5.0,605.0,6.0,5.0,277.9,6.0,5.0,293.2,6.0,4.0,686.3,5.0,4.0,1356.0
