1,益田 啓司,益田 啓司.1,2,坪井 康晴,坪井 康晴.1,3,秦 英悟,秦 英悟.1,4,北川 敏弘,北川 敏弘.1,5,徳増 秀樹,徳増 秀樹.1,6,小野 生奈,小野 生奈.1
2.0,3.0,6.4,1.0,3.0,15.6,1.0,2.0,32.2,1.0,2.0,384.8,1.0,2.0,106.7,1.0,2.0,456.5
2.0,4.0,19.4,1.0,4.0,38.7,1.0,4.0,60.7,1.0,3.0,594.9,1.0,3.0,158.6,1.0,3.0,806.3
2.0,5.0,8.8,1.0,5.0,19.6,1.0,5.0,35.6,1.0,5.0,430.5,1.0,4.0,338.0,1.0,4.0,1297.0
2.0,6.0,18.5,1.0,6.0,36.8,1.0,6.0,53.5,1.0,6.0,590.4,1.0,6.0,185.2,1.0,5.0,712.0
3.0,2.0,11.0,3.0,1.0,51.4,2.0,1.0,68.7,2.0,1.0,621.8,2.0,1.0,169.0,2.0,1.0,622.8
3.0,4.0,32.8,3.0,4.0,211.2,2.0,4.0,257.2,2.0,3.0,1004.0,2.0,3.0,276.2,2.0,3.0,1166.0
3.0,5.0,15.4,3.0,5.0,90.4,2.0,5.0,126.5,2.0,5.0,814.7,2.0,4.0,586.5,2.0,4.0,1715.0
3.0,6.0,30.4,3.0,6.0,141.7,2.0,6.0,148.4,2.0,6.0,971.7,2.0,6.0,264.0,2.0,5.0,946.5
4.0,2.0,52.4,4.0,1.0,204.6,4.0,1.0,277.7,3.0,1.0,1006.0,3.0,1.0,293.9,3.0,1.0,1202.0
4.0,3.0,75.7,4.0,3.0,406.0,4.0,2.0,479.0,3.0,2.0,1267.0,3.0,2.0,341.3,3.0,2.0,1472.0
4.0,5.0,70.8,4.0,5.0,325.6,4.0,5.0,470.0,3.0,5.0,1418.0,3.0,4.0,1002.0,3.0,4.0,2004.0
4.0,6.0,91.6,4.0,6.0,426.8,4.0,6.0,548.5,3.0,6.0,1487.0,3.0,6.0,451.4,3.0,5.0,1577.0
5.0,2.0,22.8,5.0,1.0,79.2,5.0,1.0,130.6,5.0,1.0,520.3,4.0,1.0,631.8,4.0,1.0,1952.0
5.0,3.0,32.9,5.0,3.0,131.8,5.0,2.0,180.2,5.0,2.0,636.6,4.0,2.0,709.3,4.0,2.0,2059.0
5.0,4.0,80.5,5.0,4.0,278.5,5.0,4.0,425.5,5.0,3.0,1005.0,4.0,3.0,1085.0,4.0,3.0,2542.0
5.0,6.0,47.8,5.0,6.0,183.2,5.0,6.0,279.6,5.0,6.0,669.0,4.0,6.0,686.8,4.0,5.0,2071.0
6.0,2.0,67.7,6.0,1.0,231.9,6.0,1.0,289.9,6.0,1.0,1029.0,6.0,1.0,367.8,5.0,1.0,876.7
6.0,3.0,93.0,6.0,3.0,347.9,6.0,2.0,362.5,6.0,2.0,1108.0,6.0,2.0,398.2,5.0,2.0,1016.0
6.0,4.0,155.7,6.0,4.0,613.1,6.0,4.0,744.6,6.0,3.0,1260.0,6.0,3.0,582.8,5.0,3.0,1538.0
6.0,5.0,106.6,6.0,5.0,353.1,6.0,5.0,518.3,6.0,5.0,1144.0,6.0,4.0,798.2,5.0,4.0,1828.0
