1,稲生 夏季,稲生 夏季.1,2,植木 美帆,植木 美帆.1,3,山川　美由紀,山川　美由紀.1,4,大橋　栄里佳,大橋　栄里佳.1,5,藤原 菜希,藤原 菜希.1,6,田中 博子,田中 博子.1
2.0,3.0,37.6,1.0,3.0,99.3,1.0,2.0,65.3,1.0,2.0,124.9,1.0,2.0,102.7,1.0,2.0,2196.0
2.0,4.0,48.4,1.0,4.0,137.9,1.0,4.0,24.9,1.0,3.0,54.3,1.0,3.0,30.1,1.0,3.0,1790.0
2.0,5.0,49.7,1.0,5.0,128.9,1.0,5.0,15.0,1.0,5.0,45.8,1.0,4.0,49.0,1.0,4.0,2977.0
2.0,6.0,330.8,1.0,6.0,653.2,1.0,6.0,229.9,1.0,6.0,350.6,1.0,6.0,224.5,1.0,5.0,2022.0
3.0,2.0,29.5,3.0,1.0,121.2,2.0,1.0,131.7,2.0,1.0,238.7,2.0,1.0,179.4,2.0,1.0,2488.0
3.0,4.0,12.1,3.0,4.0,168.0,2.0,4.0,171.5,2.0,3.0,287.3,2.0,3.0,215.2,2.0,3.0,2838.0
3.0,5.0,8.9,3.0,5.0,132.3,2.0,5.0,125.5,2.0,5.0,286.8,2.0,4.0,320.1,2.0,4.0,2977.0
3.0,6.0,174.0,3.0,6.0,725.4,2.0,6.0,639.4,2.0,6.0,897.1,2.0,6.0,988.4,2.0,5.0,3491.0
4.0,2.0,45.1,4.0,1.0,245.7,4.0,1.0,41.5,3.0,1.0,64.4,3.0,1.0,32.1,3.0,1.0,2355.0
4.0,3.0,20.6,4.0,3.0,262.3,4.0,2.0,139.2,3.0,2.0,215.0,3.0,2.0,145.6,3.0,2.0,3091.0
4.0,5.0,19.3,4.0,5.0,271.1,4.0,5.0,32.3,3.0,5.0,56.0,3.0,4.0,55.3,3.0,4.0,2854.0
4.0,6.0,244.5,4.0,6.0,944.2,4.0,6.0,342.0,3.0,6.0,463.5,3.0,6.0,262.2,3.0,5.0,2196.0
5.0,2.0,49.0,5.0,1.0,201.7,5.0,1.0,22.7,5.0,1.0,40.1,4.0,1.0,53.3,4.0,1.0,3131.0
5.0,3.0,14.1,5.0,3.0,218.5,5.0,2.0,89.8,5.0,2.0,150.4,4.0,2.0,193.5,4.0,2.0,2805.0
5.0,4.0,21.3,5.0,4.0,340.5,5.0,4.0,30.3,5.0,3.0,48.6,4.0,3.0,62.3,4.0,3.0,2871.0
5.0,6.0,178.3,5.0,6.0,1280.0,5.0,6.0,208.3,5.0,6.0,222.5,4.0,6.0,245.9,4.0,5.0,3235.0
6.0,2.0,862.0,6.0,1.0,1090.0,6.0,1.0,885.6,6.0,1.0,972.6,6.0,1.0,554.6,5.0,1.0,2959.0
6.0,3.0,709.5,6.0,3.0,1777.0,6.0,2.0,1234.0,6.0,2.0,1113.0,6.0,2.0,1444.0,5.0,2.0,3151.0
6.0,4.0,947.9,6.0,4.0,1691.0,6.0,4.0,978.4,6.0,3.0,1166.0,6.0,3.0,727.6,5.0,3.0,2176.0
6.0,5.0,765.5,6.0,5.0,1949.0,6.0,5.0,668.5,6.0,5.0,673.1,6.0,4.0,520.7,5.0,4.0,2726.0
