1,松田 竜馬,松田 竜馬.1,2,田中　太一郎,田中　太一郎.1,3,冨成 謙児,冨成 謙児.1,4,星 栄爾,星 栄爾.1,5,松崎　祐太郎,松崎　祐太郎.1,6,岡 暢祐,岡 暢祐.1
2.0,3.0,12.9,1.0,3.0,44.6,1.0,2.0,50.7,1.0,2.0,125.9,1.0,2.0,69.3,1.0,2.0,1056.0
2.0,4.0,18.3,1.0,4.0,55.5,1.0,4.0,40.3,1.0,3.0,103.4,1.0,3.0,68.0,1.0,3.0,1554.0
2.0,5.0,14.4,1.0,5.0,47.4,1.0,5.0,33.4,1.0,5.0,65.5,1.0,4.0,63.0,1.0,4.0,2102.0
2.0,6.0,118.3,1.0,6.0,214.9,1.0,6.0,149.0,1.0,6.0,222.0,1.0,6.0,177.4,1.0,5.0,1147.0
3.0,2.0,13.9,3.0,1.0,99.3,2.0,1.0,94.2,2.0,1.0,188.9,2.0,1.0,130.9,2.0,1.0,818.6
3.0,4.0,11.8,3.0,4.0,228.1,2.0,4.0,184.7,2.0,3.0,362.9,2.0,3.0,341.0,2.0,3.0,2023.0
3.0,5.0,9.6,3.0,5.0,208.6,2.0,5.0,178.4,2.0,5.0,298.3,2.0,4.0,325.9,2.0,4.0,2615.0
3.0,6.0,78.2,3.0,6.0,561.5,2.0,6.0,496.5,2.0,6.0,732.0,2.0,6.0,543.0,2.0,5.0,2082.0
4.0,2.0,25.9,4.0,1.0,147.6,4.0,1.0,74.9,3.0,1.0,159.4,3.0,1.0,121.7,3.0,1.0,2102.0
4.0,3.0,20.4,4.0,3.0,244.5,4.0,2.0,173.2,3.0,2.0,351.0,3.0,2.0,335.6,3.0,2.0,2938.0
4.0,5.0,17.5,4.0,5.0,226.9,4.0,5.0,81.4,3.0,5.0,164.3,3.0,4.0,234.6,3.0,4.0,1469.0
4.0,6.0,114.0,4.0,6.0,562.9,4.0,6.0,298.7,3.0,6.0,513.1,3.0,6.0,504.6,3.0,5.0,2234.0
5.0,2.0,21.7,5.0,1.0,123.9,5.0,1.0,67.2,5.0,1.0,77.6,4.0,1.0,93.4,4.0,1.0,2331.0
5.0,3.0,18.1,5.0,3.0,263.1,5.0,2.0,197.6,5.0,2.0,215.5,4.0,2.0,269.4,4.0,2.0,3108.0
5.0,4.0,23.1,5.0,4.0,284.1,5.0,4.0,98.7,5.0,3.0,169.9,4.0,3.0,224.8,4.0,3.0,1577.0
5.0,6.0,80.3,5.0,6.0,533.5,5.0,6.0,279.6,5.0,6.0,232.8,4.0,6.0,312.2,4.0,5.0,2234.0
6.0,2.0,315.9,6.0,1.0,625.3,6.0,1.0,516.8,6.0,1.0,638.3,6.0,1.0,400.1,5.0,1.0,1178.0
6.0,3.0,327.4,6.0,3.0,1239.0,6.0,2.0,974.9,6.0,2.0,1211.0,6.0,2.0,777.1,5.0,2.0,2123.0
6.0,4.0,355.7,6.0,4.0,1357.0,6.0,4.0,534.9,6.0,3.0,779.9,6.0,3.0,614.6,5.0,3.0,2102.0
6.0,5.0,289.0,6.0,5.0,1178.0,6.0,5.0,674.5,6.0,5.0,685.2,6.0,4.0,619.9,5.0,4.0,1833.0
