1,飯田 庄吾,飯田 庄吾.1,2,中野 和裕,中野 和裕.1,3,萩原 知哉,萩原 知哉.1,4,多田 有佑,多田 有佑.1,5,廣中 良一,廣中 良一.1,6,小川 晃司,小川 晃司.1
2.0,3.0,14.4,1.0,3.0,32.8,1.0,2.0,61.6,1.0,2.0,124.8,1.0,2.0,298.1,1.0,2.0,230.5
2.0,4.0,16.7,1.0,4.0,36.1,1.0,4.0,48.0,1.0,3.0,132.6,1.0,3.0,315.0,1.0,3.0,269.3
2.0,5.0,53.9,1.0,5.0,72.5,1.0,5.0,66.4,1.0,5.0,168.3,1.0,4.0,401.2,1.0,4.0,277.9
2.0,6.0,24.6,1.0,6.0,43.1,1.0,6.0,58.4,1.0,6.0,95.3,1.0,6.0,207.8,1.0,5.0,382.5
3.0,2.0,18.6,3.0,1.0,47.7,2.0,1.0,74.7,2.0,1.0,142.2,2.0,1.0,330.7,2.0,1.0,301.4
3.0,4.0,22.5,3.0,4.0,46.6,2.0,4.0,61.8,2.0,3.0,147.5,2.0,3.0,246.0,2.0,3.0,333.1
3.0,5.0,42.9,3.0,5.0,58.7,2.0,5.0,85.6,2.0,5.0,203.2,2.0,4.0,348.9,2.0,4.0,279.6
3.0,6.0,29.4,3.0,6.0,53.1,2.0,6.0,61.5,2.0,6.0,100.6,2.0,6.0,174.2,2.0,5.0,288.8
4.0,2.0,43.0,4.0,1.0,73.5,4.0,1.0,48.2,3.0,1.0,91.1,3.0,1.0,327.6,3.0,1.0,284.7
4.0,3.0,42.5,4.0,3.0,66.8,4.0,2.0,61.0,3.0,2.0,109.3,3.0,2.0,281.3,3.0,2.0,372.3
4.0,5.0,83.3,4.0,5.0,111.3,4.0,5.0,55.3,3.0,5.0,100.7,3.0,4.0,336.3,3.0,4.0,242.5
4.0,6.0,45.1,4.0,6.0,67.3,4.0,6.0,53.4,3.0,6.0,94.2,3.0,6.0,244.2,3.0,5.0,455.0
5.0,2.0,142.5,5.0,1.0,168.5,5.0,1.0,134.0,5.0,1.0,192.0,4.0,1.0,456.5,4.0,1.0,333.9
5.0,3.0,111.1,5.0,3.0,116.3,5.0,2.0,144.0,5.0,2.0,199.7,4.0,2.0,403.6,4.0,2.0,280.7
5.0,4.0,153.6,5.0,4.0,166.5,5.0,4.0,102.0,5.0,3.0,144.1,4.0,3.0,401.2,4.0,3.0,269.8
5.0,6.0,109.3,5.0,6.0,90.9,5.0,6.0,120.3,5.0,6.0,113.8,4.0,6.0,229.7,4.0,5.0,396.7
6.0,2.0,87.6,6.0,1.0,140.7,6.0,1.0,135.3,6.0,1.0,140.6,6.0,1.0,246.8,5.0,1.0,397.8
6.0,3.0,81.4,6.0,3.0,129.2,6.0,2.0,136.7,6.0,2.0,132.7,6.0,2.0,210.9,5.0,2.0,318.6
6.0,4.0,106.4,6.0,4.0,140.9,6.0,4.0,117.4,6.0,3.0,147.5,6.0,3.0,282.4,5.0,3.0,472.0
6.0,5.0,151.5,6.0,5.0,151.6,6.0,5.0,155.0,6.0,5.0,138.2,6.0,4.0,295.6,5.0,4.0,418.1
