1,内山 七海,内山 七海.1,2,上野 秀和,上野 秀和.1,3,長野　壮志郎,長野　壮志郎.1,4,小林 文彦,小林 文彦.1,5,池田　奈津美,池田　奈津美.1,6,長尾　京志郎,長尾　京志郎.1
2.0,3.0,38.7,1.0,3.0,112.4,1.0,2.0,28.2,1.0,2.0,114.3,1.0,2.0,750.3,1.0,2.0,562.7
2.0,4.0,66.1,1.0,4.0,163.1,1.0,4.0,13.8,1.0,3.0,46.6,1.0,3.0,359.1,1.0,3.0,304.7
2.0,5.0,164.8,1.0,5.0,381.2,1.0,5.0,37.3,1.0,5.0,167.3,1.0,4.0,545.5,1.0,4.0,397.7
2.0,6.0,174.0,1.0,6.0,381.2,1.0,6.0,44.2,1.0,6.0,99.4,1.0,6.0,943.7,1.0,5.0,935.0
3.0,2.0,26.2,3.0,1.0,113.8,2.0,1.0,48.5,2.0,1.0,159.0,2.0,1.0,964.7,2.0,1.0,771.2
3.0,4.0,13.1,3.0,4.0,60.3,2.0,4.0,23.7,2.0,3.0,69.5,2.0,3.0,700.1,2.0,3.0,448.8
3.0,5.0,40.3,3.0,5.0,235.2,2.0,5.0,103.8,2.0,5.0,270.5,2.0,4.0,870.7,2.0,4.0,568.0
3.0,6.0,51.2,3.0,6.0,151.7,2.0,6.0,60.8,2.0,6.0,147.0,2.0,6.0,1440.0,2.0,5.0,1413.0
4.0,2.0,65.1,4.0,1.0,195.5,4.0,1.0,12.8,3.0,1.0,29.3,3.0,1.0,324.3,3.0,1.0,290.5
4.0,3.0,26.5,4.0,3.0,88.9,4.0,2.0,18.2,3.0,2.0,39.5,3.0,2.0,447.5,3.0,2.0,341.4
4.0,5.0,84.9,4.0,5.0,307.2,4.0,5.0,20.2,3.0,5.0,56.1,3.0,4.0,208.1,3.0,4.0,165.5
4.0,6.0,87.8,4.0,6.0,248.0,4.0,6.0,16.8,3.0,6.0,36.4,3.0,6.0,433.4,3.0,5.0,445.5
5.0,2.0,258.6,5.0,1.0,759.7,5.0,1.0,78.3,5.0,1.0,259.9,4.0,1.0,519.4,4.0,1.0,310.3
5.0,3.0,124.8,5.0,3.0,524.8,5.0,2.0,115.6,5.0,2.0,303.5,4.0,2.0,591.2,4.0,2.0,380.3
5.0,4.0,179.4,5.0,4.0,605.3,5.0,4.0,42.6,5.0,3.0,122.8,4.0,3.0,252.6,4.0,3.0,163.9
5.0,6.0,347.6,5.0,6.0,1055.0,5.0,6.0,85.8,5.0,6.0,222.6,4.0,6.0,537.8,4.0,5.0,477.0
6.0,2.0,373.3,6.0,1.0,789.3,6.0,1.0,98.8,6.0,1.0,99.1,6.0,1.0,1489.0,5.0,1.0,1716.0
6.0,3.0,174.4,6.0,3.0,464.6,6.0,2.0,108.2,6.0,2.0,114.6,6.0,2.0,1625.0,5.0,2.0,1777.0
6.0,4.0,228.3,6.0,4.0,465.3,6.0,4.0,47.6,6.0,3.0,58.8,6.0,3.0,765.4,5.0,3.0,726.9
6.0,5.0,516.8,6.0,5.0,1534.0,6.0,5.0,125.0,6.0,5.0,185.7,6.0,4.0,858.4,5.0,4.0,763.5
