1,重野 哲之,重野 哲之.1,2,魚谷 香織,魚谷 香織.1,3,三苫 晃幸,三苫 晃幸.1,4,峰重 力也,峰重 力也.1,5,阿波 勝哉,阿波 勝哉.1,6,品田 直樹,品田 直樹.1
2.0,3.0,4.9,1.0,3.0,30.1,1.0,2.0,56.4,1.0,2.0,165.4,1.0,2.0,189.0,1.0,2.0,641.7
2.0,4.0,11.6,1.0,4.0,55.3,1.0,4.0,62.0,1.0,3.0,180.7,1.0,3.0,239.0,1.0,3.0,737.4
2.0,5.0,13.0,1.0,5.0,56.4,1.0,5.0,80.3,1.0,5.0,198.3,1.0,4.0,404.5,1.0,4.0,1027.0
2.0,6.0,29.3,1.0,6.0,98.5,1.0,6.0,126.5,1.0,6.0,245.8,1.0,6.0,521.0,1.0,5.0,1166.0
3.0,2.0,6.3,3.0,1.0,85.4,2.0,1.0,120.0,2.0,1.0,299.2,2.0,1.0,296.9,2.0,1.0,913.9
3.0,4.0,8.7,3.0,4.0,198.2,2.0,4.0,250.3,2.0,3.0,374.2,2.0,3.0,387.8,2.0,3.0,1007.0
3.0,5.0,15.4,3.0,5.0,213.1,2.0,5.0,256.1,2.0,5.0,433.7,2.0,4.0,569.2,2.0,4.0,1211.0
3.0,6.0,26.8,3.0,6.0,285.7,2.0,6.0,367.2,2.0,6.0,532.5,2.0,6.0,737.4,2.0,5.0,1367.0
4.0,2.0,24.5,4.0,1.0,241.2,4.0,1.0,186.9,3.0,1.0,293.3,3.0,1.0,438.8,3.0,1.0,1312.0
4.0,3.0,24.3,4.0,3.0,319.4,4.0,2.0,280.1,3.0,2.0,429.6,3.0,2.0,560.5,3.0,2.0,1198.0
4.0,5.0,45.7,4.0,5.0,443.4,4.0,5.0,326.9,3.0,5.0,530.5,3.0,4.0,900.5,3.0,4.0,1542.0
4.0,6.0,61.0,4.0,6.0,532.5,4.0,6.0,361.7,3.0,6.0,609.9,3.0,6.0,1170.0,3.0,5.0,2014.0
5.0,2.0,45.3,5.0,1.0,249.4,5.0,1.0,238.9,5.0,1.0,381.9,4.0,1.0,723.0,4.0,1.0,1239.0
5.0,3.0,53.8,5.0,3.0,328.7,5.0,2.0,269.3,5.0,2.0,505.3,4.0,2.0,877.7,4.0,2.0,1364.0
5.0,4.0,95.4,5.0,4.0,615.4,5.0,4.0,362.9,5.0,3.0,637.3,4.0,3.0,1023.0,4.0,3.0,1492.0
5.0,6.0,148.3,5.0,6.0,650.0,5.0,6.0,373.4,5.0,6.0,632.9,4.0,6.0,1294.0,4.0,5.0,1600.0
6.0,2.0,97.8,6.0,1.0,488.4,6.0,1.0,326.7,6.0,1.0,413.3,6.0,1.0,1132.0,5.0,1.0,1883.0
6.0,3.0,108.4,6.0,3.0,635.1,6.0,2.0,363.9,6.0,2.0,527.9,6.0,2.0,1166.0,5.0,2.0,1810.0
6.0,4.0,148.5,6.0,4.0,879.1,6.0,4.0,434.7,6.0,3.0,757.6,6.0,3.0,1484.0,5.0,3.0,1936.0
6.0,5.0,149.7,6.0,5.0,840.4,6.0,5.0,494.9,6.0,5.0,600.0,6.0,4.0,1300.0,5.0,4.0,1810.0
