1,中辻 崇人,中辻 崇人.1,2,重野 哲之,重野 哲之.1,3,樋口　由加里,樋口　由加里.1,4,吉田 俊彦,吉田 俊彦.1,5,坂井 滉哉,坂井 滉哉.1,6,品田 直樹,品田 直樹.1
2.0,3.0,5.5,1.0,3.0,42.4,1.0,2.0,151.2,1.0,2.0,67.8,1.0,2.0,250.6,1.0,2.0,1343.0
2.0,4.0,3.7,1.0,4.0,31.6,1.0,4.0,157.2,1.0,3.0,153.1,1.0,3.0,446.0,1.0,3.0,2607.0
2.0,5.0,14.5,1.0,5.0,77.0,1.0,5.0,284.3,1.0,5.0,141.7,1.0,4.0,380.4,1.0,4.0,3083.0
2.0,6.0,41.4,1.0,6.0,180.6,1.0,6.0,526.8,1.0,6.0,216.0,1.0,6.0,601.0,1.0,5.0,3940.0
3.0,2.0,9.5,3.0,1.0,171.2,2.0,1.0,277.0,2.0,1.0,132.4,2.0,1.0,475.3,2.0,1.0,2332.0
3.0,4.0,12.4,3.0,4.0,236.0,2.0,4.0,376.4,2.0,3.0,407.5,2.0,3.0,1418.0,2.0,3.0,4377.0
3.0,5.0,30.2,3.0,5.0,487.7,2.0,5.0,659.1,2.0,5.0,397.5,2.0,4.0,990.5,2.0,4.0,3732.0
3.0,6.0,88.7,3.0,6.0,842.2,2.0,6.0,1143.0,2.0,6.0,649.4,2.0,6.0,1396.0,2.0,5.0,4221.0
4.0,2.0,7.6,4.0,1.0,103.8,4.0,1.0,339.3,3.0,1.0,418.6,3.0,1.0,1010.0,3.0,1.0,3409.0
4.0,3.0,16.1,4.0,3.0,240.8,4.0,2.0,466.5,3.0,2.0,573.7,3.0,2.0,1937.0,3.0,2.0,4791.0
4.0,5.0,24.9,4.0,5.0,383.7,4.0,5.0,719.2,3.0,5.0,916.2,3.0,4.0,1927.0,3.0,4.0,4925.0
4.0,6.0,60.8,4.0,6.0,642.3,4.0,6.0,1270.0,3.0,6.0,1174.0,3.0,6.0,3194.0,3.0,5.0,4994.0
5.0,2.0,40.9,5.0,1.0,350.0,5.0,1.0,710.6,5.0,1.0,283.0,4.0,1.0,635.4,4.0,1.0,3442.0
5.0,3.0,73.4,5.0,3.0,940.5,5.0,2.0,1013.0,5.0,2.0,461.7,4.0,2.0,1140.0,4.0,2.0,4075.0
5.0,4.0,61.4,5.0,4.0,748.1,5.0,4.0,1046.0,5.0,3.0,809.5,4.0,3.0,1755.0,4.0,3.0,4791.0
5.0,6.0,171.5,5.0,6.0,1313.0,5.0,6.0,1158.0,5.0,6.0,751.2,4.0,6.0,1634.0,4.0,5.0,4324.0
6.0,2.0,239.5,6.0,1.0,1049.0,6.0,1.0,1959.0,6.0,1.0,897.7,6.0,1.0,1800.0,5.0,1.0,3984.0
6.0,3.0,442.6,6.0,3.0,2646.0,6.0,2.0,2317.0,6.0,2.0,1303.0,6.0,2.0,2348.0,5.0,2.0,4605.0
6.0,4.0,312.9,6.0,4.0,2049.0,6.0,4.0,2748.0,6.0,3.0,1704.0,6.0,3.0,3056.0,5.0,3.0,5372.0
6.0,5.0,382.9,6.0,5.0,2445.0,6.0,5.0,2814.0,6.0,5.0,1664.0,6.0,4.0,2906.0,5.0,4.0,4546.0
