1,宗行 治哉,宗行 治哉.1,2,藤山 雅弘,藤山 雅弘.1,3,金子 拓矢,金子 拓矢.1,4,佐々木　裕美,佐々木　裕美.1,5,白井 友晴,白井 友晴.1,6,橋口 真樹,橋口 真樹.1
2.0,3.0,7.6,1.0,3.0,29.0,1.0,2.0,18.7,1.0,2.0,224.8,1.0,2.0,501.8,1.0,2.0,2353.0
2.0,4.0,25.4,1.0,4.0,71.7,1.0,4.0,20.7,1.0,3.0,152.7,1.0,3.0,262.5,1.0,3.0,1685.0
2.0,5.0,32.3,1.0,5.0,90.4,1.0,5.0,20.9,1.0,5.0,272.9,1.0,4.0,611.6,1.0,4.0,2590.0
2.0,6.0,99.3,1.0,6.0,224.8,1.0,6.0,67.4,1.0,6.0,530.1,1.0,6.0,1102.0,1.0,5.0,3270.0
3.0,2.0,5.7,3.0,1.0,41.5,2.0,1.0,40.7,2.0,1.0,352.7,2.0,1.0,787.6,2.0,1.0,3087.0
3.0,4.0,8.0,3.0,4.0,75.1,2.0,4.0,71.2,2.0,3.0,317.6,2.0,3.0,565.0,2.0,3.0,2324.0
3.0,5.0,8.5,3.0,5.0,95.5,2.0,5.0,77.9,2.0,5.0,552.1,2.0,4.0,1183.0,2.0,4.0,4385.0
3.0,6.0,30.9,3.0,6.0,251.7,2.0,6.0,222.4,2.0,6.0,999.8,2.0,6.0,1855.0,2.0,5.0,4885.0
4.0,2.0,45.2,4.0,1.0,190.8,4.0,1.0,53.4,3.0,1.0,162.1,3.0,1.0,303.4,3.0,1.0,2108.0
4.0,3.0,31.1,4.0,3.0,170.3,4.0,2.0,81.1,3.0,2.0,251.7,3.0,2.0,408.8,3.0,2.0,2643.0
4.0,5.0,69.0,4.0,5.0,265.4,4.0,5.0,80.1,3.0,5.0,249.6,3.0,4.0,493.5,3.0,4.0,2796.0
4.0,6.0,164.2,4.0,6.0,756.7,4.0,6.0,162.4,3.0,6.0,509.1,3.0,6.0,955.2,3.0,5.0,3163.0
5.0,2.0,84.5,5.0,1.0,322.6,5.0,1.0,74.8,5.0,1.0,441.5,4.0,1.0,1012.0,4.0,1.0,3112.0
5.0,3.0,44.5,5.0,3.0,262.5,5.0,2.0,111.8,5.0,2.0,566.7,4.0,2.0,1173.0,4.0,2.0,4706.0
5.0,4.0,132.1,5.0,4.0,527.9,5.0,4.0,119.2,5.0,3.0,405.8,4.0,3.0,716.0,4.0,3.0,2880.0
5.0,6.0,198.3,5.0,6.0,1002.0,5.0,6.0,215.1,5.0,6.0,795.7,4.0,6.0,2097.0,4.0,5.0,5286.0
6.0,2.0,425.4,6.0,1.0,1037.0,6.0,1.0,432.6,6.0,1.0,1213.0,6.0,1.0,2243.0,5.0,1.0,3415.0
6.0,3.0,225.0,6.0,3.0,779.6,6.0,2.0,530.8,6.0,2.0,1621.0,6.0,2.0,2555.0,5.0,2.0,5077.0
6.0,4.0,488.5,6.0,4.0,1513.0,6.0,4.0,520.8,6.0,3.0,1236.0,6.0,3.0,1670.0,5.0,3.0,3189.0
6.0,5.0,432.1,6.0,5.0,1778.0,6.0,5.0,471.7,6.0,5.0,1707.0,6.0,4.0,2816.0,5.0,4.0,4105.0
