1,吉島 祥之,吉島 祥之.1,2,荻野 裕介,荻野 裕介.1,3,安河内 将,安河内 将.1,4,梶野 学志,梶野 学志.1,5,岡部 貴司,岡部 貴司.1,6,明石 正之,明石 正之.1
2.0,3.0,21.2,1.0,3.0,81.4,1.0,2.0,20.6,1.0,2.0,208.1,1.0,2.0,1195.0,1.0,2.0,1315.0
2.0,4.0,41.7,1.0,4.0,162.4,1.0,4.0,7.2,1.0,3.0,73.5,1.0,3.0,613.5,1.0,3.0,479.5
2.0,5.0,114.1,1.0,5.0,354.0,1.0,5.0,21.8,1.0,5.0,200.6,1.0,4.0,860.8,1.0,4.0,957.8
2.0,6.0,109.1,1.0,6.0,313.4,1.0,6.0,17.1,1.0,6.0,154.9,1.0,6.0,1289.0,1.0,5.0,2035.0
3.0,2.0,13.5,3.0,1.0,117.0,2.0,1.0,59.1,2.0,1.0,413.1,2.0,1.0,1963.0,2.0,1.0,1925.0
3.0,4.0,6.4,3.0,4.0,169.7,2.0,4.0,61.3,2.0,3.0,332.6,2.0,3.0,1826.0,2.0,3.0,2089.0
3.0,5.0,24.8,3.0,5.0,448.1,2.0,5.0,167.6,2.0,5.0,964.9,2.0,4.0,2752.0,2.0,4.0,2397.0
3.0,6.0,17.5,3.0,6.0,392.7,2.0,6.0,138.4,2.0,6.0,674.9,2.0,6.0,2771.0,2.0,5.0,4294.0
4.0,2.0,37.2,4.0,1.0,334.0,4.0,1.0,16.1,3.0,1.0,63.4,3.0,1.0,669.2,3.0,1.0,482.4
4.0,3.0,15.5,4.0,3.0,322.1,4.0,2.0,49.9,3.0,2.0,160.6,3.0,2.0,1670.0,3.0,2.0,1852.0
4.0,5.0,71.1,4.0,5.0,786.3,4.0,5.0,35.0,3.0,5.0,122.1,3.0,4.0,750.1,3.0,4.0,531.7
4.0,6.0,49.0,4.0,6.0,647.0,4.0,6.0,26.1,3.0,6.0,92.7,3.0,6.0,1009.0,3.0,5.0,1390.0
5.0,2.0,222.9,5.0,1.0,1228.0,5.0,1.0,90.4,5.0,1.0,376.5,4.0,1.0,1209.0,4.0,1.0,1244.0
5.0,3.0,128.4,5.0,3.0,1236.0,5.0,2.0,214.1,5.0,2.0,747.2,4.0,2.0,2183.0,4.0,2.0,2246.0
5.0,4.0,215.4,5.0,4.0,2124.0,5.0,4.0,83.4,5.0,3.0,315.4,4.0,3.0,888.2,4.0,3.0,702.9
5.0,6.0,306.5,5.0,6.0,1878.0,5.0,6.0,117.6,5.0,6.0,366.6,4.0,6.0,1070.0,4.0,5.0,1452.0
6.0,2.0,263.3,6.0,1.0,1064.0,6.0,1.0,74.6,6.0,1.0,338.6,6.0,1.0,1925.0,5.0,1.0,2960.0
6.0,3.0,102.8,6.0,3.0,1347.0,6.0,2.0,221.8,6.0,2.0,719.7,6.0,2.0,2938.0,5.0,2.0,3987.0
6.0,4.0,161.5,6.0,4.0,1436.0,6.0,4.0,72.4,6.0,3.0,250.8,6.0,3.0,1416.0,5.0,3.0,1993.0
6.0,5.0,396.7,6.0,5.0,2368.0,6.0,5.0,149.2,6.0,5.0,478.9,6.0,4.0,1352.0,5.0,4.0,1563.0
