1,小林 文彦,小林 文彦.1,2,北川 敏弘,北川 敏弘.1,3,大串 重幸,大串 重幸.1,4,川崎 智稔,川崎 智稔.1,5,板倉 敦史,板倉 敦史.1,6,安東 幸治,安東 幸治.1
2.0,3.0,24.1,1.0,3.0,170.7,1.0,2.0,99.7,1.0,2.0,59.6,1.0,2.0,419.3,1.0,2.0,359.1
2.0,4.0,25.0,1.0,4.0,149.3,1.0,4.0,40.9,1.0,3.0,37.0,1.0,3.0,350.7,1.0,3.0,219.1
2.0,5.0,71.6,1.0,5.0,326.2,1.0,5.0,89.3,1.0,5.0,44.7,1.0,4.0,226.1,1.0,4.0,185.9
2.0,6.0,41.8,1.0,6.0,228.8,1.0,6.0,55.8,1.0,6.0,25.9,1.0,6.0,265.7,1.0,5.0,596.7
3.0,2.0,18.3,3.0,1.0,333.1,2.0,1.0,233.1,2.0,1.0,157.8,2.0,1.0,790.8,2.0,1.0,721.0
3.0,4.0,8.9,3.0,4.0,474.7,2.0,4.0,293.9,2.0,3.0,271.5,2.0,3.0,1599.0,2.0,3.0,977.7
3.0,5.0,31.1,3.0,5.0,840.7,2.0,5.0,506.7,2.0,5.0,254.6,2.0,4.0,934.6,2.0,4.0,860.8
3.0,6.0,13.3,3.0,6.0,513.2,2.0,6.0,344.3,2.0,6.0,140.3,2.0,6.0,977.7,2.0,5.0,1721.0
4.0,2.0,18.2,4.0,1.0,306.4,4.0,1.0,65.0,3.0,1.0,68.6,3.0,1.0,564.8,3.0,1.0,343.6
4.0,3.0,11.3,4.0,3.0,601.7,4.0,2.0,198.4,3.0,2.0,195.7,3.0,2.0,1347.0,3.0,2.0,959.5
4.0,5.0,31.1,4.0,5.0,862.8,4.0,5.0,103.0,3.0,5.0,117.7,3.0,4.0,676.3,3.0,4.0,438.8
4.0,6.0,12.6,4.0,6.0,533.8,4.0,6.0,71.9,3.0,6.0,73.7,3.0,6.0,726.9,3.0,5.0,1002.0
5.0,2.0,124.9,5.0,1.0,922.6,5.0,1.0,239.7,5.0,1.0,54.5,4.0,1.0,189.6,4.0,1.0,211.9
5.0,3.0,80.8,5.0,3.0,1474.0,5.0,2.0,574.7,5.0,2.0,115.9,4.0,2.0,453.1,4.0,2.0,578.4
5.0,4.0,77.0,5.0,4.0,1127.0,5.0,4.0,193.0,5.0,3.0,120.7,4.0,3.0,391.5,4.0,3.0,391.9
5.0,6.0,87.9,5.0,6.0,1131.0,5.0,6.0,230.5,5.0,6.0,46.1,4.0,6.0,197.5,4.0,5.0,516.2
6.0,2.0,79.2,6.0,1.0,701.4,6.0,1.0,166.2,6.0,1.0,42.5,6.0,1.0,438.8,5.0,1.0,910.9
6.0,3.0,43.0,6.0,3.0,832.9,6.0,2.0,388.5,6.0,2.0,90.8,6.0,2.0,772.1,5.0,2.0,1781.0
6.0,4.0,42.8,6.0,4.0,785.6,6.0,4.0,171.8,6.0,3.0,85.3,6.0,3.0,632.3,5.0,3.0,1179.0
6.0,5.0,103.3,6.0,5.0,1258.0,6.0,5.0,283.7,6.0,5.0,56.2,6.0,4.0,399.8,5.0,4.0,825.2
