1,向後 龍一,向後 龍一.1,2,永井 源,永井 源.1,3,福田 雅一,福田 雅一.1,4,福田 宗平,福田 宗平.1,5,宇野 博之,宇野 博之.1,6,三好 勇人,三好 勇人.1
2.0,3.0,6.7,1.0,3.0,26.4,1.0,2.0,124.5,1.0,2.0,68.1,1.0,2.0,343.5,1.0,2.0,403.2
2.0,4.0,6.1,1.0,4.0,19.7,1.0,4.0,104.0,1.0,3.0,101.5,1.0,3.0,501.6,1.0,3.0,711.3
2.0,5.0,19.0,1.0,5.0,69.7,1.0,5.0,214.3,1.0,5.0,132.5,1.0,4.0,432.8,1.0,4.0,506.7
2.0,6.0,20.0,1.0,6.0,57.9,1.0,6.0,164.3,1.0,6.0,86.1,1.0,6.0,476.7,1.0,5.0,1233.0
3.0,2.0,11.8,3.0,1.0,134.8,2.0,1.0,222.0,2.0,1.0,105.8,2.0,1.0,561.5,2.0,1.0,509.3
3.0,4.0,13.5,3.0,4.0,200.6,2.0,4.0,327.6,2.0,3.0,260.2,2.0,3.0,1207.0,2.0,3.0,1440.0
3.0,5.0,30.2,3.0,5.0,479.0,2.0,5.0,618.7,2.0,5.0,308.9,2.0,4.0,1102.0,2.0,4.0,854.4
3.0,6.0,31.6,3.0,6.0,362.5,2.0,6.0,575.4,2.0,6.0,188.1,2.0,6.0,1081.0,2.0,5.0,2281.0
4.0,2.0,11.9,4.0,1.0,78.9,4.0,1.0,220.1,3.0,1.0,213.3,3.0,1.0,922.3,3.0,1.0,1131.0
4.0,3.0,17.5,4.0,3.0,177.5,4.0,2.0,311.8,3.0,2.0,366.5,3.0,2.0,1548.0,3.0,2.0,1819.0
4.0,5.0,32.8,4.0,5.0,313.3,4.0,5.0,501.6,3.0,5.0,590.9,3.0,4.0,1862.0,3.0,4.0,1844.0
4.0,6.0,28.0,4.0,6.0,156.1,4.0,6.0,342.3,3.0,6.0,324.3,3.0,6.0,1836.0,3.0,5.0,3588.0
5.0,2.0,49.8,5.0,1.0,315.3,5.0,1.0,536.3,5.0,1.0,193.5,4.0,1.0,516.0,4.0,1.0,630.6
5.0,3.0,66.6,5.0,3.0,757.7,5.0,2.0,794.3,5.0,2.0,274.1,4.0,2.0,701.1,4.0,2.0,763.5
5.0,4.0,80.3,5.0,4.0,613.0,5.0,4.0,920.2,5.0,3.0,512.0,4.0,3.0,1394.0,4.0,3.0,1366.0
5.0,6.0,91.1,5.0,6.0,729.7,5.0,6.0,1017.0,5.0,6.0,245.9,4.0,6.0,597.2,4.0,5.0,1375.0
6.0,2.0,76.0,6.0,1.0,265.3,6.0,1.0,594.5,6.0,1.0,217.3,6.0,1.0,991.8,5.0,1.0,1672.0
6.0,3.0,104.6,6.0,3.0,627.6,6.0,2.0,989.4,6.0,2.0,278.7,6.0,2.0,1770.0,5.0,2.0,3462.0
6.0,4.0,97.7,6.0,4.0,337.1,6.0,4.0,1012.0,6.0,3.0,482.0,6.0,3.0,2580.0,5.0,3.0,3588.0
6.0,5.0,179.1,6.0,5.0,920.2,6.0,5.0,1585.0,6.0,5.0,413.8,6.0,4.0,1338.0,5.0,4.0,2099.0
