1,大澤 大夢,大澤 大夢.1,2,前沢 丈史,前沢 丈史.1,3,西村 秀樹,西村 秀樹.1,4,前田 聖文,前田 聖文.1,5,大神 康司,大神 康司.1,6,冨田 秀幸,冨田 秀幸.1
2.0,3.0,85.8,1.0,3.0,89.2,1.0,2.0,353.5,1.0,2.0,13.8,1.0,2.0,61.8,1.0,2.0,1281.0
2.0,4.0,28.1,1.0,4.0,31.2,1.0,4.0,452.3,1.0,3.0,110.8,1.0,3.0,208.1,1.0,3.0,2563.0
2.0,5.0,34.9,1.0,5.0,44.2,1.0,5.0,500.9,1.0,5.0,22.2,1.0,4.0,73.0,1.0,4.0,1373.0
2.0,6.0,137.9,1.0,6.0,96.1,1.0,6.0,651.6,1.0,6.0,57.1,1.0,6.0,221.6,1.0,5.0,2330.0
3.0,2.0,174.1,3.0,1.0,85.6,2.0,1.0,237.7,2.0,1.0,19.9,2.0,1.0,60.5,2.0,1.0,1337.0
3.0,4.0,188.9,3.0,4.0,62.3,2.0,4.0,238.4,2.0,3.0,57.8,2.0,3.0,122.9,2.0,3.0,1281.0
3.0,5.0,228.1,3.0,5.0,82.9,2.0,5.0,230.2,2.0,5.0,17.0,2.0,4.0,40.7,2.0,4.0,728.8
3.0,6.0,367.9,3.0,6.0,84.0,2.0,6.0,322.4,2.0,6.0,37.3,2.0,6.0,127.8,2.0,5.0,831.3
4.0,2.0,17.4,4.0,1.0,28.8,4.0,1.0,479.1,3.0,1.0,239.1,3.0,1.0,315.7,3.0,1.0,2521.0
4.0,3.0,107.0,4.0,3.0,53.2,4.0,2.0,332.8,3.0,2.0,156.7,3.0,2.0,209.5,3.0,2.0,1373.0
4.0,5.0,24.1,4.0,5.0,20.1,4.0,5.0,423.6,3.0,5.0,218.7,3.0,4.0,269.8,3.0,4.0,2228.0
4.0,6.0,87.9,4.0,6.0,44.9,4.0,6.0,674.5,3.0,6.0,325.8,3.0,6.0,426.0,3.0,5.0,2050.0
5.0,2.0,36.8,5.0,1.0,50.4,5.0,1.0,543.4,5.0,1.0,32.1,4.0,1.0,66.0,4.0,1.0,1349.0
5.0,3.0,147.1,5.0,3.0,89.8,5.0,2.0,366.1,5.0,2.0,17.5,4.0,2.0,38.6,4.0,2.0,683.5
5.0,4.0,44.1,5.0,4.0,31.6,5.0,4.0,407.9,5.0,3.0,86.6,4.0,3.0,182.4,4.0,3.0,1898.0
5.0,6.0,211.2,5.0,6.0,83.6,5.0,6.0,712.0,5.0,6.0,66.1,4.0,6.0,140.0,4.0,5.0,826.8
6.0,2.0,410.1,6.0,1.0,160.5,6.0,1.0,1201.0,6.0,1.0,187.7,6.0,1.0,605.4,5.0,1.0,2606.0
6.0,3.0,772.8,6.0,3.0,133.0,6.0,2.0,625.1,6.0,2.0,153.7,6.0,2.0,355.1,5.0,2.0,998.6
6.0,4.0,375.1,6.0,4.0,109.4,6.0,4.0,967.2,6.0,3.0,309.4,6.0,3.0,625.1,5.0,3.0,2746.0
6.0,5.0,535.8,6.0,5.0,137.6,6.0,5.0,1018.0,6.0,5.0,158.8,6.0,4.0,335.7,5.0,4.0,961.2
