1,三馬 崇史,三馬 崇史.1,2,高山 敬悟,高山 敬悟.1,3,中島 航,中島 航.1,4,石田 貴洋,石田 貴洋.1,5,栗原 一馬,栗原 一馬.1,6,坂井 滉哉,坂井 滉哉.1
2.0,3.0,48.1,1.0,3.0,141.9,1.0,2.0,90.4,1.0,2.0,31.1,1.0,2.0,325.1,1.0,2.0,538.9
2.0,4.0,33.0,1.0,4.0,107.2,1.0,4.0,33.2,1.0,3.0,16.9,1.0,3.0,236.0,1.0,3.0,498.9
2.0,5.0,101.9,1.0,5.0,351.1,1.0,5.0,86.4,1.0,5.0,17.4,1.0,4.0,144.1,1.0,4.0,297.3
2.0,6.0,123.2,1.0,6.0,325.1,1.0,6.0,115.9,1.0,6.0,28.9,1.0,6.0,335.9,1.0,5.0,709.7
3.0,2.0,31.0,3.0,1.0,220.0,2.0,1.0,173.4,2.0,1.0,70.5,2.0,1.0,610.8,2.0,1.0,846.9
3.0,4.0,13.0,3.0,4.0,196.0,2.0,4.0,105.5,2.0,3.0,95.9,2.0,3.0,603.5,2.0,3.0,1119.0
3.0,5.0,45.7,3.0,5.0,390.6,2.0,5.0,285.5,2.0,5.0,95.0,2.0,4.0,579.2,2.0,4.0,709.7
3.0,6.0,68.9,3.0,6.0,356.1,2.0,6.0,387.6,2.0,6.0,90.8,2.0,6.0,671.9,2.0,5.0,1439.0
4.0,2.0,21.7,4.0,1.0,157.4,4.0,1.0,37.7,3.0,1.0,28.9,3.0,1.0,421.7,3.0,1.0,695.1
4.0,3.0,11.9,4.0,3.0,194.9,4.0,2.0,82.1,3.0,2.0,72.2,3.0,2.0,641.9,3.0,2.0,1145.0
4.0,5.0,23.7,4.0,5.0,340.5,4.0,5.0,66.9,3.0,5.0,39.1,3.0,4.0,298.1,3.0,4.0,550.7
4.0,6.0,31.8,4.0,6.0,313.0,4.0,6.0,82.4,3.0,6.0,53.1,3.0,6.0,637.9,3.0,5.0,1095.0
5.0,2.0,130.8,5.0,1.0,646.0,5.0,1.0,214.4,5.0,1.0,20.8,4.0,1.0,125.5,4.0,1.0,270.2
5.0,3.0,88.3,5.0,3.0,596.3,5.0,2.0,312.0,5.0,2.0,46.7,4.0,2.0,309.1,4.0,2.0,449.9
5.0,4.0,57.0,5.0,4.0,592.8,5.0,4.0,147.5,5.0,3.0,34.9,4.0,3.0,201.1,4.0,3.0,376.0
5.0,6.0,162.8,5.0,6.0,1028.0,5.0,6.0,359.9,5.0,6.0,28.3,4.0,6.0,193.4,4.0,5.0,451.9
6.0,2.0,264.5,6.0,1.0,861.4,6.0,1.0,413.0,6.0,1.0,50.2,6.0,1.0,757.8,5.0,1.0,1039.0
6.0,3.0,169.1,6.0,3.0,1132.0,6.0,2.0,566.2,6.0,2.0,84.2,6.0,2.0,1171.0,5.0,2.0,1574.0
6.0,4.0,102.7,6.0,4.0,536.1,6.0,4.0,278.4,6.0,3.0,73.2,6.0,3.0,1072.0,5.0,3.0,1158.0
6.0,5.0,287.9,6.0,5.0,1199.0,6.0,5.0,603.5,6.0,5.0,55.3,6.0,4.0,511.6,5.0,4.0,663.0
