1,篠崎 元志,篠崎 元志.1,2,岡村 慶太,岡村 慶太.1,3,大上 卓人,大上 卓人.1,4,定松 勇樹,定松 勇樹.1,5,佐藤　隆太郎,佐藤　隆太郎.1,6,山崎 郡,山崎 郡.1
2.0,3.0,14.1,1.0,3.0,115.0,1.0,2.0,120.5,1.0,2.0,63.9,1.0,2.0,104.6,1.0,2.0,485.6
2.0,4.0,12.2,1.0,4.0,95.2,1.0,4.0,84.5,1.0,3.0,83.5,1.0,3.0,121.3,1.0,3.0,538.2
2.0,5.0,20.1,1.0,5.0,140.2,1.0,5.0,107.8,1.0,5.0,54.6,1.0,4.0,93.2,1.0,4.0,347.9
2.0,6.0,25.6,1.0,6.0,157.1,1.0,6.0,109.6,1.0,6.0,49.8,1.0,6.0,84.0,1.0,5.0,432.5
3.0,2.0,17.1,3.0,1.0,293.5,2.0,1.0,277.4,2.0,1.0,187.0,2.0,1.0,323.0,2.0,1.0,907.9
3.0,4.0,12.7,3.0,4.0,528.2,2.0,4.0,390.7,2.0,3.0,422.6,2.0,3.0,627.9,2.0,3.0,1487.0
3.0,5.0,19.3,3.0,5.0,669.6,2.0,5.0,479.2,2.0,5.0,291.1,2.0,4.0,493.1,2.0,4.0,1033.0
3.0,6.0,23.2,3.0,6.0,676.4,2.0,6.0,476.4,2.0,6.0,261.7,2.0,6.0,391.8,2.0,5.0,1383.0
4.0,2.0,15.1,4.0,1.0,256.3,4.0,1.0,151.5,3.0,1.0,208.1,3.0,1.0,330.2,3.0,1.0,929.6
4.0,3.0,17.4,4.0,3.0,558.0,4.0,2.0,313.6,3.0,2.0,393.4,3.0,2.0,672.8,3.0,2.0,1544.0
4.0,5.0,20.0,4.0,5.0,531.9,4.0,5.0,228.1,3.0,5.0,319.2,3.0,4.0,565.2,3.0,4.0,1003.0
4.0,6.0,18.2,4.0,6.0,452.1,4.0,6.0,215.3,3.0,6.0,269.1,3.0,6.0,417.8,3.0,5.0,1468.0
5.0,2.0,27.4,5.0,1.0,404.6,5.0,1.0,234.2,5.0,1.0,78.7,4.0,1.0,143.2,4.0,1.0,398.3
5.0,3.0,28.8,5.0,3.0,790.2,5.0,2.0,439.6,5.0,2.0,155.9,4.0,2.0,266.1,4.0,2.0,816.5
5.0,4.0,30.7,5.0,4.0,671.6,5.0,4.0,309.0,5.0,3.0,230.6,4.0,3.0,366.3,4.0,3.0,987.4
5.0,6.0,31.8,5.0,6.0,657.1,5.0,6.0,320.1,5.0,6.0,74.0,4.0,6.0,138.1,4.0,5.0,439.3
6.0,2.0,64.1,6.0,1.0,637.1,6.0,1.0,402.1,6.0,1.0,97.2,6.0,1.0,184.5,5.0,1.0,564.4
6.0,3.0,68.9,6.0,3.0,1213.0,6.0,2.0,700.8,6.0,2.0,200.4,6.0,2.0,342.7,5.0,2.0,997.1
6.0,4.0,53.8,6.0,4.0,839.0,6.0,4.0,468.1,6.0,3.0,270.8,6.0,3.0,421.5,5.0,3.0,1159.0
6.0,5.0,66.1,6.0,5.0,1086.0,6.0,5.0,602.4,6.0,5.0,115.1,6.0,4.0,205.2,5.0,4.0,458.7
