1,下河 雅史,下河 雅史.1,2,青木　幸太郎,青木　幸太郎.1,3,藤丸 光一,藤丸 光一.1,4,渡辺 空依,渡辺 空依.1,5,岩崎 正哉,岩崎 正哉.1,6,宮地 秀祈,宮地 秀祈.1
2.0,3.0,8.0,1.0,3.0,31.3,1.0,2.0,66.9,1.0,2.0,254.8,1.0,2.0,35.0,1.0,2.0,2014.0
2.0,4.0,25.0,1.0,4.0,75.2,1.0,4.0,129.3,1.0,3.0,377.4,1.0,3.0,42.7,1.0,3.0,2114.0
2.0,5.0,7.0,1.0,5.0,24.2,1.0,5.0,43.4,1.0,5.0,208.0,1.0,4.0,122.0,1.0,4.0,2347.0
2.0,6.0,69.8,1.0,6.0,144.9,1.0,6.0,217.2,1.0,6.0,455.3,1.0,6.0,101.3,1.0,5.0,1260.0
3.0,2.0,12.8,3.0,1.0,83.5,2.0,1.0,115.5,2.0,1.0,319.4,2.0,1.0,74.2,2.0,1.0,2047.0
3.0,4.0,36.3,3.0,4.0,218.1,2.0,4.0,315.9,2.0,3.0,718.8,2.0,3.0,105.7,2.0,3.0,2907.0
3.0,5.0,10.2,3.0,5.0,83.0,2.0,5.0,107.8,2.0,5.0,420.8,2.0,4.0,266.8,2.0,4.0,3505.0
3.0,6.0,94.5,3.0,6.0,379.1,2.0,6.0,388.8,2.0,6.0,804.6,2.0,6.0,184.0,2.0,5.0,1924.0
4.0,2.0,56.7,4.0,1.0,236.5,4.0,1.0,287.1,3.0,1.0,509.7,3.0,1.0,78.1,3.0,1.0,2484.0
4.0,3.0,80.3,4.0,3.0,416.7,4.0,2.0,438.9,3.0,2.0,780.1,3.0,2.0,110.5,3.0,2.0,3554.0
4.0,5.0,51.4,4.0,5.0,285.5,4.0,5.0,273.3,3.0,5.0,518.0,3.0,4.0,266.2,3.0,4.0,3604.0
4.0,6.0,185.5,4.0,6.0,621.1,4.0,6.0,533.1,3.0,6.0,954.8,3.0,6.0,230.7,3.0,5.0,2150.0
5.0,2.0,11.0,5.0,1.0,55.8,5.0,1.0,65.6,5.0,1.0,192.2,4.0,1.0,209.4,4.0,1.0,2391.0
5.0,3.0,13.8,5.0,3.0,86.6,5.0,2.0,97.1,5.0,2.0,290.1,4.0,2.0,322.6,4.0,2.0,3010.0
5.0,4.0,39.6,5.0,4.0,183.8,5.0,4.0,196.2,5.0,3.0,384.2,4.0,3.0,353.9,4.0,3.0,2875.0
5.0,6.0,59.8,5.0,6.0,186.3,5.0,6.0,214.4,5.0,6.0,227.0,4.0,6.0,232.6,4.0,5.0,907.4
6.0,2.0,325.1,6.0,1.0,553.8,6.0,1.0,731.1,6.0,1.0,861.5,6.0,1.0,230.5,5.0,1.0,1093.0
6.0,3.0,355.4,6.0,3.0,750.4,6.0,2.0,812.3,6.0,2.0,1163.0,6.0,2.0,311.6,5.0,2.0,1383.0
6.0,4.0,452.9,6.0,4.0,913.9,6.0,4.0,940.7,6.0,3.0,1339.0,6.0,3.0,346.2,5.0,3.0,1640.0
6.0,5.0,245.5,6.0,5.0,582.9,6.0,5.0,636.5,6.0,5.0,471.2,6.0,4.0,316.3,5.0,4.0,759.3
