1,今出 晋二,今出 晋二.1,2,富永 正人,富永 正人.1,3,藤田 竜弘,藤田 竜弘.1,4,高橋 勲,高橋 勲.1,5,小坂 尚哉,小坂 尚哉.1,6,久富 政弘,久富 政弘.1
2.0,3.0,36.1,1.0,3.0,51.1,1.0,2.0,88.1,1.0,2.0,263.8,1.0,2.0,65.0,1.0,2.0,1112.0
2.0,4.0,70.7,1.0,4.0,80.6,1.0,4.0,81.3,1.0,3.0,194.4,1.0,3.0,41.5,1.0,3.0,1201.0
2.0,5.0,26.2,1.0,5.0,44.1,1.0,5.0,33.2,1.0,5.0,98.8,1.0,4.0,79.9,1.0,4.0,1306.0
2.0,6.0,198.1,1.0,6.0,251.9,1.0,6.0,192.4,1.0,6.0,299.6,1.0,6.0,103.5,1.0,5.0,934.4
3.0,2.0,40.6,3.0,1.0,60.5,2.0,1.0,113.2,2.0,1.0,280.3,2.0,1.0,83.9,2.0,1.0,1529.0
3.0,4.0,20.9,3.0,4.0,94.6,2.0,4.0,99.9,2.0,3.0,207.3,2.0,3.0,47.3,2.0,3.0,982.1
3.0,5.0,11.7,3.0,5.0,31.2,2.0,5.0,46.8,2.0,5.0,115.7,2.0,4.0,90.0,2.0,4.0,1401.0
3.0,6.0,115.6,3.0,6.0,241.5,2.0,6.0,259.2,2.0,6.0,379.0,2.0,6.0,140.6,2.0,5.0,773.3
4.0,2.0,98.9,4.0,1.0,162.3,4.0,1.0,122.1,3.0,1.0,221.3,3.0,1.0,42.7,3.0,1.0,1234.0
4.0,3.0,75.9,4.0,3.0,133.0,4.0,2.0,115.7,3.0,2.0,180.3,3.0,2.0,42.0,3.0,2.0,961.1
4.0,5.0,60.6,4.0,5.0,91.5,4.0,5.0,44.0,3.0,5.0,67.9,3.0,4.0,36.9,3.0,4.0,947.5
4.0,6.0,186.8,4.0,6.0,333.8,4.0,6.0,169.2,3.0,6.0,267.5,3.0,6.0,65.7,3.0,5.0,420.4
5.0,2.0,36.0,5.0,1.0,65.5,5.0,1.0,32.8,5.0,1.0,100.8,4.0,1.0,102.5,4.0,1.0,1868.0
5.0,3.0,20.4,5.0,3.0,36.7,5.0,2.0,32.6,5.0,2.0,83.2,4.0,2.0,105.6,4.0,2.0,1359.0
5.0,4.0,47.1,5.0,4.0,84.9,5.0,4.0,29.1,5.0,3.0,63.6,4.0,3.0,61.7,4.0,3.0,1212.0
5.0,6.0,95.0,5.0,6.0,162.7,5.0,6.0,54.4,5.0,6.0,96.8,4.0,6.0,96.0,4.0,5.0,603.3
6.0,2.0,405.2,6.0,1.0,961.1,6.0,1.0,487.5,6.0,1.0,643.8,6.0,1.0,159.8,5.0,1.0,760.2
6.0,3.0,322.6,6.0,3.0,556.0,6.0,2.0,435.4,6.0,2.0,489.2,6.0,2.0,183.3,5.0,2.0,711.9
6.0,4.0,513.5,6.0,4.0,646.9,6.0,4.0,357.8,6.0,3.0,459.2,6.0,3.0,126.4,5.0,3.0,438.2
6.0,5.0,301.0,6.0,5.0,370.6,6.0,5.0,170.3,6.0,5.0,226.9,6.0,4.0,147.2,5.0,4.0,553.7
