1,内山 文典,内山 文典.1,2,金子 貴志,金子 貴志.1,3,田村 隆信,田村 隆信.1,4,志道 吉和,志道 吉和.1,5,眞鳥 康太,眞鳥 康太.1,6,大賀 広幸,大賀 広幸.1
2.0,3.0,9.9,1.0,3.0,20.5,1.0,2.0,12.6,1.0,2.0,512.7,1.0,2.0,438.3,1.0,2.0,625.5
2.0,4.0,49.0,1.0,4.0,76.2,1.0,4.0,26.3,1.0,3.0,369.2,1.0,3.0,260.8,1.0,3.0,260.4
2.0,5.0,44.1,1.0,5.0,65.4,1.0,5.0,20.5,1.0,5.0,643.4,1.0,4.0,785.3,1.0,4.0,1342.0
2.0,6.0,40.1,1.0,6.0,59.3,1.0,6.0,16.1,1.0,6.0,505.5,1.0,6.0,443.2,1.0,5.0,1240.0
3.0,2.0,7.6,3.0,1.0,30.1,2.0,1.0,27.0,2.0,1.0,687.7,2.0,1.0,663.0,2.0,1.0,903.7
3.0,4.0,19.7,3.0,4.0,74.9,2.0,4.0,64.5,2.0,3.0,637.7,2.0,3.0,553.3,2.0,3.0,479.2
3.0,5.0,16.2,3.0,5.0,71.8,2.0,5.0,57.6,2.0,5.0,1141.0,2.0,4.0,1410.0,2.0,4.0,1378.0
3.0,6.0,14.6,3.0,6.0,57.1,2.0,6.0,38.1,2.0,6.0,758.0,2.0,6.0,1118.0,2.0,5.0,2032.0
4.0,2.0,107.3,4.0,1.0,244.1,4.0,1.0,78.1,3.0,1.0,415.3,3.0,1.0,362.2,3.0,1.0,266.0
4.0,3.0,73.0,4.0,3.0,211.3,4.0,2.0,106.3,3.0,2.0,531.6,3.0,2.0,478.9,3.0,2.0,390.9
4.0,5.0,171.1,4.0,5.0,529.3,4.0,5.0,133.2,3.0,5.0,728.1,3.0,4.0,1020.0,3.0,4.0,903.7
4.0,6.0,137.4,4.0,6.0,362.9,4.0,6.0,92.5,3.0,6.0,484.1,3.0,6.0,511.2,3.0,5.0,1098.0
5.0,2.0,100.2,5.0,1.0,254.7,5.0,1.0,70.8,5.0,1.0,1039.0,4.0,1.0,1649.0,4.0,1.0,1725.0
5.0,3.0,62.4,5.0,3.0,209.6,5.0,2.0,100.9,5.0,2.0,1189.0,4.0,2.0,1729.0,4.0,2.0,1657.0
5.0,4.0,210.5,5.0,4.0,669.1,5.0,4.0,163.2,5.0,3.0,1001.0,4.0,3.0,1388.0,4.0,3.0,1359.0
5.0,6.0,136.1,5.0,6.0,394.6,5.0,6.0,99.4,5.0,6.0,1029.0,4.0,6.0,1839.0,4.0,5.0,2724.0
6.0,2.0,120.8,6.0,1.0,257.3,6.0,1.0,47.9,6.0,1.0,901.4,6.0,1.0,992.2,5.0,1.0,1337.0
6.0,3.0,65.5,6.0,3.0,189.3,6.0,2.0,68.0,6.0,2.0,963.0,6.0,2.0,1312.0,5.0,2.0,1595.0
6.0,4.0,241.0,6.0,4.0,509.1,6.0,4.0,130.9,6.0,3.0,885.9,6.0,3.0,910.5,5.0,3.0,1438.0
6.0,5.0,211.9,6.0,5.0,632.6,6.0,5.0,120.0,6.0,5.0,1388.0,6.0,4.0,1830.0,5.0,4.0,2625.0
