1,佐々木　完太,佐々木　完太.1,2,松本 怜,松本 怜.1,3,林 恵祐,林 恵祐.1,4,白水 勝也,白水 勝也.1,5,岸本 隆,岸本 隆.1,6,村松 修二,村松 修二.1
2.0,3.0,45.5,1.0,3.0,370.7,1.0,2.0,591.6,1.0,2.0,73.2,1.0,2.0,449.5,1.0,2.0,240.1
2.0,4.0,15.9,1.0,4.0,179.6,1.0,4.0,257.6,1.0,3.0,94.5,1.0,3.0,532.7,1.0,3.0,352.9
2.0,5.0,42.8,1.0,5.0,356.2,1.0,5.0,478.9,1.0,5.0,31.4,1.0,4.0,171.8,1.0,4.0,83.0
2.0,6.0,31.5,1.0,6.0,269.4,1.0,6.0,390.2,1.0,6.0,21.2,1.0,6.0,206.7,1.0,5.0,202.9
3.0,2.0,57.0,3.0,1.0,902.9,2.0,1.0,1042.0,2.0,1.0,183.7,2.0,1.0,834.2,2.0,1.0,627.2
3.0,4.0,19.1,3.0,4.0,1165.0,2.0,4.0,1463.0,2.0,3.0,584.2,2.0,3.0,1256.0,2.0,3.0,1453.0
3.0,5.0,53.3,3.0,5.0,1428.0,2.0,5.0,1516.0,2.0,5.0,308.5,2.0,4.0,906.8,2.0,4.0,664.2
3.0,6.0,35.4,3.0,6.0,1661.0,2.0,6.0,1655.0,2.0,6.0,207.9,2.0,6.0,950.2,2.0,5.0,1080.0
4.0,2.0,13.5,4.0,1.0,309.4,4.0,1.0,457.3,3.0,1.0,288.2,3.0,1.0,1032.0,3.0,1.0,841.0
4.0,3.0,14.6,4.0,3.0,993.2,4.0,2.0,1234.0,3.0,2.0,824.3,3.0,2.0,1533.0,3.0,2.0,1511.0
4.0,5.0,9.0,4.0,5.0,751.6,4.0,5.0,910.7,3.0,5.0,622.6,3.0,4.0,1299.0,3.0,4.0,802.2
4.0,6.0,5.4,4.0,6.0,404.6,4.0,6.0,580.9,3.0,6.0,392.0,3.0,6.0,1438.0,3.0,5.0,1533.0
5.0,2.0,61.7,5.0,1.0,747.5,5.0,1.0,1064.0,5.0,1.0,60.3,4.0,1.0,214.8,4.0,1.0,101.8
5.0,3.0,80.7,5.0,3.0,1682.0,5.0,2.0,1550.0,5.0,2.0,213.0,4.0,2.0,633.9,4.0,2.0,343.8
5.0,4.0,24.8,5.0,4.0,1165.0,5.0,4.0,1311.0,5.0,3.0,329.2,4.0,3.0,885.6,4.0,3.0,537.5
5.0,6.0,34.4,5.0,6.0,1303.0,5.0,6.0,1550.0,5.0,6.0,50.5,4.0,6.0,159.3,4.0,5.0,150.4
6.0,2.0,45.5,6.0,1.0,658.9,6.0,1.0,887.5,6.0,1.0,36.9,6.0,1.0,308.7,5.0,1.0,407.7
6.0,3.0,53.9,6.0,3.0,1568.0,6.0,2.0,1870.0,6.0,2.0,140.6,6.0,2.0,769.6,5.0,2.0,870.8
6.0,4.0,12.8,6.0,4.0,691.7,6.0,4.0,878.1,6.0,3.0,216.6,6.0,3.0,1014.0,5.0,3.0,1142.0
6.0,5.0,34.1,6.0,5.0,1275.0,6.0,5.0,1723.0,6.0,5.0,50.6,6.0,4.0,201.3,5.0,4.0,227.6
