1,福島 陽子,福島 陽子.1,2,池田 紫乃,池田 紫乃.1,3,松尾 夏海,松尾 夏海.1,4,藤田 美代,藤田 美代.1,5,魚谷 香織,魚谷 香織.1,6,井上 未都,井上 未都.1
2.0,3.0,23.5,1.0,3.0,29.4,1.0,2.0,34.1,1.0,2.0,505.8,1.0,2.0,78.6,1.0,2.0,1497.0
2.0,4.0,78.2,1.0,4.0,92.8,1.0,4.0,78.5,1.0,3.0,631.4,1.0,3.0,57.0,1.0,3.0,1894.0
2.0,5.0,27.9,1.0,5.0,27.8,1.0,5.0,19.4,1.0,5.0,479.4,1.0,4.0,214.6,1.0,4.0,1951.0
2.0,6.0,277.6,1.0,6.0,248.6,1.0,6.0,188.1,1.0,6.0,1006.0,1.0,6.0,225.7,1.0,5.0,1150.0
3.0,2.0,21.6,3.0,1.0,28.6,2.0,1.0,36.2,2.0,1.0,654.9,2.0,1.0,82.1,2.0,1.0,1623.0
3.0,4.0,57.2,3.0,4.0,48.4,2.0,4.0,56.1,2.0,3.0,397.5,2.0,3.0,33.4,2.0,3.0,1420.0
3.0,5.0,18.0,3.0,5.0,11.2,2.0,5.0,12.6,2.0,5.0,338.9,2.0,4.0,152.8,2.0,4.0,1951.0
3.0,6.0,178.2,3.0,6.0,107.5,2.0,6.0,112.4,2.0,6.0,1215.0,2.0,6.0,180.4,2.0,5.0,851.1
4.0,2.0,152.6,4.0,1.0,194.3,4.0,1.0,158.3,3.0,1.0,580.2,3.0,1.0,51.9,3.0,1.0,1805.0
4.0,3.0,127.7,4.0,3.0,122.2,4.0,2.0,121.7,3.0,2.0,387.9,3.0,2.0,31.0,3.0,2.0,1570.0
4.0,5.0,158.6,4.0,5.0,110.7,4.0,5.0,77.6,3.0,5.0,270.6,3.0,4.0,119.7,3.0,4.0,2033.0
4.0,6.0,479.4,4.0,6.0,437.1,4.0,6.0,342.5,3.0,6.0,1215.0,3.0,6.0,142.2,3.0,5.0,902.9
5.0,2.0,44.6,5.0,1.0,40.6,5.0,1.0,25.2,5.0,1.0,468.9,4.0,1.0,378.8,4.0,1.0,2327.0
5.0,3.0,33.3,5.0,3.0,17.4,5.0,2.0,15.3,5.0,2.0,332.5,4.0,2.0,296.8,4.0,2.0,2445.0
5.0,4.0,128.6,5.0,4.0,77.5,5.0,4.0,46.7,5.0,3.0,289.6,4.0,3.0,250.2,4.0,3.0,2415.0
5.0,6.0,227.3,5.0,6.0,108.3,5.0,6.0,73.9,5.0,6.0,847.4,4.0,6.0,668.5,4.0,5.0,1913.0
6.0,2.0,619.3,6.0,1.0,611.4,6.0,1.0,509.8,6.0,1.0,1913.0,6.0,1.0,507.1,5.0,1.0,1136.0
6.0,3.0,396.7,6.0,3.0,393.5,6.0,2.0,371.5,6.0,2.0,1822.0,6.0,2.0,323.1,5.0,2.0,836.4
6.0,4.0,907.1,6.0,4.0,798.4,6.0,4.0,666.2,6.0,3.0,1521.0,6.0,3.0,278.4,5.0,3.0,840.0
6.0,5.0,470.1,6.0,5.0,335.4,6.0,5.0,228.6,6.0,5.0,1441.0,6.0,4.0,782.2,5.0,4.0,1610.0
