1,小林 文彦,小林 文彦.1,2,大町 利克,大町 利克.1,3,表 健太,表 健太.1,4,仲谷 颯仁,仲谷 颯仁.1,5,萩原 秀人,萩原 秀人.1,6,佐竹 太一,佐竹 太一.1
2.0,3.0,109.6,1.0,3.0,523.3,1.0,2.0,593.8,1.0,2.0,47.1,1.0,2.0,136.6,1.0,2.0,1085.0
2.0,4.0,31.4,1.0,4.0,297.7,1.0,4.0,322.8,1.0,3.0,84.6,1.0,3.0,213.6,1.0,3.0,1658.0
2.0,5.0,47.7,1.0,5.0,447.6,1.0,5.0,356.1,1.0,5.0,9.1,1.0,4.0,31.9,1.0,4.0,357.3
2.0,6.0,136.7,1.0,6.0,764.7,1.0,6.0,651.7,1.0,6.0,25.4,1.0,6.0,64.6,1.0,5.0,424.6
3.0,2.0,144.6,3.0,1.0,1057.0,2.0,1.0,996.4,2.0,1.0,122.7,2.0,1.0,318.8,2.0,1.0,2072.0
3.0,4.0,57.4,3.0,4.0,1026.0,2.0,4.0,764.7,2.0,3.0,458.5,2.0,3.0,773.3,2.0,3.0,2878.0
3.0,5.0,82.7,3.0,5.0,1090.0,2.0,5.0,773.3,2.0,5.0,122.9,2.0,4.0,294.3,2.0,4.0,2093.0
3.0,6.0,210.4,3.0,6.0,1834.0,2.0,6.0,1145.0,2.0,6.0,251.2,2.0,6.0,406.3,2.0,5.0,1867.0
4.0,2.0,17.9,4.0,1.0,375.4,4.0,1.0,347.7,3.0,1.0,249.4,3.0,1.0,488.8,3.0,1.0,2527.0
4.0,3.0,32.5,4.0,3.0,917.0,4.0,2.0,756.3,3.0,2.0,624.2,3.0,2.0,806.4,3.0,2.0,3093.0
4.0,5.0,6.2,4.0,5.0,427.3,4.0,5.0,281.2,3.0,5.0,219.5,3.0,4.0,440.0,3.0,4.0,2382.0
4.0,6.0,19.3,4.0,6.0,800.2,4.0,6.0,590.4,3.0,6.0,384.5,3.0,6.0,664.2,3.0,5.0,2136.0
5.0,2.0,46.8,5.0,1.0,712.2,5.0,1.0,557.1,5.0,1.0,9.5,4.0,1.0,24.0,4.0,1.0,374.1
5.0,3.0,73.5,5.0,3.0,1036.0,5.0,2.0,806.4,5.0,2.0,55.6,4.0,2.0,108.3,4.0,2.0,1409.0
5.0,4.0,13.2,5.0,4.0,624.2,5.0,4.0,441.9,5.0,3.0,90.5,4.0,3.0,184.3,4.0,3.0,1354.0
5.0,6.0,36.8,5.0,6.0,959.5,5.0,6.0,717.1,5.0,6.0,12.4,4.0,6.0,29.7,4.0,5.0,191.1
6.0,2.0,285.8,6.0,1.0,1992.0,6.0,1.0,1919.0,6.0,1.0,60.5,6.0,1.0,120.9,5.0,1.0,433.5
6.0,3.0,350.6,6.0,3.0,3397.0,6.0,2.0,1818.0,6.0,2.0,195.8,6.0,2.0,368.1,5.0,2.0,1052.0
6.0,4.0,91.2,6.0,4.0,1619.0,6.0,4.0,1712.0,6.0,3.0,305.2,6.0,3.0,536.9,5.0,3.0,1419.0
6.0,5.0,83.0,6.0,5.0,1741.0,6.0,5.0,977.6,6.0,5.0,41.8,6.0,4.0,84.8,5.0,4.0,195.7
