1,仲本 舜,仲本 舜.1,2,胡本 悟志,胡本 悟志.1,3,小林 基樹,小林 基樹.1,4,西原 明生,西原 明生.1,5,杉山 太陽,杉山 太陽.1,6,粟田 祥,粟田 祥.1
2.0,3.0,12.0,1.0,3.0,20.7,1.0,2.0,31.5,1.0,2.0,81.0,1.0,2.0,131.2,1.0,2.0,641.5
2.0,4.0,23.0,1.0,4.0,36.9,1.0,4.0,43.4,1.0,3.0,106.9,1.0,3.0,150.7,1.0,3.0,782.5
2.0,5.0,45.4,1.0,5.0,72.0,1.0,5.0,67.1,1.0,5.0,107.4,1.0,4.0,171.5,1.0,4.0,1017.0
2.0,6.0,76.0,1.0,6.0,116.7,1.0,6.0,129.5,1.0,6.0,128.1,1.0,6.0,179.5,1.0,5.0,1070.0
3.0,2.0,13.2,3.0,1.0,30.4,2.0,1.0,37.6,2.0,1.0,87.3,2.0,1.0,170.3,2.0,1.0,786.8
3.0,4.0,20.4,3.0,4.0,25.9,2.0,4.0,31.7,2.0,3.0,71.4,2.0,3.0,153.6,2.0,3.0,730.3
3.0,5.0,38.9,3.0,5.0,54.4,2.0,5.0,63.1,2.0,5.0,99.5,2.0,4.0,167.5,2.0,4.0,590.9
3.0,6.0,70.5,3.0,6.0,91.8,2.0,6.0,100.7,2.0,6.0,122.1,2.0,6.0,217.7,2.0,5.0,800.1
4.0,2.0,40.7,4.0,1.0,61.2,4.0,1.0,68.4,3.0,1.0,132.8,3.0,1.0,209.1,3.0,1.0,989.0
4.0,3.0,44.5,4.0,3.0,37.8,4.0,2.0,46.3,3.0,2.0,85.0,3.0,2.0,163.8,3.0,2.0,734.1
4.0,5.0,80.7,4.0,5.0,86.2,4.0,5.0,72.1,3.0,5.0,115.6,3.0,4.0,178.6,3.0,4.0,795.6
4.0,6.0,102.6,4.0,6.0,109.4,4.0,6.0,101.4,3.0,6.0,186.9,3.0,6.0,300.4,3.0,5.0,1130.0
5.0,2.0,70.9,5.0,1.0,136.5,5.0,1.0,136.9,5.0,1.0,116.2,4.0,1.0,176.9,4.0,1.0,890.1
5.0,3.0,78.7,5.0,3.0,105.6,5.0,2.0,104.8,5.0,2.0,93.7,4.0,2.0,137.0,4.0,2.0,638.6
5.0,4.0,112.5,5.0,4.0,132.4,5.0,4.0,111.1,5.0,3.0,106.0,4.0,3.0,170.5,4.0,3.0,901.4
5.0,6.0,170.3,5.0,6.0,251.6,5.0,6.0,209.7,5.0,6.0,87.2,4.0,6.0,155.3,4.0,5.0,487.7
6.0,2.0,196.4,6.0,1.0,263.7,6.0,1.0,331.2,6.0,1.0,193.5,6.0,1.0,260.3,5.0,1.0,1139.0
6.0,3.0,242.2,6.0,3.0,269.7,6.0,2.0,214.1,6.0,2.0,170.5,6.0,2.0,263.7,5.0,2.0,741.7
6.0,4.0,295.4,6.0,4.0,344.0,6.0,4.0,272.3,6.0,3.0,244.2,6.0,3.0,357.8,5.0,3.0,1062.0
6.0,5.0,319.3,6.0,5.0,434.2,6.0,5.0,339.9,6.0,5.0,144.1,6.0,4.0,239.7,5.0,4.0,512.3
