1,大塚 雅治,大塚 雅治.1,2,田中 宏樹,田中 宏樹.1,3,奥田 誠,奥田 誠.1,4,長尾　京志郎,長尾　京志郎.1,5,伊藤 紘章,伊藤 紘章.1,6,菊地 敬介,菊地 敬介.1
2.0,3.0,12.9,1.0,3.0,17.4,1.0,2.0,46.1,1.0,2.0,93.0,1.0,2.0,325.8,1.0,2.0,414.5
2.0,4.0,21.1,1.0,4.0,21.8,1.0,4.0,58.6,1.0,3.0,118.6,1.0,3.0,376.3,1.0,3.0,478.4
2.0,5.0,56.8,1.0,5.0,65.5,1.0,5.0,150.6,1.0,5.0,148.4,1.0,4.0,440.9,1.0,4.0,535.3
2.0,6.0,37.0,1.0,6.0,32.1,1.0,6.0,126.1,1.0,6.0,160.6,1.0,6.0,473.4,1.0,5.0,977.6
3.0,2.0,14.6,3.0,1.0,29.0,2.0,1.0,62.6,2.0,1.0,75.2,2.0,1.0,356.9,2.0,1.0,401.5
3.0,4.0,24.8,3.0,4.0,29.1,2.0,4.0,63.5,2.0,3.0,75.2,2.0,3.0,365.6,2.0,3.0,374.7
3.0,5.0,58.2,3.0,5.0,72.5,2.0,5.0,159.1,2.0,5.0,66.2,2.0,4.0,269.3,2.0,4.0,347.2
3.0,6.0,48.1,3.0,6.0,52.1,2.0,6.0,147.6,2.0,6.0,63.7,2.0,6.0,278.4,2.0,5.0,576.5
4.0,2.0,37.5,4.0,1.0,31.8,4.0,1.0,93.4,3.0,1.0,152.7,3.0,1.0,620.3,3.0,1.0,651.7
4.0,3.0,43.0,4.0,3.0,31.7,4.0,2.0,87.8,3.0,2.0,123.2,3.0,2.0,671.2,3.0,2.0,642.4
4.0,5.0,89.0,4.0,5.0,30.0,4.0,5.0,208.2,3.0,5.0,274.2,3.0,4.0,848.5,3.0,4.0,637.9
4.0,6.0,77.4,4.0,6.0,27.4,4.0,6.0,199.8,3.0,6.0,240.4,3.0,6.0,743.3,3.0,5.0,1124.0
5.0,2.0,141.2,5.0,1.0,84.6,5.0,1.0,301.8,5.0,1.0,190.9,4.0,1.0,436.6,4.0,1.0,719.5
5.0,3.0,139.4,5.0,3.0,95.2,5.0,2.0,305.9,5.0,2.0,115.4,4.0,2.0,315.6,4.0,2.0,445.2
5.0,4.0,173.9,5.0,4.0,46.1,5.0,4.0,343.3,5.0,3.0,228.2,4.0,3.0,508.1,4.0,3.0,671.2
5.0,6.0,234.2,5.0,6.0,57.5,5.0,6.0,502.4,5.0,6.0,123.5,4.0,6.0,281.9,4.0,5.0,755.8
6.0,2.0,91.0,6.0,1.0,75.5,6.0,1.0,304.9,6.0,1.0,294.9,6.0,1.0,666.2,5.0,1.0,1183.0
6.0,3.0,105.0,6.0,3.0,79.9,6.0,2.0,358.3,6.0,2.0,168.7,6.0,2.0,541.8,5.0,2.0,725.3
6.0,4.0,105.5,6.0,4.0,58.9,6.0,4.0,365.6,6.0,3.0,312.3,6.0,3.0,697.2,5.0,3.0,927.2
6.0,5.0,327.0,6.0,5.0,85.2,6.0,5.0,749.5,6.0,5.0,239.8,6.0,4.0,470.9,5.0,4.0,691.8
