1,松田 竜馬,松田 竜馬.1,2,岩崎 正哉,岩崎 正哉.1,3,室田 泰史,室田 泰史.1,4,嘉手苅　徹哉,嘉手苅　徹哉.1,5,鈴木 峻佑,鈴木 峻佑.1,6,川原 正明,川原 正明.1
2.0,3.0,4.6,1.0,3.0,20.9,1.0,2.0,33.2,1.0,2.0,711.3,1.0,2.0,313.6,1.0,2.0,76.6
2.0,4.0,61.9,1.0,4.0,156.9,1.0,4.0,188.3,1.0,3.0,930.3,1.0,3.0,339.2,1.0,3.0,84.1
2.0,5.0,18.7,1.0,5.0,63.8,1.0,5.0,68.7,1.0,5.0,1087.0,1.0,4.0,1055.0,1.0,4.0,592.1
2.0,6.0,8.7,1.0,6.0,32.8,1.0,6.0,37.6,1.0,6.0,755.3,1.0,6.0,338.9,1.0,5.0,282.3
3.0,2.0,6.4,3.0,1.0,46.0,2.0,1.0,58.0,2.0,1.0,1091.0,2.0,1.0,465.7,2.0,1.0,128.3
3.0,4.0,65.5,3.0,4.0,370.9,2.0,4.0,401.2,2.0,3.0,1803.0,2.0,3.0,750.5,2.0,3.0,171.6
3.0,5.0,20.3,3.0,5.0,165.4,2.0,5.0,176.3,2.0,5.0,2091.0,2.0,4.0,2295.0,2.0,4.0,1007.0
3.0,6.0,10.5,3.0,6.0,75.0,2.0,6.0,77.3,2.0,6.0,1391.0,2.0,6.0,651.0,2.0,5.0,473.8
4.0,2.0,176.1,4.0,1.0,847.7,4.0,1.0,660.7,3.0,1.0,1349.0,3.0,1.0,516.8,3.0,1.0,147.1
4.0,3.0,218.8,4.0,3.0,1077.0,4.0,2.0,824.0,3.0,2.0,1890.0,3.0,2.0,780.4,3.0,2.0,174.0
4.0,5.0,287.4,4.0,5.0,1386.0,4.0,5.0,805.2,3.0,5.0,1636.0,3.0,4.0,1691.0,3.0,4.0,1039.0
4.0,6.0,240.0,4.0,6.0,937.7,4.0,6.0,558.4,3.0,6.0,1290.0,3.0,6.0,727.4,3.0,5.0,458.5
5.0,2.0,55.2,5.0,1.0,281.9,5.0,1.0,212.0,5.0,1.0,1599.0,4.0,1.0,2310.0,4.0,1.0,1629.0
5.0,3.0,66.1,5.0,3.0,390.2,5.0,2.0,310.3,5.0,2.0,2142.0,4.0,2.0,3128.0,4.0,2.0,2020.0
5.0,4.0,316.4,5.0,4.0,1267.0,5.0,4.0,868.6,5.0,3.0,2805.0,4.0,3.0,3156.0,4.0,3.0,2388.0
5.0,6.0,78.2,5.0,6.0,405.4,5.0,6.0,249.1,5.0,6.0,1841.0,4.0,6.0,2543.0,4.0,5.0,2828.0
6.0,2.0,23.0,6.0,1.0,91.3,6.0,1.0,86.4,6.0,1.0,1122.0,6.0,1.0,543.0,5.0,1.0,608.4
6.0,3.0,26.3,6.0,3.0,117.6,6.0,2.0,110.3,6.0,2.0,1592.0,6.0,2.0,647.4,5.0,2.0,738.0
6.0,4.0,201.7,6.0,4.0,775.2,6.0,4.0,562.0,6.0,3.0,2079.0,6.0,3.0,771.8,5.0,3.0,825.9
6.0,5.0,81.4,6.0,5.0,344.9,6.0,5.0,216.8,6.0,5.0,2067.0,6.0,4.0,1803.0,5.0,4.0,2091.0
