1,竹井 貴史,竹井 貴史.1,2,谷村 啓司,谷村 啓司.1,3,溝口　海義也,溝口　海義也.1,4,桑原 啓,桑原 啓.1,5,安部 慎一,安部 慎一.1,6,水摩 敦,水摩 敦.1
2.0,3.0,18.2,1.0,3.0,183.3,1.0,2.0,40.6,1.0,2.0,520.6,1.0,2.0,861.7,1.0,2.0,540.0
2.0,4.0,39.0,1.0,4.0,283.0,1.0,4.0,17.6,1.0,3.0,260.9,1.0,3.0,283.0,1.0,3.0,199.0
2.0,5.0,69.5,1.0,5.0,375.8,1.0,5.0,22.3,1.0,5.0,494.6,1.0,4.0,928.5,1.0,4.0,714.5
2.0,6.0,68.2,1.0,6.0,640.7,1.0,6.0,20.1,1.0,6.0,406.6,1.0,6.0,536.7,1.0,5.0,732.6
3.0,2.0,8.2,3.0,1.0,267.9,2.0,1.0,207.5,2.0,1.0,1361.0,2.0,1.0,1837.0,2.0,1.0,1340.0
3.0,4.0,4.6,3.0,4.0,410.9,2.0,4.0,436.2,2.0,3.0,1762.0,2.0,3.0,1645.0,2.0,3.0,1340.0
3.0,5.0,8.0,3.0,5.0,466.1,2.0,5.0,397.7,2.0,5.0,2240.0,2.0,4.0,2104.0,2.0,4.0,2240.0
3.0,6.0,6.2,3.0,6.0,1235.0,2.0,6.0,365.1,2.0,6.0,1638.0,2.0,6.0,2445.0,2.0,5.0,3507.0
4.0,2.0,44.4,4.0,1.0,1146.0,4.0,1.0,80.8,3.0,1.0,335.8,3.0,1.0,339.1,3.0,1.0,252.1
4.0,3.0,18.6,4.0,3.0,1157.0,4.0,2.0,294.0,3.0,2.0,1081.0,3.0,2.0,1378.0,3.0,2.0,1281.0
4.0,5.0,52.1,4.0,5.0,2611.0,4.0,5.0,170.0,3.0,5.0,764.9,3.0,4.0,1214.0,3.0,4.0,1061.0
4.0,6.0,52.0,4.0,6.0,1661.0,4.0,6.0,143.8,3.0,6.0,599.7,3.0,6.0,724.9,3.0,5.0,1109.0
5.0,2.0,115.1,5.0,1.0,1818.0,5.0,1.0,92.4,5.0,1.0,870.3,4.0,1.0,1529.0,4.0,1.0,1516.0
5.0,3.0,34.2,5.0,3.0,1394.0,5.0,2.0,448.0,5.0,2.0,2184.0,4.0,2.0,2713.0,4.0,2.0,2362.0
5.0,4.0,80.6,5.0,4.0,4085.0,5.0,4.0,245.0,5.0,3.0,1015.0,4.0,3.0,1173.0,4.0,3.0,1116.0
5.0,6.0,70.7,5.0,6.0,2428.0,5.0,6.0,166.3,5.0,6.0,1346.0,4.0,6.0,1745.0,4.0,5.0,2734.0
6.0,2.0,115.5,6.0,1.0,1490.0,6.0,1.0,79.8,6.0,1.0,851.1,6.0,1.0,780.3,5.0,1.0,1116.0
6.0,3.0,29.3,6.0,3.0,2254.0,6.0,2.0,338.4,6.0,2.0,1607.0,6.0,2.0,2611.0,5.0,2.0,3156.0
6.0,4.0,95.9,6.0,4.0,2942.0,6.0,4.0,206.3,6.0,3.0,1012.0,6.0,3.0,899.6,5.0,3.0,943.6
6.0,5.0,129.0,6.0,5.0,3185.0,6.0,5.0,195.5,6.0,5.0,1622.0,6.0,4.0,2054.0,5.0,4.0,2734.0
