1,星 栄爾,星 栄爾.1,2,杉山 勝匡,杉山 勝匡.1,3,岡 暢祐,岡 暢祐.1,4,小林 礼央,小林 礼央.1,5,飯山 晃三,飯山 晃三.1,6,土井 祥伍,土井 祥伍.1
2.0,3.0,8.7,1.0,3.0,34.3,1.0,2.0,102.0,1.0,2.0,859.4,1.0,2.0,55.1,1.0,2.0,84.9
2.0,4.0,83.6,1.0,4.0,188.5,1.0,4.0,599.5,1.0,3.0,1183.0,1.0,3.0,108.5,1.0,3.0,215.6
2.0,5.0,8.2,1.0,5.0,27.1,1.0,5.0,133.5,1.0,5.0,1284.0,1.0,4.0,319.6,1.0,4.0,534.3
2.0,6.0,7.4,1.0,6.0,24.7,1.0,6.0,140.0,1.0,6.0,1141.0,1.0,6.0,55.9,1.0,5.0,127.2
3.0,2.0,17.6,3.0,1.0,75.8,2.0,1.0,116.0,2.0,1.0,965.9,2.0,1.0,87.9,2.0,1.0,122.3
3.0,4.0,147.3,3.0,4.0,397.2,2.0,4.0,655.1,2.0,3.0,1269.0,2.0,3.0,150.7,2.0,3.0,357.0
3.0,5.0,24.3,3.0,5.0,95.2,2.0,5.0,172.4,2.0,5.0,1306.0,2.0,4.0,436.3,2.0,4.0,865.9
3.0,6.0,26.0,3.0,6.0,100.2,2.0,6.0,173.5,2.0,6.0,1177.0,2.0,6.0,102.1,2.0,5.0,198.0
4.0,2.0,226.0,4.0,1.0,713.0,4.0,1.0,986.9,3.0,1.0,1386.0,3.0,1.0,203.4,3.0,1.0,452.0
4.0,3.0,319.2,4.0,3.0,949.6,4.0,2.0,1329.0,3.0,2.0,1637.0,3.0,2.0,233.9,3.0,2.0,496.7
4.0,5.0,345.5,4.0,5.0,774.0,4.0,5.0,1298.0,3.0,5.0,1883.0,3.0,4.0,869.3,3.0,4.0,1752.0
4.0,6.0,277.6,4.0,6.0,662.8,4.0,6.0,1448.0,3.0,6.0,2330.0,3.0,6.0,298.9,3.0,5.0,774.0
5.0,2.0,14.7,5.0,1.0,59.4,5.0,1.0,203.9,5.0,1.0,1765.0,4.0,1.0,607.5,4.0,1.0,1124.0
5.0,3.0,32.9,5.0,3.0,95.0,5.0,2.0,246.4,5.0,2.0,1329.0,4.0,2.0,590.1,4.0,2.0,1337.0
5.0,4.0,186.4,5.0,4.0,395.1,5.0,4.0,961.7,5.0,3.0,2215.0,4.0,3.0,830.9,4.0,3.0,2260.0
5.0,6.0,20.2,5.0,6.0,68.6,5.0,6.0,286.1,5.0,6.0,1421.0,4.0,6.0,494.5,4.0,5.0,1228.0
6.0,2.0,17.3,6.0,1.0,74.8,6.0,1.0,286.8,6.0,1.0,1558.0,6.0,1.0,74.1,5.0,1.0,136.1
6.0,3.0,38.8,6.0,3.0,162.3,6.0,2.0,353.7,6.0,2.0,1822.0,6.0,2.0,87.8,5.0,2.0,163.6
6.0,4.0,170.1,6.0,4.0,517.2,6.0,4.0,1255.0,6.0,3.0,2430.0,6.0,3.0,204.7,5.0,3.0,478.8
6.0,5.0,29.3,6.0,5.0,104.9,6.0,5.0,432.1,6.0,5.0,1486.0,6.0,4.0,260.3,5.0,4.0,525.6
