1,藤丸 光一,藤丸 光一.1,2,渡邊 哲也,渡邊 哲也.1,3,川口 貴久,川口 貴久.1,4,青木　幸太郎,青木　幸太郎.1,5,大西 隆洋,大西 隆洋.1,6,嶋田 貴支,嶋田 貴支.1
2.0,3.0,29.7,1.0,3.0,120.9,1.0,2.0,78.8,1.0,2.0,60.0,1.0,2.0,185.9,1.0,2.0,758.6
2.0,4.0,31.5,1.0,4.0,134.5,1.0,4.0,21.9,1.0,3.0,24.6,1.0,3.0,197.1,1.0,3.0,633.0
2.0,5.0,60.9,1.0,5.0,194.9,1.0,5.0,51.0,1.0,5.0,31.2,1.0,4.0,135.7,1.0,4.0,446.7
2.0,6.0,108.8,1.0,6.0,297.8,1.0,6.0,51.2,1.0,6.0,31.8,1.0,6.0,165.4,1.0,5.0,826.4
3.0,2.0,22.1,3.0,1.0,216.6,2.0,1.0,179.6,2.0,1.0,146.6,2.0,1.0,315.4,2.0,1.0,1074.0
3.0,4.0,9.7,3.0,4.0,362.5,2.0,4.0,230.1,2.0,3.0,203.1,2.0,3.0,701.1,2.0,3.0,1533.0
3.0,5.0,25.4,3.0,5.0,414.4,2.0,5.0,317.2,2.0,5.0,201.1,2.0,4.0,537.0,2.0,4.0,1478.0
3.0,6.0,33.2,3.0,6.0,631.6,2.0,6.0,354.0,2.0,6.0,215.7,2.0,6.0,586.4,2.0,5.0,1707.0
4.0,2.0,25.4,4.0,1.0,199.4,4.0,1.0,29.4,3.0,1.0,31.5,3.0,1.0,256.7,3.0,1.0,733.4
4.0,3.0,12.3,4.0,3.0,370.0,4.0,2.0,107.1,3.0,2.0,109.0,3.0,2.0,553.6,3.0,2.0,1372.0
4.0,5.0,24.9,4.0,5.0,486.0,4.0,5.0,51.0,3.0,5.0,52.5,3.0,4.0,278.4,3.0,4.0,487.7
4.0,6.0,25.6,4.0,6.0,538.0,4.0,6.0,45.3,3.0,6.0,39.8,3.0,6.0,380.3,3.0,5.0,1142.0
5.0,2.0,91.6,5.0,1.0,356.6,5.0,1.0,123.0,5.0,1.0,34.2,4.0,1.0,104.5,4.0,1.0,481.9
5.0,3.0,69.9,5.0,3.0,516.7,5.0,2.0,272.3,5.0,2.0,81.8,4.0,2.0,205.1,4.0,2.0,1082.0
5.0,4.0,71.6,5.0,4.0,591.3,5.0,4.0,123.8,5.0,3.0,67.4,4.0,3.0,186.5,4.0,3.0,489.3
5.0,6.0,109.7,5.0,6.0,775.0,5.0,6.0,205.1,5.0,6.0,40.0,4.0,6.0,120.0,4.0,5.0,758.6
6.0,2.0,215.1,6.0,1.0,666.9,6.0,1.0,195.0,6.0,1.0,64.5,6.0,1.0,357.1,5.0,1.0,896.2
6.0,3.0,129.7,6.0,3.0,975.4,6.0,2.0,580.5,6.0,2.0,203.9,6.0,2.0,663.8,5.0,2.0,1584.0
6.0,4.0,112.2,6.0,4.0,890.6,6.0,4.0,178.5,6.0,3.0,101.0,6.0,3.0,733.4,5.0,3.0,1378.0
6.0,5.0,193.1,6.0,5.0,1138.0,6.0,5.0,358.4,6.0,5.0,90.5,6.0,4.0,383.4,5.0,4.0,975.4
