1,喜多　那由夏,喜多　那由夏.1,2,魚谷 香織,魚谷 香織.1,3,井上 未都,井上 未都.1,4,松本 晶恵,松本 晶恵.1,5,淺田　千亜希,淺田　千亜希.1,6,宇野 弥生,宇野 弥生.1
2.0,3.0,62.9,1.0,3.0,52.5,1.0,2.0,300.7,1.0,2.0,68.8,1.0,2.0,88.0,1.0,2.0,282.8
2.0,4.0,21.8,1.0,4.0,15.9,1.0,4.0,399.0,1.0,3.0,336.4,1.0,3.0,362.1,1.0,3.0,1037.0
2.0,5.0,29.8,1.0,5.0,21.4,1.0,5.0,471.3,1.0,5.0,88.1,1.0,4.0,126.9,1.0,4.0,440.3
2.0,6.0,46.7,1.0,6.0,32.2,1.0,6.0,673.9,1.0,6.0,125.1,1.0,6.0,158.0,1.0,5.0,499.0
3.0,2.0,118.6,3.0,1.0,118.6,2.0,1.0,331.4,2.0,1.0,62.5,2.0,1.0,91.6,2.0,1.0,260.6
3.0,4.0,158.9,3.0,4.0,99.4,2.0,4.0,229.9,2.0,3.0,161.4,2.0,3.0,229.2,2.0,3.0,514.7
3.0,5.0,194.4,3.0,5.0,114.6,2.0,5.0,298.3,2.0,5.0,31.0,2.0,4.0,50.6,2.0,4.0,129.5
3.0,6.0,266.8,3.0,6.0,142.3,2.0,6.0,399.0,2.0,6.0,40.5,2.0,6.0,56.7,2.0,5.0,152.4
4.0,2.0,36.7,4.0,1.0,28.0,4.0,1.0,576.4,3.0,1.0,569.7,3.0,1.0,562.5,3.0,1.0,1468.0
4.0,3.0,138.2,4.0,3.0,73.0,4.0,2.0,299.1,3.0,2.0,337.2,3.0,2.0,359.1,3.0,2.0,875.5
4.0,5.0,55.6,4.0,5.0,15.4,4.0,5.0,393.0,3.0,5.0,374.3,3.0,4.0,499.0,3.0,4.0,1281.0
4.0,6.0,78.4,4.0,6.0,17.3,4.0,6.0,508.7,3.0,6.0,532.6,3.0,6.0,554.0,3.0,5.0,1142.0
5.0,2.0,60.7,5.0,1.0,42.1,5.0,1.0,587.9,5.0,1.0,69.5,4.0,1.0,122.3,4.0,1.0,432.1
5.0,3.0,195.8,5.0,3.0,109.4,5.0,2.0,357.9,5.0,2.0,30.4,4.0,2.0,50.6,4.0,2.0,171.4
5.0,4.0,87.8,5.0,4.0,23.9,5.0,4.0,488.0,5.0,3.0,163.1,4.0,3.0,266.6,4.0,3.0,891.3
5.0,6.0,121.2,5.0,6.0,30.4,5.0,6.0,599.0,5.0,6.0,32.0,4.0,6.0,54.5,4.0,5.0,163.1
6.0,2.0,151.8,6.0,1.0,79.9,6.0,1.0,1062.0,6.0,1.0,151.1,6.0,1.0,150.0,5.0,1.0,384.7
6.0,3.0,392.3,6.0,3.0,173.2,6.0,2.0,665.8,6.0,2.0,66.2,6.0,2.0,66.2,5.0,2.0,183.3
6.0,4.0,189.5,6.0,4.0,43.0,6.0,4.0,863.5,6.0,3.0,345.1,6.0,3.0,323.9,5.0,3.0,659.8
6.0,5.0,233.4,6.0,5.0,55.7,6.0,5.0,956.9,6.0,5.0,63.8,6.0,4.0,71.1,5.0,4.0,184.6
