1,黒野 元基,黒野 元基.1,2,藤田 竜弘,藤田 竜弘.1,3,北川 敏弘,北川 敏弘.1,4,小林 文彦,小林 文彦.1,5,土性 雅也,土性 雅也.1,6,阪本 勇介,阪本 勇介.1
2.0,3.0,6.5,1.0,3.0,59.5,1.0,2.0,146.5,1.0,2.0,85.9,1.0,2.0,552.3,1.0,2.0,167.7
2.0,4.0,5.2,1.0,4.0,40.3,1.0,4.0,143.9,1.0,3.0,204.1,1.0,3.0,979.3,1.0,3.0,244.4
2.0,5.0,18.8,1.0,5.0,113.0,1.0,5.0,345.0,1.0,5.0,174.7,1.0,4.0,625.1,1.0,4.0,214.1
2.0,6.0,18.7,1.0,6.0,106.6,1.0,6.0,271.9,1.0,6.0,146.6,1.0,6.0,705.2,1.0,5.0,354.4
3.0,2.0,10.9,3.0,1.0,183.7,2.0,1.0,271.4,2.0,1.0,157.7,2.0,1.0,841.6,2.0,1.0,279.5
3.0,4.0,11.8,3.0,4.0,334.6,2.0,4.0,523.9,2.0,3.0,556.8,2.0,3.0,1907.0,2.0,3.0,600.0
3.0,5.0,34.9,3.0,5.0,633.4,2.0,5.0,961.6,2.0,5.0,568.7,2.0,4.0,1478.0,2.0,4.0,471.3
3.0,6.0,23.7,3.0,6.0,572.8,2.0,6.0,792.8,2.0,6.0,433.3,2.0,6.0,1270.0,2.0,5.0,743.6
4.0,2.0,9.2,4.0,1.0,108.6,4.0,1.0,391.8,3.0,1.0,464.0,3.0,1.0,1534.0,3.0,1.0,582.5
4.0,3.0,14.1,4.0,3.0,298.1,4.0,2.0,609.2,3.0,2.0,771.1,3.0,2.0,2147.0,3.0,2.0,1105.0
4.0,5.0,29.6,4.0,5.0,395.4,4.0,5.0,999.7,3.0,5.0,1308.0,3.0,4.0,2720.0,3.0,4.0,913.8
4.0,6.0,20.3,4.0,6.0,311.5,4.0,6.0,629.2,3.0,6.0,817.1,3.0,6.0,2588.0,3.0,5.0,1735.0
5.0,2.0,56.2,5.0,1.0,505.6,5.0,1.0,997.6,5.0,1.0,324.2,4.0,1.0,766.2,4.0,1.0,452.1
5.0,3.0,82.1,5.0,3.0,715.8,5.0,2.0,1680.0,5.0,2.0,655.1,4.0,2.0,1392.0,4.0,2.0,761.3
5.0,4.0,84.1,5.0,4.0,763.7,5.0,4.0,2003.0,5.0,3.0,1111.0,4.0,3.0,1946.0,4.0,3.0,1140.0
5.0,6.0,86.2,5.0,6.0,858.2,5.0,6.0,1716.0,5.0,6.0,529.7,4.0,6.0,1103.0,4.0,5.0,1126.0
6.0,2.0,50.2,6.0,1.0,350.5,6.0,1.0,791.5,6.0,1.0,334.4,6.0,1.0,1105.0,5.0,1.0,890.1
6.0,3.0,65.1,6.0,3.0,689.0,6.0,2.0,1243.0,6.0,2.0,571.4,6.0,2.0,1433.0,5.0,2.0,1294.0
6.0,4.0,53.8,6.0,4.0,589.0,6.0,4.0,1194.0,6.0,3.0,922.6,6.0,3.0,1995.0,5.0,3.0,1793.0
6.0,5.0,108.8,6.0,5.0,858.2,6.0,5.0,1760.0,6.0,5.0,750.5,6.0,4.0,1392.0,5.0,4.0,1341.0
