1,桑島 和宏,桑島 和宏.1,2,志道 吉和,志道 吉和.1,3,藤田 竜弘,藤田 竜弘.1,4,大串 重幸,大串 重幸.1,5,阿波 勝哉,阿波 勝哉.1,6,中嶋　誠一郎,中嶋　誠一郎.1
2.0,3.0,19.8,1.0,3.0,126.3,1.0,2.0,77.3,1.0,2.0,163.2,1.0,2.0,164.7,1.0,2.0,500.6
2.0,4.0,25.9,1.0,4.0,162.2,1.0,4.0,37.2,1.0,3.0,90.9,1.0,3.0,106.1,1.0,3.0,206.7
2.0,5.0,33.8,1.0,5.0,216.0,1.0,5.0,39.1,1.0,5.0,85.7,1.0,4.0,140.6,1.0,4.0,349.6
2.0,6.0,52.6,1.0,6.0,279.3,1.0,6.0,55.8,1.0,6.0,146.5,1.0,6.0,198.9,1.0,5.0,361.6
3.0,2.0,15.1,3.0,1.0,199.5,2.0,1.0,161.5,2.0,1.0,270.0,2.0,1.0,293.3,2.0,1.0,846.4
3.0,4.0,6.7,3.0,4.0,383.3,2.0,4.0,273.3,2.0,3.0,466.3,2.0,3.0,383.6,2.0,3.0,1064.0
3.0,5.0,9.6,3.0,5.0,399.3,2.0,5.0,220.0,2.0,5.0,387.6,2.0,4.0,498.2,2.0,4.0,1008.0
3.0,6.0,13.2,3.0,6.0,506.0,2.0,6.0,341.3,2.0,6.0,486.5,2.0,6.0,610.5,2.0,5.0,1072.0
4.0,2.0,27.8,4.0,1.0,254.7,4.0,1.0,68.6,3.0,1.0,123.7,3.0,1.0,155.2,3.0,1.0,252.3
4.0,3.0,14.1,4.0,3.0,422.5,4.0,2.0,209.5,3.0,2.0,337.1,3.0,2.0,390.8,3.0,2.0,942.0
4.0,5.0,16.2,4.0,5.0,426.3,4.0,5.0,90.6,3.0,5.0,163.0,3.0,4.0,303.3,3.0,4.0,457.2
4.0,6.0,27.1,4.0,6.0,549.0,4.0,6.0,133.1,3.0,6.0,236.4,3.0,6.0,399.0,3.0,5.0,573.3
5.0,2.0,63.7,5.0,1.0,420.4,5.0,1.0,114.4,5.0,1.0,140.4,4.0,1.0,213.3,4.0,1.0,451.2
5.0,3.0,33.7,5.0,3.0,655.4,5.0,2.0,306.9,5.0,2.0,368.6,4.0,2.0,543.8,4.0,2.0,1004.0
5.0,4.0,40.1,5.0,4.0,633.7,5.0,4.0,174.2,5.0,3.0,227.4,4.0,3.0,339.7,4.0,3.0,480.6
5.0,6.0,65.0,5.0,6.0,850.5,5.0,6.0,222.2,5.0,6.0,233.2,4.0,6.0,428.1,4.0,5.0,545.5
6.0,2.0,100.1,6.0,1.0,616.3,6.0,1.0,131.3,6.0,1.0,237.9,6.0,1.0,386.5,5.0,1.0,598.5
6.0,3.0,45.9,6.0,3.0,801.7,6.0,2.0,430.9,6.0,2.0,514.0,6.0,2.0,783.5,5.0,2.0,1228.0
6.0,4.0,62.0,6.0,4.0,783.5,6.0,4.0,232.6,6.0,3.0,359.6,6.0,3.0,540.9,5.0,3.0,842.2
6.0,5.0,52.3,6.0,5.0,777.6,6.0,5.0,192.8,6.0,5.0,247.2,6.0,4.0,556.0,5.0,4.0,787.1
