1,渡邉 英児,渡邉 英児.1,2,岡村 将也,岡村 将也.1,3,津留　浩一郎,津留　浩一郎.1,4,榎 幸司,榎 幸司.1,5,下河 誉史,下河 誉史.1,6,亀山 雅幸,亀山 雅幸.1
2.0,3.0,18.2,1.0,3.0,71.8,1.0,2.0,227.5,1.0,2.0,32.7,1.0,2.0,394.6,1.0,2.0,225.7
2.0,4.0,6.9,1.0,4.0,33.0,1.0,4.0,129.8,1.0,3.0,84.7,1.0,3.0,615.7,1.0,3.0,372.0
2.0,5.0,26.1,1.0,5.0,88.9,1.0,5.0,250.5,1.0,5.0,46.4,1.0,4.0,308.4,1.0,4.0,200.8
2.0,6.0,17.3,1.0,6.0,57.6,1.0,6.0,223.6,1.0,6.0,35.9,1.0,6.0,362.2,1.0,5.0,475.7
3.0,2.0,32.8,3.0,1.0,265.7,2.0,1.0,432.1,2.0,1.0,66.5,2.0,1.0,639.8,2.0,1.0,370.0
3.0,4.0,24.0,3.0,4.0,299.0,2.0,4.0,425.1,2.0,3.0,236.7,2.0,3.0,1625.0,2.0,3.0,699.8
3.0,5.0,54.4,3.0,5.0,534.5,2.0,5.0,665.1,2.0,5.0,149.5,2.0,4.0,818.1,2.0,4.0,388.5
3.0,6.0,41.6,3.0,6.0,459.4,2.0,6.0,643.2,2.0,6.0,96.2,2.0,6.0,962.7,2.0,5.0,1160.0
4.0,2.0,8.0,4.0,1.0,67.6,4.0,1.0,195.6,3.0,1.0,217.0,3.0,1.0,1115.0,3.0,1.0,840.9
4.0,3.0,19.6,4.0,3.0,207.9,4.0,2.0,333.4,3.0,2.0,386.5,3.0,2.0,1937.0,3.0,2.0,983.1
4.0,5.0,18.1,4.0,5.0,207.4,4.0,5.0,299.6,3.0,5.0,336.6,3.0,4.0,1429.0,3.0,4.0,831.6
4.0,6.0,11.2,4.0,6.0,116.3,4.0,6.0,248.7,3.0,6.0,232.8,3.0,6.0,1331.0,3.0,5.0,2174.0
5.0,2.0,62.8,5.0,1.0,406.0,5.0,1.0,665.1,5.0,1.0,87.6,4.0,1.0,335.7,4.0,1.0,257.9
5.0,3.0,102.7,5.0,3.0,925.9,5.0,2.0,1007.0,5.0,2.0,146.4,4.0,2.0,585.8,4.0,2.0,376.0
5.0,4.0,51.2,5.0,4.0,483.3,5.0,4.0,744.6,5.0,3.0,317.7,4.0,3.0,923.0,4.0,3.0,631.1
5.0,6.0,63.5,5.0,6.0,595.6,5.0,6.0,795.5,5.0,6.0,95.3,4.0,6.0,386.0,4.0,5.0,571.4
6.0,2.0,45.7,6.0,1.0,245.1,6.0,1.0,601.6,6.0,1.0,74.4,6.0,1.0,729.3,5.0,1.0,1037.0
6.0,3.0,79.7,6.0,3.0,626.5,6.0,2.0,897.0,6.0,2.0,115.5,6.0,2.0,1190.0,5.0,2.0,1574.0
6.0,4.0,35.5,6.0,4.0,282.8,6.0,4.0,561.4,6.0,3.0,248.9,6.0,3.0,1467.0,5.0,3.0,2198.0
6.0,5.0,74.6,6.0,5.0,681.6,6.0,5.0,967.4,6.0,5.0,122.4,6.0,4.0,685.5,5.0,4.0,840.9
