1,大庭 元明,大庭 元明.1,2,安部 慎一,安部 慎一.1,3,中尾 優香,中尾 優香.1,4,土井 歩夢,土井 歩夢.1,5,篠原 飛翔,篠原 飛翔.1,6,小松 卓司,小松 卓司.1
2.0,3.0,17.3,1.0,3.0,111.9,1.0,2.0,203.6,1.0,2.0,315.4,1.0,2.0,34.9,1.0,2.0,200.6
2.0,4.0,20.7,1.0,4.0,133.0,1.0,4.0,263.2,1.0,3.0,494.6,1.0,3.0,68.5,1.0,3.0,402.2
2.0,5.0,7.8,1.0,5.0,50.6,1.0,5.0,133.9,1.0,5.0,251.8,1.0,4.0,83.7,1.0,4.0,461.2
2.0,6.0,18.2,1.0,6.0,98.8,1.0,6.0,266.6,1.0,6.0,304.3,1.0,6.0,24.9,1.0,5.0,91.2
3.0,2.0,24.8,3.0,1.0,279.8,2.0,1.0,316.7,2.0,1.0,467.8,2.0,1.0,85.1,2.0,1.0,360.6
3.0,4.0,40.2,3.0,4.0,556.9,2.0,4.0,514.8,2.0,3.0,870.9,2.0,3.0,310.6,2.0,3.0,992.3
3.0,5.0,17.8,3.0,5.0,447.3,2.0,5.0,444.9,2.0,5.0,662.8,2.0,4.0,371.2,2.0,4.0,1098.0
3.0,6.0,40.5,3.0,6.0,779.6,2.0,6.0,622.5,2.0,6.0,528.1,2.0,6.0,130.3,2.0,5.0,398.3
4.0,2.0,39.8,4.0,1.0,417.6,4.0,1.0,521.4,3.0,1.0,654.9,3.0,1.0,147.2,3.0,1.0,802.6
4.0,3.0,58.6,4.0,3.0,724.4,4.0,2.0,702.7,3.0,2.0,904.6,3.0,2.0,416.6,3.0,2.0,1106.0
4.0,5.0,33.5,4.0,5.0,560.7,4.0,5.0,584.7,3.0,5.0,740.8,3.0,4.0,564.6,3.0,4.0,1279.0
4.0,6.0,63.4,4.0,6.0,919.8,4.0,6.0,702.7,3.0,6.0,946.4,3.0,6.0,266.2,3.0,5.0,737.5
5.0,2.0,10.0,5.0,1.0,122.0,5.0,1.0,167.0,5.0,1.0,260.3,4.0,1.0,230.2,4.0,1.0,946.4
5.0,3.0,20.7,5.0,3.0,452.3,5.0,2.0,452.3,5.0,2.0,446.1,4.0,2.0,471.8,4.0,2.0,1240.0
5.0,4.0,24.8,5.0,4.0,490.2,5.0,4.0,467.8,5.0,3.0,543.9,4.0,3.0,673.8,4.0,3.0,1530.0
5.0,6.0,10.1,5.0,6.0,233.9,5.0,6.0,294.4,5.0,6.0,302.6,4.0,6.0,227.0,4.0,5.0,880.2
6.0,2.0,40.2,6.0,1.0,293.4,6.0,1.0,610.9,6.0,1.0,502.2,6.0,1.0,38.2,5.0,1.0,94.2
6.0,3.0,78.1,6.0,3.0,790.9,6.0,2.0,866.3,6.0,2.0,904.6,6.0,2.0,86.6,5.0,2.0,225.8
6.0,4.0,96.5,6.0,4.0,957.5,6.0,4.0,1113.0,6.0,3.0,986.3,6.0,3.0,154.6,5.0,3.0,390.7
6.0,5.0,23.8,6.0,5.0,344.7,6.0,5.0,615.5,6.0,5.0,558.8,6.0,4.0,175.3,5.0,4.0,447.3
