1,柴田 朋哉,柴田 朋哉.1,2,松下 哲也,松下 哲也.1,3,小林 文彦,小林 文彦.1,4,仲本 舜,仲本 舜.1,5,溝口　海義也,溝口　海義也.1,6,大庭 元明,大庭 元明.1
2.0,3.0,23.1,1.0,3.0,57.1,1.0,2.0,60.6,1.0,2.0,1055.0,1.0,2.0,39.9,1.0,2.0,268.4
2.0,4.0,150.8,1.0,4.0,270.5,1.0,4.0,221.4,1.0,3.0,819.2,1.0,3.0,24.0,1.0,3.0,224.0
2.0,5.0,20.5,1.0,5.0,50.1,1.0,5.0,26.4,1.0,5.0,567.3,1.0,4.0,150.2,1.0,4.0,580.1
2.0,6.0,53.2,1.0,6.0,99.6,1.0,6.0,63.9,1.0,6.0,764.1,1.0,6.0,27.7,1.0,5.0,140.8
3.0,2.0,22.4,3.0,1.0,86.0,2.0,1.0,79.5,2.0,1.0,1473.0,2.0,1.0,80.3,2.0,1.0,407.9
3.0,4.0,123.7,3.0,4.0,481.8,2.0,4.0,323.0,2.0,3.0,1177.0,2.0,3.0,80.3,2.0,3.0,426.6
3.0,5.0,10.1,3.0,5.0,64.3,2.0,5.0,55.0,2.0,5.0,1256.0,2.0,4.0,371.6,2.0,4.0,989.3
3.0,6.0,31.8,3.0,6.0,155.2,2.0,6.0,131.7,2.0,6.0,1197.0,2.0,6.0,83.2,2.0,5.0,270.5
4.0,2.0,309.8,4.0,1.0,839.3,4.0,1.0,537.5,3.0,1.0,1034.0,3.0,1.0,39.9,3.0,1.0,303.4
4.0,3.0,276.0,4.0,3.0,775.7,4.0,2.0,570.4,3.0,2.0,1113.0,3.0,2.0,71.0,3.0,2.0,414.5
4.0,5.0,265.2,4.0,5.0,793.8,4.0,5.0,365.7,3.0,5.0,886.5,3.0,4.0,180.4,3.0,4.0,871.4
4.0,6.0,337.9,4.0,6.0,1013.0,4.0,6.0,556.5,3.0,6.0,1412.0,3.0,6.0,44.9,3.0,5.0,174.2
5.0,2.0,18.2,5.0,1.0,81.9,5.0,1.0,32.0,5.0,1.0,790.7,4.0,1.0,403.1,4.0,1.0,1061.0
5.0,3.0,11.6,5.0,3.0,75.4,5.0,2.0,54.0,5.0,2.0,1034.0,4.0,2.0,530.5,4.0,2.0,1177.0
5.0,4.0,112.9,5.0,4.0,396.9,5.0,4.0,160.3,5.0,3.0,882.7,4.0,3.0,395.3,4.0,3.0,1131.0
5.0,6.0,18.6,5.0,6.0,102.1,5.0,6.0,38.8,5.0,6.0,622.4,4.0,6.0,301.1,4.0,5.0,755.7
6.0,2.0,78.1,6.0,1.0,252.8,6.0,1.0,120.0,6.0,1.0,994.1,6.0,1.0,36.9,5.0,1.0,128.6
6.0,3.0,67.8,6.0,3.0,267.7,6.0,2.0,172.9,6.0,2.0,1256.0,6.0,2.0,57.4,5.0,2.0,182.6
6.0,4.0,263.2,6.0,4.0,875.2,6.0,4.0,436.6,6.0,3.0,1329.0,6.0,3.0,46.2,5.0,3.0,148.7
6.0,5.0,49.3,6.0,5.0,196.5,6.0,5.0,78.4,6.0,5.0,772.8,6.0,4.0,113.4,5.0,4.0,344.2
