1,仲谷 颯仁,仲谷 颯仁.1,2,重成 一人,重成 一人.1,3,永嶋 裕一,永嶋 裕一.1,4,酒見 峻介,酒見 峻介.1,5,寺島 吉彦,寺島 吉彦.1,6,長野　壮志郎,長野　壮志郎.1
2.0,3.0,20.3,1.0,3.0,105.5,1.0,2.0,444.4,1.0,2.0,37.4,1.0,2.0,114.9,1.0,2.0,126.5
2.0,4.0,8.4,1.0,4.0,55.0,1.0,4.0,582.5,1.0,3.0,113.9,1.0,3.0,247.6,1.0,3.0,413.6
2.0,5.0,16.7,1.0,5.0,78.6,1.0,5.0,594.0,1.0,5.0,40.6,1.0,4.0,111.6,1.0,4.0,151.2
2.0,6.0,11.1,1.0,6.0,48.5,1.0,6.0,562.4,1.0,6.0,30.0,1.0,6.0,99.6,1.0,5.0,248.8
3.0,2.0,51.8,3.0,1.0,405.4,2.0,1.0,647.8,2.0,1.0,59.8,2.0,1.0,191.9,2.0,1.0,196.6
3.0,4.0,67.9,3.0,4.0,844.9,2.0,4.0,993.1,2.0,3.0,198.4,2.0,3.0,564.6,2.0,3.0,761.7
3.0,5.0,87.4,3.0,5.0,882.7,2.0,5.0,1324.0,2.0,5.0,86.7,2.0,4.0,238.7,2.0,4.0,270.0
3.0,6.0,81.0,3.0,6.0,676.1,2.0,6.0,1081.0,2.0,6.0,68.4,2.0,6.0,202.7,2.0,5.0,416.6
4.0,2.0,13.8,4.0,1.0,131.7,4.0,1.0,725.0,3.0,1.0,249.7,3.0,1.0,578.4,3.0,1.0,896.6
4.0,3.0,52.7,4.0,3.0,568.0,4.0,2.0,1141.0,3.0,2.0,310.8,3.0,2.0,1049.0,3.0,2.0,1251.0
4.0,5.0,27.3,4.0,5.0,285.0,4.0,5.0,958.1,3.0,5.0,237.7,3.0,4.0,786.8,3.0,4.0,1184.0
4.0,6.0,20.5,4.0,6.0,192.1,4.0,6.0,832.6,3.0,6.0,192.8,3.0,6.0,725.9,3.0,5.0,1466.0
5.0,2.0,37.7,5.0,1.0,223.3,5.0,1.0,1021.0,5.0,1.0,34.1,4.0,1.0,85.7,4.0,1.0,167.1
5.0,3.0,100.8,5.0,3.0,691.7,5.0,2.0,1863.0,5.0,2.0,47.8,4.0,2.0,125.8,4.0,2.0,217.8
5.0,4.0,49.6,5.0,4.0,373.6,5.0,4.0,1375.0,5.0,3.0,100.9,4.0,3.0,268.6,4.0,3.0,596.4
5.0,6.0,44.9,5.0,6.0,279.5,5.0,6.0,1349.0,5.0,6.0,31.7,4.0,6.0,84.7,4.0,5.0,230.3
6.0,2.0,29.6,6.0,1.0,167.8,6.0,1.0,959.7,6.0,1.0,41.2,6.0,1.0,167.4,5.0,1.0,400.5
6.0,3.0,103.1,6.0,3.0,611.1,6.0,2.0,1415.0,6.0,2.0,57.5,6.0,2.0,215.6,5.0,2.0,477.0
6.0,4.0,42.6,6.0,4.0,303.1,6.0,4.0,1529.0,6.0,3.0,125.7,6.0,3.0,452.9,5.0,3.0,953.4
6.0,5.0,62.9,6.0,5.0,357.5,6.0,5.0,1615.0,6.0,5.0,50.6,6.0,4.0,173.7,5.0,4.0,346.6
