1,冨名腰　桃奈,冨名腰　桃奈.1,2,松尾 宣邦,松尾 宣邦.1,3,安部 慎一,安部 慎一.1,4,森 晋太郎,森 晋太郎.1,5,関 裕也,関 裕也.1,6,土井 歩夢,土井 歩夢.1
2.0,3.0,22.3,1.0,3.0,65.9,1.0,2.0,125.4,1.0,2.0,48.3,1.0,2.0,101.2,1.0,2.0,942.8
2.0,4.0,16.3,1.0,4.0,39.1,1.0,4.0,83.4,1.0,3.0,71.6,1.0,3.0,180.8,1.0,3.0,1691.0
2.0,5.0,20.7,1.0,5.0,52.4,1.0,5.0,136.9,1.0,5.0,32.8,1.0,4.0,87.5,1.0,4.0,766.8
2.0,6.0,83.5,1.0,6.0,205.0,1.0,6.0,264.4,1.0,6.0,109.6,1.0,6.0,218.2,1.0,5.0,958.5
3.0,2.0,33.5,3.0,1.0,125.7,2.0,1.0,143.9,2.0,1.0,64.4,2.0,1.0,128.2,2.0,1.0,1322.0
3.0,4.0,25.7,3.0,4.0,78.1,2.0,4.0,84.4,2.0,3.0,75.1,2.0,3.0,146.9,2.0,3.0,1797.0
3.0,5.0,40.3,3.0,5.0,95.2,2.0,5.0,119.6,2.0,5.0,33.2,2.0,4.0,59.5,2.0,4.0,1292.0
3.0,6.0,107.9,3.0,6.0,215.8,2.0,6.0,205.0,2.0,6.0,111.8,2.0,6.0,210.2,2.0,5.0,1017.0
4.0,2.0,20.0,4.0,1.0,55.2,4.0,1.0,90.3,3.0,1.0,97.0,3.0,1.0,256.1,3.0,1.0,1855.0
4.0,3.0,28.8,4.0,3.0,61.9,4.0,2.0,93.9,3.0,2.0,108.3,3.0,2.0,214.2,3.0,2.0,1855.0
4.0,5.0,19.7,4.0,5.0,30.8,4.0,5.0,88.1,3.0,5.0,91.2,3.0,4.0,178.3,3.0,4.0,1337.0
4.0,6.0,99.1,4.0,6.0,157.7,4.0,6.0,210.2,3.0,6.0,168.1,3.0,6.0,356.1,3.0,5.0,1337.0
5.0,2.0,36.5,5.0,1.0,78.9,5.0,1.0,158.6,5.0,1.0,31.3,4.0,1.0,73.3,4.0,1.0,920.2
5.0,3.0,72.2,5.0,3.0,83.5,5.0,2.0,139.6,5.0,2.0,24.7,4.0,2.0,48.3,4.0,2.0,1127.0
5.0,4.0,33.7,5.0,4.0,40.1,5.0,4.0,114.6,5.0,3.0,60.7,4.0,3.0,123.8,4.0,3.0,1385.0
5.0,6.0,167.4,5.0,6.0,199.0,5.0,6.0,286.8,5.0,6.0,49.9,4.0,6.0,109.9,4.0,5.0,657.3
6.0,2.0,393.9,6.0,1.0,621.7,6.0,1.0,742.1,6.0,1.0,236.2,6.0,1.0,522.8,5.0,1.0,1420.0
6.0,3.0,399.4,6.0,3.0,833.5,6.0,2.0,793.3,6.0,2.0,271.9,6.0,2.0,542.6,5.0,2.0,1161.0
6.0,4.0,319.5,6.0,4.0,495.8,6.0,4.0,766.8,6.0,3.0,405.0,6.0,3.0,798.8,5.0,3.0,1385.0
6.0,5.0,386.0,6.0,5.0,530.0,6.0,5.0,766.8,6.0,5.0,165.9,6.0,4.0,395.2,5.0,4.0,680.6
