1,岡部 大輔,岡部 大輔.1,2,中辻 崇人,中辻 崇人.1,3,高橋 直哉,高橋 直哉.1,4,原田 秀弥,原田 秀弥.1,5,佃 來紀,佃 來紀.1,6,金子 賢志,金子 賢志.1
2.0,3.0,9.9,1.0,3.0,11.6,1.0,2.0,255.2,1.0,2.0,145.3,1.0,2.0,131.1,1.0,2.0,486.1
2.0,4.0,8.4,1.0,4.0,7.6,1.0,4.0,434.0,1.0,3.0,565.9,1.0,3.0,373.6,1.0,3.0,1688.0
2.0,5.0,16.3,1.0,5.0,14.7,1.0,5.0,426.8,1.0,5.0,429.8,1.0,4.0,394.2,1.0,4.0,1034.0
2.0,6.0,22.2,1.0,6.0,16.4,1.0,6.0,569.9,1.0,6.0,314.8,1.0,6.0,277.9,1.0,5.0,1149.0
3.0,2.0,36.9,3.0,1.0,43.4,2.0,1.0,223.7,2.0,1.0,141.3,2.0,1.0,114.8,2.0,1.0,454.7
3.0,4.0,76.6,3.0,4.0,42.9,2.0,4.0,197.4,2.0,3.0,309.2,2.0,3.0,237.6,2.0,3.0,1133.0
3.0,5.0,85.7,3.0,5.0,46.2,2.0,5.0,211.9,2.0,5.0,297.7,2.0,4.0,231.0,2.0,4.0,628.9
3.0,6.0,148.8,3.0,6.0,57.9,2.0,6.0,261.9,2.0,6.0,192.6,2.0,6.0,159.9,2.0,5.0,733.2
4.0,2.0,34.4,4.0,1.0,24.1,4.0,1.0,743.3,3.0,1.0,990.1,3.0,1.0,895.3,3.0,1.0,2946.0
4.0,3.0,92.2,4.0,3.0,40.0,4.0,2.0,498.1,3.0,2.0,758.4,3.0,2.0,561.3,3.0,2.0,2430.0
4.0,5.0,108.0,4.0,5.0,45.0,4.0,5.0,910.4,3.0,5.0,1296.0,3.0,4.0,1609.0,3.0,4.0,2826.0
4.0,6.0,94.2,4.0,6.0,33.5,4.0,6.0,901.9,3.0,6.0,1122.0,3.0,6.0,1369.0,3.0,5.0,3601.0
5.0,2.0,50.8,5.0,1.0,41.1,5.0,1.0,920.7,5.0,1.0,631.3,4.0,1.0,779.0,4.0,1.0,1269.0
5.0,3.0,121.2,5.0,3.0,65.7,5.0,2.0,563.9,5.0,2.0,439.5,4.0,2.0,541.9,4.0,2.0,776.6
5.0,4.0,141.3,5.0,4.0,67.1,5.0,4.0,1303.0,5.0,3.0,1209.0,4.0,3.0,1369.0,4.0,3.0,2762.0
5.0,6.0,134.3,5.0,6.0,52.5,5.0,6.0,1272.0,5.0,6.0,676.1,4.0,6.0,901.9,4.0,5.0,2430.0
6.0,2.0,120.9,6.0,1.0,76.7,6.0,1.0,1631.0,6.0,1.0,617.7,6.0,1.0,497.0,5.0,1.0,1381.0
6.0,3.0,341.8,6.0,3.0,134.4,6.0,2.0,1090.0,6.0,2.0,414.4,6.0,2.0,345.2,5.0,2.0,777.8
6.0,4.0,211.6,6.0,4.0,83.0,6.0,4.0,1921.0,6.0,3.0,1429.0,6.0,3.0,1112.0,5.0,3.0,2843.0
6.0,5.0,257.9,6.0,5.0,101.4,6.0,5.0,1944.0,6.0,5.0,943.9,6.0,4.0,910.4,5.0,4.0,2613.0
