1,黒柳 浩孝,黒柳 浩孝.1,2,岡部 貴司,岡部 貴司.1,3,江夏 満,江夏 満.1,4,石田 政吾,石田 政吾.1,5,尾上 雅也,尾上 雅也.1,6,畑 竜生,畑 竜生.1
2.0,3.0,18.8,1.0,3.0,128.6,1.0,2.0,45.5,1.0,2.0,326.4,1.0,2.0,149.9,1.0,2.0,1733.0
2.0,4.0,33.3,1.0,4.0,189.3,1.0,4.0,22.2,1.0,3.0,147.7,1.0,3.0,50.1,1.0,3.0,1097.0
2.0,5.0,29.2,1.0,5.0,183.4,1.0,5.0,15.0,1.0,5.0,187.1,1.0,4.0,116.2,1.0,4.0,1981.0
2.0,6.0,84.9,1.0,6.0,383.6,1.0,6.0,59.6,1.0,6.0,346.1,1.0,6.0,119.5,1.0,5.0,1137.0
3.0,2.0,13.5,3.0,1.0,237.2,2.0,1.0,149.7,2.0,1.0,571.5,2.0,1.0,411.4,2.0,1.0,2851.0
3.0,4.0,7.5,3.0,4.0,438.1,2.0,4.0,302.9,2.0,3.0,865.1,2.0,3.0,482.9,2.0,3.0,3411.0
3.0,5.0,5.8,3.0,5.0,397.4,2.0,5.0,217.6,2.0,5.0,990.7,2.0,4.0,983.5,2.0,4.0,3545.0
3.0,6.0,27.3,3.0,6.0,898.3,2.0,6.0,509.9,2.0,6.0,1452.0,2.0,6.0,798.4,2.0,5.0,3151.0
4.0,2.0,41.6,4.0,1.0,549.9,4.0,1.0,65.6,3.0,1.0,201.3,3.0,1.0,71.0,3.0,1.0,1340.0
4.0,3.0,19.7,4.0,3.0,704.5,4.0,2.0,192.2,3.0,2.0,602.2,3.0,2.0,265.7,3.0,2.0,2461.0
4.0,5.0,27.7,4.0,5.0,899.8,4.0,5.0,63.4,3.0,5.0,217.5,3.0,4.0,148.4,3.0,4.0,1833.0
4.0,6.0,73.4,4.0,6.0,1344.0,4.0,6.0,184.1,3.0,6.0,438.1,3.0,6.0,164.7,3.0,5.0,1548.0
5.0,2.0,36.2,5.0,1.0,453.6,5.0,1.0,33.5,5.0,1.0,253.4,4.0,1.0,272.2,4.0,1.0,2897.0
5.0,3.0,13.5,5.0,3.0,664.5,5.0,2.0,138.4,5.0,2.0,727.3,4.0,2.0,836.9,4.0,2.0,3569.0
5.0,4.0,31.5,5.0,4.0,1046.0,5.0,4.0,61.9,5.0,3.0,281.8,4.0,3.0,261.5,4.0,3.0,2395.0
5.0,6.0,41.8,5.0,6.0,1311.0,5.0,6.0,96.4,5.0,6.0,522.7,4.0,6.0,538.4,4.0,5.0,2764.0
6.0,2.0,216.1,6.0,1.0,1761.0,6.0,1.0,300.4,6.0,1.0,1052.0,6.0,1.0,297.7,5.0,1.0,1262.0
6.0,3.0,135.4,6.0,3.0,2313.0,6.0,2.0,810.5,6.0,2.0,1638.0,6.0,2.0,672.0,5.0,2.0,2333.0
6.0,4.0,208.9,6.0,4.0,2105.0,6.0,4.0,475.2,6.0,3.0,1091.0,6.0,3.0,295.3,5.0,3.0,1317.0
6.0,5.0,161.9,6.0,5.0,2363.0,6.0,5.0,316.8,6.0,5.0,1109.0,6.0,4.0,628.9,5.0,4.0,2130.0
