1,井上 大輔,井上 大輔.1,2,川原 正明,川原 正明.1,3,松田 竜馬,松田 竜馬.1,4,渡邊 哲也,渡邊 哲也.1,5,寺嶋 雄,寺嶋 雄.1,6,嶋田 貴支,嶋田 貴支.1
2.0,3.0,4.4,1.0,3.0,18.9,1.0,2.0,38.9,1.0,2.0,617.2,1.0,2.0,99.0,1.0,2.0,918.9
2.0,4.0,19.6,1.0,4.0,91.6,1.0,4.0,109.5,1.0,3.0,610.1,1.0,3.0,103.9,1.0,3.0,1014.0
2.0,5.0,10.4,1.0,5.0,42.1,1.0,5.0,47.9,1.0,5.0,775.3,1.0,4.0,351.7,1.0,4.0,2297.0
2.0,6.0,28.5,1.0,6.0,84.0,1.0,6.0,78.4,1.0,6.0,1045.0,1.0,6.0,169.9,1.0,5.0,1324.0
3.0,2.0,6.7,3.0,1.0,43.8,2.0,1.0,65.8,2.0,1.0,742.8,2.0,1.0,174.3,2.0,1.0,1512.0
3.0,4.0,20.7,3.0,4.0,218.9,2.0,4.0,276.9,2.0,3.0,1240.0,2.0,3.0,221.7,2.0,3.0,1654.0
3.0,5.0,10.0,3.0,5.0,78.8,2.0,5.0,102.4,2.0,5.0,1557.0,2.0,4.0,721.2,2.0,4.0,3101.0
3.0,6.0,26.3,3.0,6.0,123.3,2.0,6.0,163.0,2.0,6.0,1979.0,2.0,6.0,332.5,2.0,5.0,2215.0
4.0,2.0,64.4,4.0,1.0,356.8,4.0,1.0,374.4,3.0,1.0,832.6,3.0,1.0,209.2,3.0,1.0,1353.0
4.0,3.0,66.4,4.0,3.0,518.3,4.0,2.0,557.9,3.0,2.0,1107.0,3.0,2.0,286.0,3.0,2.0,1557.0
4.0,5.0,95.4,4.0,5.0,498.2,4.0,5.0,453.8,3.0,5.0,1196.0,3.0,4.0,959.2,3.0,4.0,3959.0
4.0,6.0,146.8,4.0,6.0,816.1,4.0,6.0,682.8,3.0,6.0,1979.0,3.0,6.0,419.5,3.0,5.0,2297.0
5.0,2.0,23.9,5.0,1.0,133.1,5.0,1.0,134.9,5.0,1.0,873.6,4.0,1.0,834.4,4.0,1.0,3759.0
5.0,3.0,25.7,5.0,3.0,142.2,5.0,2.0,178.2,5.0,2.0,1292.0,4.0,2.0,1544.0,4.0,2.0,4897.0
5.0,4.0,99.1,5.0,4.0,426.3,5.0,4.0,412.6,5.0,3.0,1378.0,4.0,3.0,1301.0,4.0,3.0,4833.0
5.0,6.0,64.4,5.0,6.0,294.6,5.0,6.0,262.0,5.0,6.0,1833.0,4.0,6.0,1465.0,4.0,5.0,4538.0
6.0,2.0,134.2,6.0,1.0,429.7,6.0,1.0,403.2,6.0,1.0,1691.0,6.0,1.0,389.3,5.0,1.0,1772.0
6.0,3.0,118.6,6.0,3.0,450.5,6.0,2.0,525.6,6.0,2.0,3352.0,6.0,2.0,552.1,5.0,2.0,2340.0
6.0,4.0,287.8,6.0,4.0,995.1,6.0,4.0,1051.0,6.0,3.0,2862.0,6.0,3.0,594.5,5.0,3.0,2163.0
6.0,5.0,165.6,6.0,5.0,631.8,6.0,5.0,580.6,6.0,5.0,2584.0,6.0,4.0,1134.0,5.0,4.0,4135.0
