1,川原 涼,川原 涼.1,2,砂長 知輝,砂長 知輝.1,3,水谷 理人,水谷 理人.1,4,大原 祥昌,大原 祥昌.1,5,井上 慧人,井上 慧人.1,6,篠原 飛翔,篠原 飛翔.1
2.0,3.0,8.8,1.0,3.0,22.1,1.0,2.0,20.4,1.0,2.0,145.2,1.0,2.0,332.6,1.0,2.0,441.9
2.0,4.0,18.8,1.0,4.0,41.6,1.0,4.0,23.0,1.0,3.0,162.9,1.0,3.0,272.4,1.0,3.0,417.8
2.0,5.0,70.6,1.0,5.0,142.0,1.0,5.0,50.2,1.0,5.0,331.2,1.0,4.0,468.9,1.0,4.0,774.5
2.0,6.0,37.3,1.0,6.0,69.3,1.0,6.0,28.7,1.0,6.0,224.5,1.0,6.0,684.6,1.0,5.0,1518.0
3.0,2.0,9.3,3.0,1.0,35.2,2.0,1.0,32.4,2.0,1.0,172.7,2.0,1.0,786.4,2.0,1.0,493.1
3.0,4.0,12.8,3.0,4.0,51.8,2.0,4.0,43.8,2.0,3.0,190.2,2.0,3.0,585.3,2.0,3.0,408.9
3.0,5.0,41.8,3.0,5.0,155.5,2.0,5.0,87.1,2.0,5.0,527.0,2.0,4.0,1065.0,2.0,4.0,516.3
3.0,6.0,20.5,3.0,6.0,64.6,2.0,6.0,49.1,2.0,6.0,253.0,2.0,6.0,1015.0,2.0,5.0,1369.0
4.0,2.0,38.4,4.0,1.0,113.9,4.0,1.0,46.0,3.0,1.0,152.2,3.0,1.0,298.3,3.0,1.0,453.7
4.0,3.0,32.9,4.0,3.0,105.6,4.0,2.0,49.5,3.0,2.0,160.4,3.0,2.0,441.9,3.0,2.0,400.4
4.0,5.0,134.8,4.0,5.0,391.2,4.0,5.0,73.3,3.0,5.0,258.6,3.0,4.0,403.5,3.0,4.0,491.5
4.0,6.0,68.9,4.0,6.0,146.7,4.0,6.0,42.6,3.0,6.0,144.2,3.0,6.0,316.2,3.0,5.0,1050.0
5.0,2.0,126.7,5.0,1.0,449.7,5.0,1.0,131.9,5.0,1.0,457.7,4.0,1.0,833.4,4.0,1.0,946.6
5.0,3.0,96.6,5.0,3.0,341.5,5.0,2.0,140.3,5.0,2.0,519.8,4.0,2.0,970.6,4.0,2.0,631.1
5.0,4.0,205.3,5.0,4.0,534.3,5.0,4.0,147.8,5.0,3.0,383.4,4.0,3.0,633.7,4.0,3.0,601.4
5.0,6.0,192.4,5.0,6.0,574.3,5.0,6.0,172.5,5.0,6.0,427.1,4.0,6.0,838.0,4.0,5.0,1533.0
6.0,2.0,118.7,6.0,1.0,209.7,6.0,1.0,95.8,6.0,1.0,368.6,6.0,1.0,989.4,5.0,1.0,1941.0
6.0,3.0,99.1,6.0,3.0,160.2,6.0,2.0,95.1,6.0,2.0,326.9,6.0,2.0,1198.0,5.0,2.0,1564.0
6.0,4.0,171.1,6.0,4.0,206.1,6.0,4.0,96.0,6.0,3.0,276.3,6.0,3.0,751.7,5.0,3.0,1170.0
6.0,5.0,248.1,6.0,5.0,568.0,6.0,5.0,209.7,6.0,5.0,561.7,6.0,4.0,1136.0,5.0,4.0,1597.0
