1,永井 源,永井 源.1,2,三好 勇人,三好 勇人.1,3,向後 龍一,向後 龍一.1,4,近藤 友宝,近藤 友宝.1,5,大塚 雅治,大塚 雅治.1,6,伊藤 紘章,伊藤 紘章.1
2.0,3.0,6.0,1.0,3.0,41.6,1.0,2.0,23.2,1.0,2.0,178.7,1.0,2.0,414.7,1.0,2.0,1251.0
2.0,4.0,18.9,1.0,4.0,98.9,1.0,4.0,22.2,1.0,3.0,132.0,1.0,3.0,278.8,1.0,3.0,1327.0
2.0,5.0,25.7,1.0,5.0,147.6,1.0,5.0,32.8,1.0,5.0,199.6,1.0,4.0,559.4,1.0,4.0,1617.0
2.0,6.0,70.7,1.0,6.0,276.7,1.0,6.0,89.2,1.0,6.0,309.3,1.0,6.0,678.2,1.0,5.0,2645.0
3.0,2.0,4.5,3.0,1.0,74.0,2.0,1.0,63.7,2.0,1.0,371.8,2.0,1.0,861.2,2.0,1.0,1991.0
3.0,4.0,6.3,3.0,4.0,202.4,2.0,4.0,142.2,2.0,3.0,539.8,2.0,3.0,1171.0,2.0,3.0,2743.0
3.0,5.0,9.7,3.0,5.0,243.3,2.0,5.0,179.8,2.0,5.0,670.8,2.0,4.0,1675.0,2.0,4.0,3560.0
3.0,6.0,35.0,3.0,6.0,672.1,2.0,6.0,326.5,2.0,6.0,859.2,2.0,6.0,1860.0,2.0,5.0,4571.0
4.0,2.0,33.2,4.0,1.0,325.4,4.0,1.0,60.7,3.0,1.0,192.8,3.0,1.0,425.6,3.0,1.0,1763.0
4.0,3.0,23.0,4.0,3.0,433.6,4.0,2.0,122.1,3.0,2.0,436.1,3.0,2.0,949.5,3.0,2.0,2962.0
4.0,5.0,54.1,4.0,5.0,847.4,4.0,5.0,138.8,3.0,5.0,401.6,3.0,4.0,1206.0,3.0,4.0,2452.0
4.0,6.0,103.0,4.0,6.0,1397.0,4.0,6.0,216.6,3.0,6.0,620.3,3.0,6.0,1511.0,3.0,5.0,3526.0
5.0,2.0,69.4,5.0,1.0,582.2,5.0,1.0,146.8,5.0,1.0,351.6,4.0,1.0,773.1,4.0,1.0,2485.0
5.0,3.0,47.2,5.0,3.0,745.1,5.0,2.0,271.3,5.0,2.0,580.4,4.0,2.0,1308.0,4.0,2.0,3703.0
5.0,4.0,103.4,5.0,4.0,1418.0,5.0,4.0,264.3,5.0,3.0,532.0,4.0,3.0,1186.0,4.0,3.0,4208.0
5.0,6.0,164.8,5.0,6.0,1860.0,5.0,6.0,450.5,5.0,6.0,591.5,4.0,6.0,1322.0,4.0,5.0,4461.0
6.0,2.0,256.9,6.0,1.0,1402.0,6.0,1.0,497.7,6.0,1.0,766.7,6.0,1.0,1603.0,5.0,1.0,3086.0
6.0,3.0,201.0,6.0,3.0,1889.0,6.0,2.0,805.0,6.0,2.0,1183.0,6.0,2.0,2358.0,5.0,2.0,4461.0
6.0,4.0,275.5,6.0,4.0,2962.0,6.0,4.0,925.8,6.0,3.0,1098.0,6.0,3.0,1763.0,5.0,3.0,3428.0
6.0,5.0,316.2,6.0,5.0,2826.0,6.0,5.0,851.3,6.0,5.0,1095.0,6.0,4.0,2217.0,5.0,4.0,4461.0
