1,中嶋　誠一郎,中嶋　誠一郎.1,2,東 潤樹,東 潤樹.1,3,桂林 寛,桂林 寛.1,4,高田 明,高田 明.1,5,白水 勝也,白水 勝也.1,6,桑島 和宏,桑島 和宏.1
2.0,3.0,71.2,1.0,3.0,303.0,1.0,2.0,230.5,1.0,2.0,153.2,1.0,2.0,63.4,1.0,2.0,775.9
2.0,4.0,59.0,1.0,4.0,295.4,1.0,4.0,137.0,1.0,3.0,118.2,1.0,3.0,42.6,1.0,3.0,754.8
2.0,5.0,39.7,1.0,5.0,200.2,1.0,5.0,74.0,1.0,5.0,29.0,1.0,4.0,18.3,1.0,4.0,394.9
2.0,6.0,115.5,1.0,6.0,447.5,1.0,6.0,183.4,1.0,6.0,64.3,1.0,6.0,26.9,1.0,5.0,286.4
3.0,2.0,57.9,3.0,1.0,501.1,2.0,1.0,427.9,2.0,1.0,339.3,2.0,1.0,176.1,2.0,1.0,1381.0
3.0,4.0,28.1,3.0,4.0,837.5,2.0,4.0,547.3,2.0,3.0,683.5,2.0,3.0,380.7,2.0,3.0,1598.0
3.0,5.0,19.6,3.0,5.0,577.3,2.0,5.0,410.6,2.0,5.0,229.7,2.0,4.0,241.1,2.0,4.0,1280.0
3.0,6.0,78.9,3.0,6.0,954.1,2.0,6.0,660.4,2.0,6.0,383.1,2.0,6.0,237.0,2.0,5.0,1183.0
4.0,2.0,57.0,4.0,1.0,533.5,4.0,1.0,203.4,3.0,1.0,217.5,3.0,1.0,111.3,3.0,1.0,1147.0
4.0,3.0,30.4,4.0,3.0,959.3,4.0,2.0,484.9,3.0,2.0,540.6,3.0,2.0,314.6,3.0,2.0,1623.0
4.0,5.0,11.8,4.0,5.0,498.7,4.0,5.0,130.0,3.0,5.0,124.3,3.0,4.0,125.6,3.0,4.0,1139.0
4.0,6.0,35.1,4.0,6.0,950.7,4.0,6.0,236.4,3.0,6.0,251.2,3.0,6.0,158.0,3.0,5.0,1076.0
5.0,2.0,32.4,5.0,1.0,339.5,5.0,1.0,117.5,5.0,1.0,23.8,4.0,1.0,23.5,4.0,1.0,458.4
5.0,3.0,18.8,5.0,3.0,662.0,5.0,2.0,335.2,5.0,2.0,111.3,4.0,2.0,116.8,4.0,2.0,1139.0
5.0,4.0,10.6,5.0,4.0,540.6,5.0,4.0,138.2,5.0,3.0,80.3,4.0,3.0,65.9,4.0,3.0,862.1
5.0,6.0,19.4,5.0,6.0,572.9,5.0,6.0,170.1,5.0,6.0,25.9,4.0,6.0,25.0,4.0,5.0,227.5
6.0,2.0,215.4,6.0,1.0,1290.0,6.0,1.0,654.6,6.0,1.0,120.4,6.0,1.0,42.4,5.0,1.0,251.6
6.0,3.0,200.5,6.0,3.0,1713.0,6.0,2.0,1101.0,6.0,2.0,346.6,6.0,2.0,141.4,5.0,2.0,786.3
6.0,4.0,108.8,6.0,4.0,1332.0,6.0,4.0,655.4,6.0,3.0,312.7,6.0,3.0,120.8,5.0,3.0,632.6
6.0,5.0,70.2,6.0,5.0,1090.0,6.0,5.0,446.7,6.0,5.0,70.7,6.0,4.0,45.7,5.0,4.0,204.9
