1,山口 達也,山口 達也.1,2,新田 泰章,新田 泰章.1,3,重成 一人,重成 一人.1,4,井口 佳典,井口 佳典.1,5,篠崎 仁志,篠崎 仁志.1,6,仲谷 颯仁,仲谷 颯仁.1
2.0,3.0,17.5,1.0,3.0,124.7,1.0,2.0,111.1,1.0,2.0,113.1,1.0,2.0,310.7,1.0,2.0,653.2
2.0,4.0,17.6,1.0,4.0,112.4,1.0,4.0,32.4,1.0,3.0,72.4,1.0,3.0,190.4,1.0,3.0,561.3
2.0,5.0,35.2,1.0,5.0,175.0,1.0,5.0,43.6,1.0,5.0,55.2,1.0,4.0,170.8,1.0,4.0,388.8
2.0,6.0,38.0,1.0,6.0,186.7,1.0,6.0,46.3,1.0,6.0,58.4,1.0,6.0,181.4,1.0,5.0,593.0
3.0,2.0,20.1,3.0,1.0,263.2,2.0,1.0,236.7,2.0,1.0,229.4,2.0,1.0,606.3,2.0,1.0,1093.0
3.0,4.0,9.6,3.0,4.0,285.2,2.0,4.0,274.6,2.0,3.0,328.2,2.0,3.0,891.2,2.0,3.0,1402.0
3.0,5.0,16.8,3.0,5.0,425.2,2.0,5.0,324.9,2.0,5.0,257.7,2.0,4.0,746.9,2.0,4.0,994.8
3.0,6.0,21.4,3.0,6.0,437.2,2.0,6.0,321.9,2.0,6.0,271.8,2.0,6.0,754.7,2.0,5.0,1475.0
4.0,2.0,23.5,4.0,1.0,224.3,4.0,1.0,61.2,3.0,1.0,112.7,3.0,1.0,275.3,3.0,1.0,791.4
4.0,3.0,12.7,4.0,3.0,331.4,4.0,2.0,196.3,3.0,2.0,267.9,3.0,2.0,707.1,3.0,2.0,1341.0
4.0,5.0,17.6,4.0,5.0,359.6,4.0,5.0,60.3,3.0,5.0,106.0,3.0,4.0,247.5,3.0,4.0,466.7
4.0,6.0,21.9,4.0,6.0,332.7,4.0,6.0,61.7,3.0,6.0,100.4,3.0,6.0,275.5,3.0,5.0,764.5
5.0,2.0,68.1,5.0,1.0,504.7,5.0,1.0,130.7,5.0,1.0,75.5,4.0,1.0,207.3,4.0,1.0,438.7
5.0,3.0,45.5,5.0,3.0,716.5,5.0,2.0,337.8,5.0,2.0,165.2,4.0,2.0,409.9,4.0,2.0,840.5
5.0,4.0,44.8,5.0,4.0,606.3,5.0,4.0,99.2,5.0,3.0,100.7,4.0,3.0,230.8,4.0,3.0,464.7
5.0,6.0,57.0,5.0,6.0,722.0,5.0,6.0,113.5,5.0,6.0,50.2,4.0,6.0,126.9,4.0,5.0,280.9
6.0,2.0,105.5,6.0,1.0,619.6,6.0,1.0,202.9,6.0,1.0,110.6,6.0,1.0,307.7,5.0,1.0,813.2
6.0,3.0,69.5,6.0,3.0,971.0,6.0,2.0,509.0,6.0,2.0,254.5,6.0,2.0,684.8,5.0,2.0,1327.0
6.0,4.0,64.4,6.0,4.0,690.6,6.0,4.0,125.9,6.0,3.0,137.4,6.0,3.0,340.2,5.0,3.0,809.2
6.0,5.0,95.5,6.0,5.0,1027.0,6.0,5.0,167.5,6.0,5.0,77.0,6.0,4.0,181.1,5.0,4.0,322.5
