1,吉田 翔悟,吉田 翔悟.1,2,鈴木 智啓,鈴木 智啓.1,3,高野 心吾,高野 心吾.1,4,小林 遼太,小林 遼太.1,5,亀本 勇樹,亀本 勇樹.1,6,國崎 良春,國崎 良春.1
2.0,3.0,26.7,1.0,3.0,92.0,1.0,2.0,112.3,1.0,2.0,80.1,1.0,2.0,157.0,1.0,2.0,48.2
2.0,4.0,17.1,1.0,4.0,56.8,1.0,4.0,65.9,1.0,3.0,95.1,1.0,3.0,223.6,1.0,3.0,71.1
2.0,5.0,28.2,1.0,5.0,133.7,1.0,5.0,146.7,1.0,5.0,148.5,1.0,4.0,207.5,1.0,4.0,56.3
2.0,6.0,20.1,1.0,6.0,62.3,1.0,6.0,73.2,1.0,6.0,61.2,1.0,6.0,165.2,1.0,5.0,71.6
3.0,2.0,29.3,3.0,1.0,133.7,2.0,1.0,165.9,2.0,1.0,103.7,2.0,1.0,321.9,2.0,1.0,79.3
3.0,4.0,25.9,3.0,4.0,124.5,2.0,4.0,140.1,2.0,3.0,217.6,2.0,3.0,504.7,2.0,3.0,162.2
3.0,5.0,53.8,3.0,5.0,427.4,2.0,5.0,448.9,2.0,5.0,394.4,2.0,4.0,481.6,2.0,4.0,114.9
3.0,6.0,32.6,3.0,6.0,122.3,2.0,6.0,159.2,2.0,6.0,111.7,2.0,6.0,382.6,2.0,5.0,177.4
4.0,2.0,23.6,4.0,1.0,70.1,4.0,1.0,60.4,3.0,1.0,95.1,3.0,1.0,363.1,3.0,1.0,122.5
4.0,3.0,33.6,4.0,3.0,128.6,4.0,2.0,113.2,3.0,2.0,166.5,3.0,2.0,998.2,3.0,2.0,188.2
4.0,5.0,50.5,4.0,5.0,269.9,4.0,5.0,174.3,3.0,5.0,245.4,3.0,4.0,656.9,3.0,4.0,131.0
4.0,6.0,22.5,4.0,6.0,83.0,4.0,6.0,51.7,3.0,6.0,78.2,3.0,6.0,687.2,3.0,5.0,278.7
5.0,2.0,36.1,5.0,1.0,260.8,5.0,1.0,230.5,5.0,1.0,287.2,4.0,1.0,489.5,4.0,1.0,86.7
5.0,3.0,60.9,5.0,3.0,618.2,5.0,2.0,522.4,5.0,2.0,448.9,4.0,2.0,744.5,4.0,2.0,131.0
5.0,4.0,51.0,5.0,4.0,429.5,5.0,4.0,333.3,5.0,3.0,489.5,4.0,3.0,757.1,4.0,3.0,134.7
5.0,6.0,45.1,5.0,6.0,345.6,5.0,6.0,309.1,5.0,6.0,248.5,4.0,6.0,454.6,4.0,5.0,194.8
6.0,2.0,32.0,6.0,1.0,97.6,6.0,1.0,79.9,6.0,1.0,67.3,6.0,1.0,248.5,5.0,1.0,127.9
6.0,3.0,51.8,6.0,3.0,172.1,6.0,2.0,144.2,6.0,2.0,111.1,6.0,2.0,388.4,5.0,2.0,193.3
6.0,4.0,36.8,6.0,4.0,114.0,6.0,4.0,69.6,6.0,3.0,102.1,6.0,3.0,738.3,5.0,3.0,269.1
6.0,5.0,52.0,6.0,5.0,286.8,6.0,5.0,206.0,6.0,5.0,169.2,6.0,4.0,419.4,5.0,4.0,202.8
