first,second,third,odds
6,1,3188,6.0
6,1,3243,6.0
6,1,1106,6.0
6,1,3060,5.0
3,2,3683,2.0
3,1926,2,2790.0
4,2051,3,4803.0
5,1290,4,3871.0
