1,奈須 啓太,奈須 啓太.1,2,池永 太,池永 太.1,3,今井 貴士,今井 貴士.1,4,桑原 啓,桑原 啓.1,5,中尾 優香,中尾 優香.1,6,山田 丈,山田 丈.1
2.0,3.0,3.7,1.0,3.0,9.1,1.0,2.0,23.3,1.0,2.0,188.1,1.0,2.0,1158.0,1.0,2.0,481.4
2.0,4.0,12.1,1.0,4.0,27.4,1.0,4.0,56.8,1.0,3.0,264.1,1.0,3.0,1184.0,1.0,3.0,684.5
2.0,5.0,90.1,1.0,5.0,160.9,1.0,5.0,208.4,1.0,5.0,567.7,1.0,4.0,1632.0,1.0,4.0,1294.0
2.0,6.0,20.0,1.0,6.0,38.8,1.0,6.0,67.6,1.0,6.0,368.1,1.0,6.0,1413.0,1.0,5.0,2119.0
3.0,2.0,6.0,3.0,1.0,18.1,2.0,1.0,29.2,2.0,1.0,229.7,2.0,1.0,1642.0,2.0,1.0,660.4
3.0,4.0,16.0,3.0,4.0,55.2,2.0,4.0,75.4,2.0,3.0,334.8,2.0,3.0,2368.0,2.0,3.0,581.5
3.0,5.0,91.3,3.0,5.0,254.7,2.0,5.0,316.7,2.0,5.0,1026.0,2.0,4.0,3167.0,2.0,4.0,1460.0
3.0,6.0,27.9,3.0,6.0,57.2,2.0,6.0,79.4,2.0,6.0,527.8,2.0,6.0,3021.0,2.0,5.0,3600.0
4.0,2.0,37.4,4.0,1.0,113.6,4.0,1.0,140.4,3.0,1.0,383.1,3.0,1.0,1476.0,3.0,1.0,915.9
4.0,3.0,41.7,4.0,3.0,126.3,4.0,2.0,147.7,3.0,2.0,395.2,3.0,2.0,2305.0,3.0,2.0,667.1
4.0,5.0,273.2,4.0,5.0,663.8,4.0,5.0,706.6,3.0,5.0,1460.0,3.0,4.0,3370.0,3.0,4.0,2119.0
4.0,6.0,133.5,4.0,6.0,279.3,4.0,6.0,290.4,3.0,6.0,859.0,3.0,6.0,3702.0,3.0,5.0,4309.0
5.0,2.0,321.7,5.0,1.0,818.9,5.0,1.0,704.7,5.0,1.0,627.3,4.0,1.0,1800.0,4.0,1.0,2022.0
5.0,3.0,314.0,5.0,3.0,870.4,5.0,2.0,856.2,5.0,2.0,842.5,4.0,2.0,2577.0,4.0,2.0,1729.0
5.0,4.0,590.7,5.0,4.0,1152.0,5.0,4.0,1113.0,5.0,3.0,977.2,4.0,3.0,2987.0,4.0,3.0,2285.0
5.0,6.0,655.5,5.0,6.0,1327.0,5.0,6.0,1200.0,5.0,6.0,672.3,4.0,6.0,1436.0,4.0,5.0,1851.0
6.0,2.0,109.3,6.0,1.0,194.8,6.0,1.0,262.0,6.0,1.0,699.1,6.0,1.0,2527.0,5.0,1.0,3651.0
6.0,3.0,122.6,6.0,3.0,170.3,6.0,2.0,243.1,6.0,2.0,801.4,6.0,2.0,4959.0,5.0,2.0,4694.0
6.0,4.0,261.3,6.0,4.0,483.2,6.0,4.0,539.7,6.0,3.0,1077.0,6.0,3.0,3370.0,5.0,3.0,5476.0
6.0,5.0,562.8,6.0,5.0,1137.0,6.0,5.0,1168.0,6.0,5.0,1173.0,6.0,4.0,1904.0,5.0,4.0,1612.0
