1,宮迫 暢彦,宮迫 暢彦.1,2,小川　竜太朗,小川　竜太朗.1,3,飯山 晃三,飯山 晃三.1,4,土井 祥伍,土井 祥伍.1,5,森 智哉,森 智哉.1,6,江本 真治,江本 真治.1
2.0,3.0,36.0,1.0,3.0,132.0,1.0,2.0,245.7,1.0,2.0,40.4,1.0,2.0,277.2,1.0,2.0,67.6
2.0,4.0,20.5,1.0,4.0,73.7,1.0,4.0,157.0,1.0,3.0,73.3,1.0,3.0,354.7,1.0,3.0,94.2
2.0,5.0,53.3,1.0,5.0,149.1,1.0,5.0,222.9,1.0,5.0,49.1,1.0,4.0,178.1,1.0,4.0,42.3
2.0,6.0,28.7,1.0,6.0,93.4,1.0,6.0,134.6,1.0,6.0,18.2,1.0,6.0,134.9,1.0,5.0,106.7
3.0,2.0,39.6,3.0,1.0,286.0,2.0,1.0,441.2,2.0,1.0,98.0,2.0,1.0,489.2,2.0,1.0,125.5
3.0,4.0,21.3,3.0,4.0,295.6,2.0,4.0,491.7,2.0,3.0,269.8,2.0,3.0,1156.0,2.0,3.0,233.4
3.0,5.0,52.0,3.0,5.0,560.1,2.0,5.0,745.1,2.0,5.0,157.3,2.0,4.0,534.4,2.0,4.0,132.5
3.0,6.0,27.5,3.0,6.0,438.5,2.0,6.0,481.6,2.0,6.0,81.8,2.0,6.0,496.3,2.0,5.0,298.2
4.0,2.0,19.7,4.0,1.0,119.7,4.0,1.0,254.4,3.0,1.0,152.5,3.0,1.0,703.0,3.0,1.0,188.8
4.0,3.0,25.7,4.0,3.0,271.9,4.0,2.0,509.7,3.0,2.0,300.6,3.0,2.0,1324.0,3.0,2.0,309.0
4.0,5.0,33.2,4.0,5.0,244.2,4.0,5.0,426.4,3.0,5.0,269.4,3.0,4.0,809.1,3.0,4.0,208.0
4.0,6.0,11.9,4.0,6.0,132.7,4.0,6.0,223.5,3.0,6.0,129.7,3.0,6.0,666.8,3.0,5.0,435.9
5.0,2.0,89.9,5.0,1.0,434.3,5.0,1.0,555.3,5.0,1.0,51.9,4.0,1.0,178.9,4.0,1.0,48.3
5.0,3.0,100.9,5.0,3.0,915.6,5.0,2.0,919.9,5.0,2.0,95.6,4.0,2.0,343.8,4.0,2.0,97.2
5.0,4.0,62.6,5.0,4.0,384.0,5.0,4.0,611.7,5.0,3.0,203.2,4.0,3.0,566.0,4.0,3.0,144.8
5.0,6.0,55.0,5.0,6.0,504.0,5.0,6.0,519.7,5.0,6.0,39.0,4.0,6.0,134.4,4.0,5.0,99.6
6.0,2.0,39.1,6.0,1.0,221.3,6.0,1.0,220.9,6.0,1.0,22.5,6.0,1.0,201.0,5.0,1.0,205.1
6.0,3.0,56.7,6.0,3.0,523.9,6.0,2.0,616.8,6.0,2.0,46.4,6.0,2.0,433.7,5.0,2.0,360.1
6.0,4.0,20.6,6.0,4.0,190.7,6.0,4.0,317.3,6.0,3.0,80.5,6.0,3.0,546.4,5.0,3.0,464.7
6.0,5.0,58.9,6.0,5.0,541.9,6.0,5.0,570.5,6.0,5.0,39.3,6.0,4.0,206.1,5.0,4.0,181.5
