1,北野 輝季,北野 輝季.1,2,井手 良太,井手 良太.1,3,大田 直弥,大田 直弥.1,4,赤坂 俊輔,赤坂 俊輔.1,5,庄司 孝輔,庄司 孝輔.1,6,浦田 信義,浦田 信義.1
2.0,3.0,10.4,1.0,3.0,154.7,1.0,2.0,188.0,1.0,2.0,48.6,1.0,2.0,253.2,1.0,2.0,1237.0
2.0,4.0,6.0,1.0,4.0,101.7,1.0,4.0,131.9,1.0,3.0,89.6,1.0,3.0,346.2,1.0,3.0,2028.0
2.0,5.0,17.5,1.0,5.0,211.5,1.0,5.0,224.1,1.0,5.0,42.1,1.0,4.0,157.2,1.0,4.0,939.2
2.0,6.0,49.3,1.0,6.0,321.5,1.0,6.0,391.6,1.0,6.0,87.1,1.0,6.0,387.9,1.0,5.0,2113.0
3.0,2.0,14.9,3.0,1.0,322.0,2.0,1.0,326.6,2.0,1.0,134.2,2.0,1.0,535.2,2.0,1.0,1649.0
3.0,4.0,9.4,3.0,4.0,487.6,2.0,4.0,518.8,2.0,3.0,448.8,2.0,3.0,1300.0,2.0,3.0,2205.0
3.0,5.0,22.9,3.0,5.0,735.0,2.0,5.0,852.4,2.0,5.0,263.8,2.0,4.0,885.9,2.0,4.0,1950.0
3.0,6.0,50.0,3.0,6.0,780.2,2.0,6.0,1079.0,2.0,6.0,354.0,2.0,6.0,893.7,2.0,5.0,2504.0
4.0,2.0,6.8,4.0,1.0,197.9,4.0,1.0,260.0,3.0,1.0,286.5,3.0,1.0,818.0,3.0,1.0,2205.0
4.0,3.0,9.6,4.0,3.0,600.2,4.0,2.0,588.0,3.0,2.0,596.6,3.0,2.0,1572.0,3.0,2.0,2444.0
4.0,5.0,10.7,4.0,5.0,628.0,4.0,5.0,577.9,3.0,5.0,533.8,3.0,4.0,1024.0,3.0,4.0,1969.0
4.0,6.0,27.1,4.0,6.0,503.4,4.0,6.0,870.7,3.0,6.0,737.7,3.0,6.0,1438.0,3.0,5.0,5201.0
5.0,2.0,37.8,5.0,1.0,588.0,5.0,1.0,612.9,5.0,1.0,80.9,4.0,1.0,205.3,4.0,1.0,1200.0
5.0,3.0,43.1,5.0,3.0,1237.0,5.0,2.0,1267.0,5.0,2.0,195.0,4.0,2.0,565.1,4.0,2.0,1861.0
5.0,4.0,31.6,5.0,4.0,943.6,5.0,4.0,926.3,5.0,3.0,355.9,4.0,3.0,716.8,4.0,3.0,3325.0
5.0,6.0,89.3,5.0,6.0,1096.0,5.0,6.0,1733.0,5.0,6.0,160.3,4.0,6.0,445.8,4.0,5.0,1988.0
6.0,2.0,182.7,6.0,1.0,1114.0,6.0,1.0,1449.0,6.0,1.0,340.3,6.0,1.0,893.7,5.0,1.0,3220.0
6.0,3.0,174.7,6.0,3.0,1459.0,6.0,2.0,1704.0,6.0,2.0,656.5,6.0,2.0,1597.0,5.0,2.0,4316.0
6.0,4.0,139.1,6.0,4.0,1560.0,6.0,4.0,2028.0,6.0,3.0,1009.0,6.0,3.0,2415.0,5.0,3.0,4830.0
6.0,5.0,273.0,6.0,5.0,1418.0,6.0,5.0,2940.0,6.0,5.0,321.0,6.0,4.0,1090.0,5.0,4.0,2254.0
