1,永田 啓二,永田 啓二.1,2,益田 啓司,益田 啓司.1,3,山ノ内　雅人,山ノ内　雅人.1,4,佐藤 旭,佐藤 旭.1,5,藤山 雅弘,藤山 雅弘.1,6,中川 りな,中川 りな.1
2.0,3.0,3.7,1.0,3.0,19.7,1.0,2.0,89.5,1.0,2.0,195.6,1.0,2.0,251.3,1.0,2.0,498.5
2.0,4.0,6.6,1.0,4.0,27.0,1.0,4.0,144.2,1.0,3.0,305.2,1.0,3.0,340.6,1.0,3.0,943.8
2.0,5.0,16.9,1.0,5.0,51.6,1.0,5.0,169.1,1.0,5.0,408.1,1.0,4.0,553.6,1.0,4.0,1087.0
2.0,6.0,17.4,1.0,6.0,53.1,1.0,6.0,214.2,1.0,6.0,326.4,1.0,6.0,435.6,1.0,5.0,1352.0
3.0,2.0,7.6,3.0,1.0,84.1,2.0,1.0,145.7,2.0,1.0,292.7,2.0,1.0,354.5,2.0,1.0,668.1
3.0,4.0,14.9,3.0,4.0,182.0,2.0,4.0,320.4,2.0,3.0,625.3,2.0,3.0,677.1,2.0,3.0,1421.0
3.0,5.0,24.3,3.0,5.0,302.7,2.0,5.0,437.0,2.0,5.0,906.8,2.0,4.0,1165.0,2.0,4.0,1535.0
3.0,6.0,31.7,3.0,6.0,273.7,2.0,6.0,432.9,2.0,6.0,514.2,2.0,6.0,909.8,2.0,5.0,1793.0
4.0,2.0,21.0,4.0,1.0,138.6,4.0,1.0,378.6,3.0,1.0,565.5,3.0,1.0,594.5,3.0,1.0,1490.0
4.0,3.0,30.3,4.0,3.0,290.5,4.0,2.0,485.9,3.0,2.0,772.0,3.0,2.0,863.2,3.0,2.0,1810.0
4.0,5.0,55.6,4.0,5.0,494.1,4.0,5.0,702.7,3.0,5.0,1407.0,3.0,4.0,1625.0,3.0,4.0,2538.0
4.0,6.0,51.7,4.0,6.0,368.1,4.0,6.0,653.2,3.0,6.0,1096.0,3.0,6.0,1466.0,3.0,5.0,3021.0
5.0,2.0,48.7,5.0,1.0,296.6,5.0,1.0,449.3,5.0,1.0,653.2,4.0,1.0,879.5,4.0,1.0,1694.0
5.0,3.0,60.2,5.0,3.0,510.0,5.0,2.0,678.7,5.0,2.0,999.8,4.0,2.0,1339.0,4.0,2.0,1992.0
5.0,4.0,107.2,5.0,4.0,766.7,5.0,4.0,994.4,5.0,3.0,1283.0,4.0,3.0,1770.0,4.0,3.0,2725.0
5.0,6.0,106.1,5.0,6.0,755.3,5.0,6.0,1079.0,5.0,6.0,867.2,4.0,6.0,1389.0,4.0,5.0,3308.0
6.0,2.0,76.1,6.0,1.0,281.6,6.0,1.0,736.2,6.0,1.0,750.2,6.0,1.0,871.3,5.0,1.0,1897.0
6.0,3.0,109.6,6.0,3.0,650.9,6.0,2.0,806.8,6.0,2.0,804.4,6.0,2.0,1060.0,5.0,2.0,2051.0
6.0,4.0,136.7,6.0,4.0,666.5,6.0,4.0,1170.0,6.0,3.0,1349.0,6.0,3.0,1506.0,5.0,3.0,2865.0
6.0,5.0,181.0,6.0,5.0,906.8,6.0,5.0,1535.0,6.0,5.0,1272.0,6.0,4.0,1602.0,5.0,4.0,3158.0
