1,田中 豪,田中 豪.1,2,桑原 啓,桑原 啓.1,3,長畑 友輔,長畑 友輔.1,4,谷口 健一,谷口 健一.1,5,吉本 玲緒,吉本 玲緒.1,6,森 雄利,森 雄利.1
2.0,3.0,4.6,1.0,3.0,16.9,1.0,2.0,43.7,1.0,2.0,83.9,1.0,2.0,369.3,1.0,2.0,1111.0
2.0,4.0,7.2,1.0,4.0,21.1,1.0,4.0,49.5,1.0,3.0,101.9,1.0,3.0,410.9,1.0,3.0,1240.0
2.0,5.0,25.7,1.0,5.0,61.2,1.0,5.0,101.9,1.0,5.0,161.5,1.0,4.0,424.5,1.0,4.0,2061.0
2.0,6.0,95.9,1.0,6.0,141.6,1.0,6.0,369.3,1.0,6.0,489.6,1.0,6.0,1404.0,1.0,5.0,1359.0
3.0,2.0,7.1,3.0,1.0,42.6,2.0,1.0,74.6,2.0,1.0,117.4,2.0,1.0,454.7,2.0,1.0,1240.0
3.0,4.0,11.4,3.0,4.0,65.2,2.0,4.0,114.4,2.0,3.0,201.2,2.0,3.0,919.3,2.0,3.0,2411.0
3.0,5.0,28.9,3.0,5.0,127.4,2.0,5.0,180.2,2.0,5.0,255.5,2.0,4.0,709.9,2.0,4.0,1277.0
3.0,6.0,104.8,3.0,6.0,290.4,2.0,6.0,418.9,2.0,6.0,539.1,2.0,6.0,1879.0,2.0,5.0,2411.0
4.0,2.0,15.5,4.0,1.0,55.2,4.0,1.0,115.5,3.0,1.0,187.6,3.0,1.0,505.0,3.0,1.0,1879.0
4.0,3.0,18.3,4.0,3.0,93.8,4.0,2.0,148.0,3.0,2.0,292.4,3.0,2.0,798.6,3.0,2.0,2971.0
4.0,5.0,47.8,4.0,5.0,132.9,4.0,5.0,206.4,3.0,5.0,406.9,3.0,4.0,851.9,3.0,4.0,2778.0
4.0,6.0,177.4,4.0,6.0,307.1,4.0,6.0,655.3,3.0,6.0,926.0,3.0,6.0,1996.0,3.0,5.0,3758.0
5.0,2.0,89.1,5.0,1.0,183.3,5.0,1.0,231.9,5.0,1.0,272.4,4.0,1.0,471.5,4.0,1.0,2281.0
5.0,3.0,90.8,5.0,3.0,321.0,5.0,2.0,310.9,5.0,2.0,375.8,4.0,2.0,698.3,4.0,2.0,1907.0
5.0,4.0,118.4,5.0,4.0,229.4,5.0,4.0,288.4,5.0,3.0,497.2,4.0,3.0,975.4,4.0,3.0,3116.0
5.0,6.0,360.9,5.0,6.0,899.9,5.0,6.0,851.9,5.0,6.0,798.6,4.0,6.0,1597.0,4.0,5.0,1750.0
6.0,2.0,421.7,6.0,1.0,651.9,6.0,1.0,1101.0,6.0,1.0,1161.0,6.0,1.0,2411.0,5.0,1.0,813.9
6.0,3.0,437.6,6.0,3.0,829.8,6.0,2.0,1056.0,6.0,2.0,983.0,6.0,2.0,2323.0,5.0,2.0,3758.0
6.0,4.0,513.2,6.0,4.0,765.2,6.0,4.0,1907.0,6.0,3.0,1521.0,6.0,3.0,3453.0,5.0,3.0,4732.0
6.0,5.0,709.9,6.0,5.0,1252.0,6.0,5.0,2028.0,6.0,5.0,1539.0,6.0,4.0,2718.0,5.0,4.0,1936.0
