1,水谷 理人,水谷 理人.1,2,佐藤 航,佐藤 航.1,3,高山 敬悟,高山 敬悟.1,4,山下 大輝,山下 大輝.1,5,岩下 巧斗,岩下 巧斗.1,6,竹下 大樹,竹下 大樹.1
2.0,3.0,31.6,1.0,3.0,100.6,1.0,2.0,291.0,1.0,2.0,38.0,1.0,2.0,320.2,1.0,2.0,79.3
2.0,4.0,10.7,1.0,4.0,31.1,1.0,4.0,358.4,1.0,3.0,150.2,1.0,3.0,863.8,1.0,3.0,279.1
2.0,5.0,50.9,1.0,5.0,163.3,1.0,5.0,540.1,1.0,5.0,67.4,1.0,4.0,338.4,1.0,4.0,52.1
2.0,6.0,12.0,1.0,6.0,48.1,1.0,6.0,433.9,1.0,6.0,23.1,1.0,6.0,314.7,1.0,5.0,266.1
3.0,2.0,53.2,3.0,1.0,279.9,2.0,1.0,463.3,2.0,1.0,61.0,2.0,1.0,771.3,2.0,1.0,129.4
3.0,4.0,53.0,3.0,4.0,174.3,2.0,4.0,519.6,2.0,3.0,159.1,2.0,3.0,2156.0,2.0,3.0,342.7
3.0,5.0,112.9,3.0,5.0,711.2,2.0,5.0,1222.0,2.0,5.0,140.4,2.0,4.0,1078.0,2.0,4.0,149.2
3.0,6.0,55.7,3.0,6.0,369.0,2.0,6.0,775.7,2.0,6.0,50.8,2.0,6.0,853.0,2.0,5.0,517.6
4.0,2.0,12.1,4.0,1.0,54.9,4.0,1.0,523.5,3.0,1.0,335.9,3.0,1.0,1504.0,3.0,1.0,695.0
4.0,3.0,42.4,4.0,3.0,127.6,4.0,2.0,506.1,3.0,2.0,394.0,3.0,2.0,2301.0,3.0,2.0,866.5
4.0,5.0,49.7,4.0,5.0,176.5,4.0,5.0,1136.0,3.0,5.0,724.4,3.0,4.0,2583.0,3.0,4.0,863.8
4.0,6.0,10.3,4.0,6.0,60.7,4.0,6.0,656.6,3.0,6.0,292.5,3.0,6.0,2281.0,3.0,5.0,1942.0
5.0,2.0,86.5,5.0,1.0,548.7,5.0,1.0,947.5,5.0,1.0,69.2,4.0,1.0,282.8,4.0,1.0,58.9
5.0,3.0,172.1,5.0,3.0,1175.0,5.0,2.0,1180.0,5.0,2.0,100.0,4.0,2.0,413.0,4.0,2.0,109.8
5.0,4.0,100.5,5.0,4.0,324.8,5.0,4.0,1690.0,5.0,3.0,489.8,4.0,3.0,1244.0,4.0,3.0,377.1
5.0,6.0,82.7,5.0,6.0,534.8,5.0,6.0,1426.0,5.0,6.0,49.9,4.0,6.0,249.3,4.0,5.0,216.4
6.0,2.0,17.8,6.0,1.0,129.9,6.0,1.0,746.1,6.0,1.0,22.2,6.0,1.0,507.0,5.0,1.0,525.5
6.0,3.0,39.3,6.0,3.0,428.5,6.0,2.0,1099.0,6.0,2.0,36.1,6.0,2.0,730.2,5.0,2.0,672.8
6.0,4.0,15.8,6.0,4.0,112.5,6.0,4.0,1104.0,6.0,3.0,159.6,6.0,3.0,1825.0,5.0,3.0,1610.0
6.0,5.0,72.8,6.0,5.0,475.4,6.0,5.0,1862.0,6.0,5.0,46.0,6.0,4.0,530.6,5.0,4.0,527.6
