1,樋口　由加里,樋口　由加里.1,2,三苫 晃幸,三苫 晃幸.1,3,桑原 将光,桑原 将光.1,4,梶山 涼斗,梶山 涼斗.1,5,中辻 崇人,中辻 崇人.1,6,東 健介,東 健介.1
2.0,3.0,16.0,1.0,3.0,34.2,1.0,2.0,73.9,1.0,2.0,175.9,1.0,2.0,18.9,1.0,2.0,1258.0
2.0,4.0,32.2,1.0,4.0,61.7,1.0,4.0,116.5,1.0,3.0,185.5,1.0,3.0,35.9,1.0,3.0,2306.0
2.0,5.0,11.3,1.0,5.0,24.9,1.0,5.0,43.5,1.0,5.0,106.9,1.0,4.0,40.8,1.0,4.0,2583.0
2.0,6.0,179.9,1.0,6.0,246.6,1.0,6.0,362.8,1.0,6.0,453.2,1.0,6.0,105.8,1.0,5.0,1379.0
3.0,2.0,21.8,3.0,1.0,64.2,2.0,1.0,94.3,2.0,1.0,266.1,2.0,1.0,27.3,2.0,1.0,1462.0
3.0,4.0,37.0,3.0,4.0,141.8,2.0,4.0,170.9,2.0,3.0,298.3,2.0,3.0,41.1,2.0,3.0,1707.0
3.0,5.0,17.0,3.0,5.0,47.6,2.0,5.0,58.2,2.0,5.0,167.2,2.0,4.0,58.6,2.0,4.0,2189.0
3.0,6.0,196.5,3.0,6.0,464.6,2.0,6.0,432.0,2.0,6.0,564.1,2.0,6.0,112.9,2.0,5.0,1214.0
4.0,2.0,58.8,4.0,1.0,167.9,4.0,1.0,240.7,3.0,1.0,358.1,3.0,1.0,54.1,3.0,1.0,3229.0
4.0,3.0,57.8,4.0,3.0,234.3,4.0,2.0,259.4,3.0,2.0,365.6,3.0,2.0,51.2,3.0,2.0,2691.0
4.0,5.0,49.1,4.0,5.0,164.2,4.0,5.0,165.2,3.0,5.0,200.0,3.0,4.0,106.8,3.0,4.0,3555.0
4.0,6.0,328.1,4.0,6.0,773.5,4.0,6.0,608.4,3.0,6.0,837.0,3.0,6.0,150.9,3.0,5.0,1714.0
5.0,2.0,14.0,5.0,1.0,36.5,5.0,1.0,49.8,5.0,1.0,98.4,4.0,1.0,100.2,4.0,1.0,3429.0
5.0,3.0,19.0,5.0,3.0,42.9,5.0,2.0,55.5,5.0,2.0,112.5,4.0,2.0,109.7,4.0,2.0,3100.0
5.0,4.0,35.6,5.0,4.0,97.4,5.0,4.0,115.8,5.0,3.0,126.4,4.0,3.0,120.2,4.0,3.0,3726.0
5.0,6.0,110.5,5.0,6.0,211.7,5.0,6.0,214.8,5.0,6.0,192.2,4.0,6.0,185.3,4.0,5.0,1872.0
6.0,2.0,474.3,6.0,1.0,918.3,6.0,1.0,1258.0,6.0,1.0,929.3,6.0,1.0,151.2,5.0,1.0,1242.0
6.0,3.0,618.1,6.0,3.0,1242.0,6.0,2.0,1107.0,6.0,2.0,1041.0,6.0,2.0,151.2,5.0,2.0,1058.0
6.0,4.0,685.9,6.0,4.0,1490.0,6.0,4.0,1446.0,6.0,3.0,1266.0,6.0,3.0,193.0,5.0,3.0,1355.0
6.0,5.0,466.3,6.0,5.0,736.7,6.0,5.0,770.4,6.0,5.0,568.2,6.0,4.0,266.3,5.0,4.0,1462.0
