1,浦野 海,浦野 海.1,2,高橋 竜矢,高橋 竜矢.1,3,竹下 大樹,竹下 大樹.1,4,嘉手苅　徹哉,嘉手苅　徹哉.1,5,山本　稔太朗,山本　稔太朗.1,6,岩下 巧斗,岩下 巧斗.1
2.0,3.0,6.7,1.0,3.0,13.4,1.0,2.0,12.9,1.0,2.0,862.1,1.0,2.0,179.0,1.0,2.0,1293.0
2.0,4.0,116.7,1.0,4.0,122.7,1.0,4.0,88.1,1.0,3.0,965.7,1.0,3.0,183.8,1.0,3.0,1565.0
2.0,5.0,26.7,1.0,5.0,31.9,1.0,5.0,29.8,1.0,5.0,1352.0,1.0,4.0,926.6,1.0,4.0,2728.0
2.0,6.0,100.0,1.0,6.0,92.8,1.0,6.0,74.0,1.0,6.0,1770.0,1.0,6.0,455.5,1.0,5.0,1836.0
3.0,2.0,6.9,3.0,1.0,16.1,2.0,1.0,14.8,2.0,1.0,991.4,2.0,1.0,188.7,2.0,1.0,1364.0
3.0,4.0,102.6,3.0,4.0,102.1,2.0,4.0,85.8,2.0,3.0,823.9,2.0,3.0,123.4,2.0,3.0,887.9
3.0,5.0,25.4,3.0,5.0,21.7,2.0,5.0,18.2,2.0,5.0,1465.0,2.0,4.0,1081.0,2.0,4.0,3004.0
3.0,6.0,100.5,3.0,6.0,64.7,2.0,6.0,41.5,2.0,6.0,1982.0,2.0,6.0,369.9,2.0,5.0,1403.0
4.0,2.0,279.8,4.0,1.0,338.7,4.0,1.0,122.6,3.0,1.0,738.0,3.0,1.0,186.8,3.0,1.0,1557.0
4.0,3.0,298.9,4.0,3.0,329.4,4.0,2.0,101.3,3.0,2.0,727.2,3.0,2.0,118.4,3.0,2.0,814.9
4.0,5.0,389.3,4.0,5.0,448.6,4.0,5.0,105.2,3.0,5.0,780.7,3.0,4.0,814.9,3.0,4.0,2253.0
4.0,6.0,469.1,4.0,6.0,622.2,4.0,6.0,158.2,3.0,6.0,1008.0,3.0,6.0,318.4,3.0,5.0,1436.0
5.0,2.0,68.2,5.0,1.0,77.2,5.0,1.0,39.2,5.0,1.0,1458.0,4.0,1.0,1836.0,4.0,1.0,4310.0
5.0,3.0,65.5,5.0,3.0,57.9,5.0,2.0,23.7,5.0,2.0,1465.0,4.0,2.0,1824.0,4.0,2.0,2779.0
5.0,4.0,404.1,5.0,4.0,377.4,5.0,4.0,111.3,5.0,3.0,1185.0,4.0,3.0,1824.0,4.0,3.0,2887.0
5.0,6.0,238.3,5.0,6.0,182.2,5.0,6.0,40.2,5.0,6.0,1625.0,4.0,6.0,1791.0,4.0,5.0,3164.0
6.0,2.0,372.7,6.0,1.0,385.7,6.0,1.0,116.0,6.0,1.0,2609.0,6.0,1.0,978.4,5.0,1.0,2219.0
6.0,3.0,298.9,6.0,3.0,274.3,6.0,2.0,88.1,6.0,2.0,2609.0,6.0,2.0,734.4,5.0,2.0,1690.0
6.0,4.0,734.4,6.0,4.0,1040.0,6.0,4.0,278.7,6.0,3.0,2586.0,6.0,3.0,762.6,5.0,3.0,1847.0
6.0,5.0,418.3,6.0,5.0,333.8,6.0,5.0,64.7,6.0,5.0,2342.0,6.0,4.0,1919.0,5.0,4.0,2887.0
