1,石田 章央,石田 章央.1,2,岡本 猛,岡本 猛.1,3,中辻 博訓,中辻 博訓.1,4,富永 正人,富永 正人.1,5,澤崎 雄哉,澤崎 雄哉.1,6,向後 龍一,向後 龍一.1
2.0,3.0,12.1,1.0,3.0,115.7,1.0,2.0,42.2,1.0,2.0,353.0,1.0,2.0,610.9,1.0,2.0,155.9
2.0,4.0,39.8,1.0,4.0,268.0,1.0,4.0,33.4,1.0,3.0,185.0,1.0,3.0,250.5,1.0,3.0,69.6
2.0,5.0,52.6,1.0,5.0,324.9,1.0,5.0,30.8,1.0,5.0,273.4,1.0,4.0,546.3,1.0,4.0,167.4
2.0,6.0,25.9,1.0,6.0,208.0,1.0,6.0,20.7,1.0,6.0,199.8,1.0,6.0,315.0,1.0,5.0,177.5
3.0,2.0,8.5,3.0,1.0,250.1,2.0,1.0,150.3,2.0,1.0,817.6,2.0,1.0,1324.0,2.0,1.0,355.7
3.0,4.0,9.1,3.0,4.0,765.6,2.0,4.0,389.9,2.0,3.0,955.4,2.0,3.0,1367.0,2.0,3.0,461.6
3.0,5.0,11.7,3.0,5.0,797.7,2.0,5.0,406.2,2.0,5.0,1062.0,2.0,4.0,1871.0,2.0,4.0,869.5
3.0,6.0,7.1,3.0,6.0,514.8,2.0,6.0,241.6,2.0,6.0,882.5,2.0,6.0,1441.0,2.0,5.0,1002.0
4.0,2.0,55.0,4.0,1.0,759.7,4.0,1.0,109.1,3.0,1.0,289.2,3.0,1.0,367.7,3.0,1.0,95.4
4.0,3.0,26.9,4.0,3.0,1108.0,4.0,2.0,317.2,3.0,2.0,757.7,3.0,2.0,1118.0,3.0,2.0,311.9
4.0,5.0,63.0,4.0,5.0,1390.0,4.0,5.0,175.4,3.0,5.0,472.3,3.0,4.0,979.2,3.0,4.0,251.6
4.0,6.0,37.3,4.0,6.0,960.1,4.0,6.0,100.1,3.0,6.0,276.2,3.0,6.0,406.0,3.0,5.0,256.8
5.0,2.0,78.4,5.0,1.0,1062.0,5.0,1.0,115.3,5.0,1.0,407.7,4.0,1.0,856.8,4.0,1.0,350.9
5.0,3.0,36.0,5.0,3.0,1193.0,5.0,2.0,305.9,5.0,2.0,718.9,4.0,2.0,1488.0,4.0,2.0,957.0
5.0,4.0,93.1,5.0,4.0,1637.0,5.0,4.0,241.3,5.0,3.0,488.4,4.0,3.0,971.2,4.0,3.0,416.6
5.0,6.0,54.8,5.0,6.0,1358.0,5.0,6.0,121.3,5.0,6.0,319.3,4.0,6.0,621.2,4.0,5.0,686.3
6.0,2.0,46.8,6.0,1.0,709.4,6.0,1.0,53.9,6.0,1.0,338.0,6.0,1.0,546.8,5.0,1.0,376.4
6.0,3.0,19.8,6.0,3.0,919.7,6.0,2.0,196.0,6.0,2.0,718.0,6.0,2.0,1251.0,5.0,2.0,969.6
6.0,4.0,51.6,6.0,4.0,1339.0,6.0,4.0,112.1,6.0,3.0,340.5,6.0,3.0,473.1,5.0,3.0,398.0
6.0,5.0,58.3,6.0,5.0,1535.0,6.0,5.0,112.1,6.0,5.0,368.4,6.0,4.0,706.0,5.0,4.0,684.7
