1,堀之内紀代子,堀之内紀代子.1,2,嶋田 有里,嶋田 有里.1,3,金田 幸子,金田 幸子.1,4,前田 紗希,前田 紗希.1,5,小野 生奈,小野 生奈.1,6,寺田 千恵,寺田 千恵.1
2.0,3.0,13.4,1.0,3.0,54.9,1.0,2.0,103.0,1.0,2.0,103.6,1.0,2.0,167.5,1.0,2.0,839.6
2.0,4.0,12.7,1.0,4.0,51.1,1.0,4.0,70.4,1.0,3.0,104.5,1.0,3.0,129.5,1.0,3.0,716.4
2.0,5.0,18.9,1.0,5.0,66.6,1.0,5.0,57.8,1.0,5.0,68.0,1.0,4.0,122.1,1.0,4.0,672.4
2.0,6.0,33.7,1.0,6.0,100.3,1.0,6.0,119.8,1.0,6.0,100.0,1.0,6.0,130.5,1.0,5.0,654.7
3.0,2.0,18.3,3.0,1.0,137.0,2.0,1.0,163.9,2.0,1.0,215.0,2.0,1.0,342.0,2.0,1.0,1342.0
3.0,4.0,12.2,3.0,4.0,231.4,2.0,4.0,240.4,2.0,3.0,473.4,2.0,3.0,570.5,2.0,3.0,1938.0
3.0,5.0,13.8,3.0,5.0,253.6,2.0,5.0,213.9,2.0,5.0,289.6,2.0,4.0,520.3,2.0,4.0,1370.0
3.0,6.0,29.5,3.0,6.0,344.3,2.0,6.0,311.9,2.0,6.0,379.1,2.0,6.0,550.0,2.0,5.0,1710.0
4.0,2.0,17.9,4.0,1.0,133.6,4.0,1.0,119.6,3.0,1.0,194.7,3.0,1.0,215.9,3.0,1.0,1023.0
4.0,3.0,16.4,4.0,3.0,256.5,4.0,2.0,226.7,3.0,2.0,459.4,3.0,2.0,519.7,3.0,2.0,2033.0
4.0,5.0,14.8,4.0,5.0,233.9,4.0,5.0,118.5,3.0,5.0,227.5,3.0,4.0,309.4,3.0,4.0,1269.0
4.0,6.0,25.6,4.0,6.0,302.0,4.0,6.0,179.3,3.0,6.0,312.4,3.0,6.0,292.2,3.0,5.0,1204.0
5.0,2.0,33.6,5.0,1.0,220.2,5.0,1.0,117.6,5.0,1.0,90.9,4.0,1.0,164.7,4.0,1.0,792.9
5.0,3.0,25.5,5.0,3.0,405.8,5.0,2.0,230.1,5.0,2.0,202.5,4.0,2.0,361.5,4.0,2.0,1467.0
5.0,4.0,30.7,5.0,4.0,388.2,5.0,4.0,147.0,5.0,3.0,203.7,4.0,3.0,308.9,4.0,3.0,1324.0
5.0,6.0,39.1,5.0,6.0,458.0,5.0,6.0,168.9,5.0,6.0,104.2,4.0,6.0,179.9,4.0,5.0,673.1
6.0,2.0,104.9,6.0,1.0,429.5,6.0,1.0,365.4,6.0,1.0,207.9,6.0,1.0,281.9,5.0,1.0,753.1
6.0,3.0,94.2,6.0,3.0,741.5,6.0,2.0,619.7,6.0,2.0,425.0,6.0,2.0,604.3,5.0,2.0,1728.0
6.0,4.0,85.0,6.0,4.0,709.1,6.0,4.0,446.0,6.0,3.0,404.2,6.0,3.0,430.8,5.0,3.0,1152.0
6.0,5.0,87.6,6.0,5.0,761.4,6.0,5.0,403.1,6.0,5.0,204.1,6.0,4.0,300.1,5.0,4.0,672.1
